,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,0,0,Ticker,SUNDARMFIN.NS,SUNDARMFIN.NS,SUNDARMFIN.NS,SUNDARMFIN.NS,SUNDARMFIN.NS,,,,,,,,,,,,,,
1,1,1,Date,,,,,,,,,,,,,,,,,,,
16,16,16,2020-01-30,1575.7891845703125,1581.3352111761662,1550.097250747736,1581.3352111761662,53200,1563.9575927734377,1574.935986328125,,,,,-0.9309613596318224,0.008586158996688,0.0035195232079003,0.0035195232079003,-0.0163041694118379,Financial Services,9.0,1.0
17,17,17,2020-01-31,1556.5438232421875,1572.7079969389495,1541.99139150939,1565.360666300033,18241,1562.421728515625,1572.8155029296877,,,,,-0.9491301554445956,-0.0122131573922261,0.0056643718770992,0.0103846569915988,-0.0093491950020948,Financial Services,9.0,0.0
18,18,18,2020-02-03,1565.0762939453125,1573.7509079388628,1547.3479414542578,1562.3269469244235,9959,1566.062255859375,1572.8376302083334,,,,,-0.9410749822867398,0.0054816771463281,-0.0017566856207107,0.0055426141377958,-0.011327468545552,Financial Services,9.0,1.0
19,19,19,2020-02-04,1566.877685546875,1579.6762629208777,1559.5778025210022,1566.1666534705416,31368,1565.332275390625,1571.8738037109374,,,,,-0.9393743586595906,0.0011509928356409,-0.0004537891393131,0.0081682045076387,-0.004658872286719,Financial Services,9.0,1.0
20,20,20,2020-02-05,1582.4730224609375,1692.2089784326931,1558.5823897845896,1583.2315030050272,217879,1569.352001953125,1571.4566569010417,1573.4216115851152,,,,-0.9246514086878008,0.0099531297547449,0.0004793007737409,0.0693445982422518,-0.0150970236694431,Financial Services,9.0,1.0
21,21,21,2020-02-06,1587.165771484375,1620.7738402239042,1573.7509436086423,1586.0754991911197,28689,1571.6273193359375,1571.782137044271,1573.3592272306744,1574.108819580078,,,-0.9202211671686236,0.002965452779814,-0.0006869303212326,0.0211748951138845,-0.008452064753883,Financial Services,9.0,1.0
22,22,22,2020-02-07,1602.8558349609375,1620.8686472539462,1588.0663911712002,1606.8850166580578,69542,1580.8897216796877,1572.6448404947917,1575.3650930304275,1574.8340576171877,,,-0.905408789539812,0.0098855858401536,0.0025137517730773,0.0112379491031691,-0.0092269332444971,Financial Services,9.0,1.0
23,23,23,2020-02-10,1611.625,1659.07457925792,1583.2311699204151,1603.14006487151,37806,1590.199462890625,1573.99736328125,1576.9592991879113,1577.1780883789063,,,-0.8971301624812285,0.0054709630447058,-0.0052648321591498,0.0294420719819561,-0.0176181370229332,Financial Services,9.0,1.0
24,24,24,2020-02-11,1579.0596923828125,1611.6723801622547,1567.161827483621,1583.2311028652737,46806,1592.6358642578125,1574.2122395833333,1576.4503238075658,1577.0643188476563,,,-0.927873800628056,-0.0202065043773753,0.0026417053785765,0.0206532330201079,-0.0075347784232511,Financial Services,9.0,0.0
25,25,25,2020-02-12,1569.389892578125,1586.0279723552146,1560.478268144243,1579.059881727483,24395,1590.01923828125,1573.953125,1575.7717092413652,1576.0973022460937,,,-0.9370026818793012,-0.0061237709070362,0.0061616231856014,0.0106016228699914,-0.005678400552996,Financial Services,9.0,0.0
26,26,26,2020-02-13,1558.2030029296875,1573.5139161160962,1551.94594407715,1567.1146277089363,40731,1584.2266845703125,1573.2705322265624,1574.1026418585527,1574.8932739257812,1576.132392578125,,-0.9475637885448048,-0.007128177453762,0.0057191680175776,0.0098260067254534,-0.0040155607714612,Financial Services,9.0,0.0
27,27,27,2020-02-14,1554.600341796875,1588.8719900869696,1550.0496909085684,1558.5820745282488,28143,1574.5755859375,1572.629012044271,1572.169125205592,1573.127526855469,1574.78236328125,,-0.9509649205572772,-0.0023120614746851,0.0025612581088021,0.0220453111765575,-0.0029272159319395,Financial Services,9.0,0.0
28,28,28,2020-02-17,1555.6907958984375,1570.6699185213465,1550.1447686300407,1555.7382443298804,22953,1563.3887451171877,1573.2168212890624,1571.108822471217,1571.3452087402345,1574.4202197265624,,-0.9499354653250942,0.0007014369367126,3.049991140136044e-05,0.0096285988593629,-0.0035649933026657,Financial Services,9.0,1.0
29,29,29,2020-02-18,1550.96923828125,1578.3448480031145,1545.2461045606549,1559.5539388621423,24070,1557.770654296875,1571.912931315104,1569.934750205592,1570.1018432617188,1573.2055859375,,-0.9543929039152212,-0.0030350231740367,0.0055350553505533,0.0176506464771677,-0.003690036900369,Financial Services,9.0,0.0
30,30,30,2020-02-19,1562.7969970703125,1570.3324793988693,1529.9366026553423,1570.3324793988693,45284,1556.4520751953123,1571.9411051432292,1569.6376503392269,1569.577862548828,1572.1682568359374,,-0.9432267776629092,0.0076260434424668,0.0048217921730608,0.0048217921730608,-0.0210266557182869,Financial Services,9.0,1.0
31,31,31,2020-02-20,1569.616943359375,1573.8615537019598,1557.5982710720646,1573.8615537019598,42932,1558.73486328125,1571.5296223958333,1569.9215344880756,1569.6366149902344,1571.661591796875,1573.232804361979,-0.936788332082832,0.0043639361362016,0.0027042332592945,0.0027042332592945,-0.007657073490547,Financial Services,9.0,1.0
