,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,0,0,Ticker,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,,,,,,,,,,,,,,
1,1,1,Date,,,,,,,,,,,,,,,,,,,
27,27,27,2020-02-14,83.80831909179688,86.50095140051015,83.42365523716562,86.11629488273167,7297847,86.02012786865234,87.84086507161459,88.5229656821803,88.60457992553711,88.45696594238281,,-0.6187609144566248,-0.0229820927432549,0.0275387433603915,0.0321284609677468,-0.0045898051506071,Financial Services,9.0,0.0
28,28,28,2020-02-17,81.21184539794922,84.04873496976421,80.77910313731194,83.80832097233173,8590333,84.94307250976563,87.12282816569011,88.00923919677734,88.15740966796875,88.24155487060547,,-0.6765156560859202,-0.0309810973658079,0.0319716361776958,0.0349319678418074,-0.0053285608585396,Financial Services,9.0,0.0
29,29,29,2020-02-18,78.7115478515625,81.16377376447473,77.89414165954295,81.16377376447473,12149745,83.28902435302734,86.26054331461589,87.4069390547903,87.5443546295166,87.88189575195312,,-0.732131100652176,-0.0307873504675939,0.0311545888734996,0.0311545888734996,-0.010384831887197,Financial Services,9.0,0.0
30,30,30,2020-02-19,81.21184539794922,82.1254229903044,79.52894741592189,79.72128301597964,12570992,82.1446548461914,85.59379475911459,86.89827326724404,87.09718437194825,87.62801788330079,,-0.6765156560859202,0.0317653205232589,-0.0183540021121995,0.0112493145289154,-0.0207223216487804,Financial Services,9.0,1.0
31,31,31,2020-02-20,84.14490509033203,84.62573311941965,81.74076494489398,81.98117895943778,12197037,81.81769256591797,85.2411875406901,86.4680589374743,86.76060485839844,87.41837707519531,87.40331166585287,-0.6112740535546646,0.0361161561839952,-0.0257142857142856,0.0057142857142857,-0.0285714285714284,Financial Services,9.0,1.0
32,32,32,2020-02-24,83.32750701904297,83.95258498507032,82.41392927274016,83.56792105698779,5429905,81.72153015136719,84.9398696899414,86.01253830759148,86.31103134155273,87.22796997070313,87.33439331054687,-0.6294558724297971,-0.0097141718849354,0.0028851701742362,0.0075014600626956,-0.0109636994911419,Financial Services,9.0,0.0
33,33,33,2020-02-25,83.08708190917969,84.62573007962033,82.70241803235623,83.66407405598828,4920055,82.09657745361328,84.81164906819662,85.56207837556538,85.8662654876709,86.94524322509766,87.21739196777344,-0.6348037756780568,-0.0028853030465478,0.006944426661166,0.0185185005308345,-0.0046296472085024,Financial Services,9.0,0.0
34,34,34,2020-02-26,81.78884887695312,82.79858331363388,81.35609925821568,82.46200516807363,4161156,82.7120376586914,84.51033070882161,85.06606654116982,85.37341690063477,86.57789123535156,87.0202527364095,-0.6636810616403697,-0.0156249684354738,0.0082304164976478,0.0123456247464719,-0.005291058924041,Financial Services,9.0,0.0
35,35,35,2020-02-27,85.44313049316406,86.26053659097589,81.40417839994515,82.02925624069046,20273653,83.55829467773438,84.38210957845052,84.85602007414165,85.08491973876953,86.38940643310546,86.94973068237304,-0.5823969372970211,0.0446794601756604,-0.0399549294691015,0.0095666684155166,-0.047270647387411,Financial Services,9.0,1.0
36,36,36,2020-02-28,82.60625457763672,83.80832461707598,81.83692681765427,82.65433297710233,13359911,83.25056457519531,83.95898132324218,84.58017690558182,84.7435317993164,86.05859680175782,86.72374165852865,-0.6454990730605679,-0.0332019192081721,0.0005820188763119,0.0145518041652585,-0.0093131901926312,Financial Services,9.0,0.0
