,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,0,0,Ticker,KAJARIACER.NS,KAJARIACER.NS,KAJARIACER.NS,KAJARIACER.NS,KAJARIACER.NS,,,,,,,,,,,,,,
1,1,1,Date,,,,,,,,,,,,,,,,,,,
23,23,23,2020-02-10,519.5738525390625,530.967400096113,515.4263798621575,527.2489843434383,323154,531.6443603515625,538.1785766601563,536.0532547800165,535.4485778808594,,,-1.558041536212921,-0.0150025079969522,0.0147719746997829,0.0219286392134099,-0.0079824507269505,Consumer Durables,5.0,0.0
24,24,24,2020-02-11,519.3355102539062,524.2933786811951,512.08937695464,523.2445663677918,316087,528.41220703125,537.8989013671875,535.8173988743832,535.2173675537109,,,-1.558793302728683,-0.0004587264813106,0.0075270341363222,0.0095465615760896,-0.013952701396682,Consumer Durables,5.0,0.0
25,25,25,2020-02-12,523.6260375976562,533.7800762005444,517.2380172665474,522.4819049992037,93636,525.4279907226562,537.7527140299479,535.7898045590049,535.2078308105469,,,-1.5452603503619675,0.008261571294542,-0.0021850185367054,0.0193917755684454,-0.0121995849565014,Consumer Durables,5.0,1.0
26,26,26,2020-02-13,519.478515625,523.2922518012115,514.949703915749,517.2856289622777,107102,521.9002807617187,536.7071126302084,535.0922915810033,534.9742401123046,532.775146484375,,-1.5583422428192255,-0.0079207710748775,-0.0042213231091645,0.0073414704583558,-0.0087179961692973,Consumer Durables,5.0,0.0
27,27,27,2020-02-14,513.6150512695312,519.5263553635104,512.4709185105337,515.3312213115228,66843,519.1257934570312,534.4792643229167,534.1438823499178,534.0184295654296,532.0143115234375,,-1.5768364691623076,-0.0112872124238174,0.0033413546541316,0.0115092111871875,-0.0022276075363631,Consumer Durables,5.0,0.0
28,28,28,2020-02-17,506.4642639160156,515.7602474621466,505.41545136936645,511.0407364847404,90837,516.5038757324219,531.4981994628906,533.2456520482114,532.7599014282226,531.6596374511719,,-1.5993911010027515,-0.013922464569215,0.009036121390558,0.0183546682529065,-0.0020708520252538,Consumer Durables,5.0,0.0
29,29,29,2020-02-18,506.0806884765625,511.45028009127236,505.4094822092836,508.2860303346034,78206,513.8529113769531,528.8125467936198,532.2068015650699,531.8874038696289,530.9444763183594,,-1.600600954182856,-0.0007573593376308,0.0043576882269102,0.0106101492054038,-0.0013262831057619,Consumer Durables,5.0,0.0
30,30,30,2020-02-19,517.251220703125,524.4905205712063,507.2312347023183,507.2312347023183,154549,512.5779479980469,526.4997619628906,531.2641007272821,531.4590225219727,530.6818542480469,,-1.565367457593412,0.0220726308687825,-0.0193716043573295,0.0139957134528181,-0.0193716043573295,Consumer Durables,5.0,1.0
31,31,31,2020-02-20,529.2368774414062,536.8597410033552,517.3471228332768,522.5728631696768,485297,514.5296203613282,525.1131408691406,530.3274744937295,531.1627395629882,530.8853161621093,529.7342254638672,-1.527562938771444,0.0231718288107441,-0.0125917421022258,0.0144035003735976,-0.0224658467973933,Consumer Durables,5.0,1.0
32,32,32,2020-02-24,524.3947143554688,535.0379183541825,522.5728772455725,529.2368916968021,119507,516.6855529785156,523.178065999349,528.9177101536801,530.0308364868164,530.5518542480469,529.4595184326172,-1.542835831155947,-0.009149330464927,0.0092338408621925,0.0202961694833161,-0.0034741713827826,Consumer Durables,5.0,0.0
