,Unnamed: 0.1,Unnamed: 0,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,0,0,68.50697326660156,70.53436616354557,68.03548688100115,69.7799850688604,702922,0.0,0.0,0.0,0.0,0.0,-1.340976451967884,0.0,0.0185822222404248,0.029593963946622,-0.0068823123124354,8.0,
1,1,1,70.0628890991211,71.19445369738105,69.02561315735183,69.82714587495758,926478,0.0,0.0,0.0,0.0,0.0,-1.3283776284964135,0.0227117876958967,-0.0033647374122697,0.0161506985054395,-0.0148049267608959,8.0,
2,2,2,71.38304138183594,72.98609953252151,70.25147684725589,70.53437157805683,794295,0.0,0.0,0.0,0.0,0.0,-1.3176878693090868,0.0188423900254407,-0.011888955518713,0.0224571287472976,-0.0158520078813563,8.0,
3,3,3,79.86980438232422,83.40595287376678,70.77012135312872,70.95871306161398,4649818,0.0,0.0,0.0,0.0,0.0,-1.2489674239915431,0.118890465244982,-0.1115702159235829,0.0442739095054693,-0.1139314550670081,8.0,
4,4,4,78.83251953125,81.47284607782986,78.54963202617355,81.0485040287486,3689528,73.73104553222656,0.0,0.0,0.0,0.0,-1.2573667014172072,-0.0129871965894507,0.028110030107818,0.0334928600821036,-0.0035884620554884,8.0,
5,5,5,77.13517761230469,80.0583918418678,76.75798705493588,77.32376929383335,828362,75.4566864013672,0.0,0.0,0.0,0.0,-1.271110703991492,-0.0215309865654169,0.0024449503762933,0.0378972904458159,-0.0048899940214649,8.0,0.0
6,6,6,74.73059844970703,77.889556062031,74.49485523693193,77.37092531051293,405470,76.39022827148438,0.0,0.0,0.0,0.0,-1.2905814669720876,-0.0311735739390334,0.0353312687918967,0.0422712741214017,-0.0031545741324922,8.0,0.0
7,7,7,74.77774810791016,75.8621611042226,73.26898582827039,74.73059658880452,476090,77.06916961669921,0.0,0.0,0.0,0.0,-1.2901996788264658,0.0006309284172915,-0.0006305554833985,0.0145018140255781,-0.0201766209576478,8.0,1.0
8,8,8,75.81501007080078,76.38079227844557,74.77774149106682,75.48497104920058,574487,76.25821075439453,0.0,0.0,0.0,0.0,-1.2818005867348532,0.0138712650372109,-0.0043532147696345,0.00746266744694,-0.0136815728015506,8.0,1.0
9,9,9,75.48497009277344,76.85227767678322,74.63629319490381,76.2393439619712,437706,75.58870086669921,0.0,0.0,0.0,0.0,-1.2844730419761892,-0.0043532273849087,0.0099936963381004,0.0181136401369612,-0.0112429917747409,8.0,0.0
10,10,10,74.5419921875,76.75797651559517,74.11765017085804,76.0035955044387,429480,75.07006378173828,0.0,0.0,0.0,0.0,-1.2921086813325924,-0.0124922604342889,0.0196077844721702,0.0297279997899864,-0.0056926573088439,8.0,0.0
11,11,11,74.40055847167969,76.09790526610743,73.74047316747571,74.87204489140603,452803,75.00405578613281,0.0,0.0,0.0,0.0,-1.2932539222134238,-0.0018973696794225,0.0063371354921457,0.0228136297535164,-0.0088720477072121,8.0,0.0
12,12,12,74.73059844970703,76.38080093913274,74.25911202415683,74.25911202415683,375433,74.99462585449218,0.0,0.0,0.0,0.0,-1.2905814669720876,0.0044359879120124,-0.0063091482649841,0.0220820189274448,-0.0063091482649841,8.0,1.0
13,13,13,76.2393569946289,76.99373818709459,75.43783147407926,75.43783147407926,516572,75.07949523925781,0.0,0.0,0.0,0.0,-1.2783644934242562,0.0201893009854223,-0.0105132775530375,0.0098949049703924,-0.0105132775530375,8.0,1.0
14,14,14,74.07051849365234,76.38079904379553,73.08039414684141,76.38079904379553,283012,74.79660491943359,74.70545043945313,0.0,0.0,0.0,-1.2959263774547598,-0.0284477543682504,0.0311902845710627,0.0311902845710627,-0.0133673203178101,8.0,0.0
15,15,15,74.73059844970703,75.62641978052766,73.64617823207918,74.49485523693193,294196,74.834326171875,75.12035878499348,0.0,0.0,0.0,-1.2905814669720876,0.0089115071620735,-0.0031545741324922,0.0119873431954851,-0.0145110602634562,8.0,1.0
16,16,16,69.59138488769531,71.7602176798209,68.1769259037528,71.00584387163781,375306,73.87249145507812,75.08892517089843,0.0,0.0,0.0,-1.3321955717306495,-0.0687698702890805,0.0203252024115501,0.0311652483367816,-0.0203252024115503,8.0,0.0
17,17,17,67.7054443359375,72.27886060003262,66.95106328040573,70.01572462774826,634790,72.46746063232422,74.84375203450521,0.0,0.0,0.0,-1.3474667268874216,-0.0271002014804173,0.0341225187201743,0.0675487223952473,-0.0111421033113484,8.0,0.0
18,18,18,69.02559661865234,70.48720713598563,67.28109861669073,67.5639932956296,320582,71.0247085571289,74.12080485026041,0.0,0.0,0.0,-1.336776967700095,0.0194984656797255,-0.0211748017347492,0.0211749059614549,-0.0252732042520327,8.0,1.0
19,19,19,74.1176528930664,74.82488241913443,69.40278938594626,69.40278938594626,917889,71.03413543701171,73.80648040771484,73.78762168884278,0.0,0.0,-1.295544712865172,0.0737705506921771,-0.0636132327871004,0.0095419849180651,-0.0636132327871004,8.0,1.0
20,20,20,74.87203216552734,75.24922267606033,73.8347636572946,74.77773633647175,424309,71.06242218017579,73.65560404459636,74.10587463378906,0.0,0.0,-1.2894362260912564,0.010178132239958,-0.001259426602007,0.0050378024961188,-0.0138538847982587,8.0,1.0
21,21,21,73.36329650878906,75.34353821420979,72.60891529038474,75.34353821420979,217272,71.81680450439453,73.56445058186848,74.27089500427246,0.0,0.0,-1.3016530143050364,-0.0201508575779372,0.0269922672461084,0.0269922672461084,-0.0102828151719428,8.0,0.0
22,22,22,72.46745300292969,74.77774051252071,71.85451928837243,74.77774051252071,205329,72.76920623779297,73.41043090820312,74.32511558532715,0.0,0.0,-1.308906989071852,-0.0122110585059662,0.0318803464708166,0.0318803464708166,-0.0084580551566022,8.0,0.0
23,23,23,75.3435287475586,75.90931099311702,72.5617546492363,73.08039257101328,683234,74.03279266357421,73.37899881998698,74.09880180358887,0.0,0.0,-1.2856183446350375,0.0396878270927037,-0.0300375654573871,0.0075093674926496,-0.0369212080262756,8.0,1.0
24,24,24,78.07815551757812,78.97397685492412,74.2591125650779,75.34353279060493,1811822,74.82489318847657,73.55187784830729,74.06108360290527,73.99507598876953,0.0,-1.2634750646350887,0.0362954432248853,-0.035024171726976,0.0114733926718377,-0.048913078532451,8.0,1.0
25,25,25,75.48497009277344,80.058386405229,74.96633221232227,78.6439273068833,2478715,74.94748077392578,73.61474304199218,73.97857322692872,74.27419586181641,0.0,-1.2844730419761892,-0.0332126880766397,0.041848823815223,0.0605871116705045,-0.0068707436700808,8.0,0.0
26,26,26,76.14505004882812,77.70095653512772,75.48497199733676,76.8522796158451,715449,75.50383148193359,73.73104248046874,74.04929580688477,74.51748229980468,0.0,-1.279128131493517,0.00874452166098,0.0092879256965945,0.020433455428841,-0.0086686928574882,8.0,1.0
27,27,27,75.33245849609375,76.19284872741284,72.99026482842561,76.19284872741284,389244,76.0768325805664,73.7711664835612,74.07703132629395,74.675458984375,0.0,-1.2857079845378363,-0.0106716267467589,0.0114212418988515,0.0114212418988515,-0.0310914274461067,8.0,0.0
28,28,28,76.00165557861328,77.53124718812849,75.52365774478552,77.14884746233265,432240,76.20845794677734,73.7553197224935,74.08636360168457,74.52073303222656,0.0,-1.2802892493247409,0.0088832502732435,0.0150943012357509,0.0201257669700767,-0.0062893081761006,8.0,1.0
29,29,29,76.81424713134766,78.34383867503014,75.71485070212755,76.00165230754769,559445,75.95567626953125,73.93823496500652,74.15282745361328,74.44000213623048,74.32184270222982,-1.2737093962804211,0.0106917612063576,-0.0105786993187667,0.0199128625327404,-0.0143124025851637,8.0,1.0
30,30,30,73.65946960449219,76.38405581685551,73.4204706859749,76.38405581685551,194146,75.590576171875,73.86682637532552,74.10870132446288,74.30097381591797,74.4935925801595,-1.299254791681567,-0.0410702134652311,0.0369889469336766,0.0369889469336766,-0.0032446462050373,8.0,0.0
31,31,31,70.55247497558594,74.18525371348927,70.26567339121611,73.32485625404705,363663,74.47206115722656,73.93089904785157,73.9162971496582,74.13384887695312,74.509912109375,-1.3244132713616723,-0.042180518616126,0.0392953086255367,0.051490450748332,-0.00406508183404,8.0,0.0
32,32,32,68.2580795288086,70.60026556472683,67.87567987360423,70.02666972875366,268772,73.05718536376953,73.96774139404297,73.59267120361328,73.87306213378906,74.40574671427409,-1.342991836219441,-0.0325204104827123,0.0259103422210791,0.0343136820151774,-0.0056022621474864,8.0,0.0
33,33,33,65.9158935546875,68.4970860450986,65.48569845311944,68.25808714563466,357542,71.04003295898437,73.76042785644532,73.07649803161621,73.47709747314452,73.94061635335287,-1.3619573785762673,-0.034313681109832,0.0355330628872374,0.0391588788562746,-0.0065264244838181,8.0,0.0
34,34,34,60.08432388305664,63.09571157610428,59.65412876705034,63.09571157610428,1076303,67.69404830932618,72.82487258911132,72.37718830108642,72.86107162475587,73.31567649841308,-1.4091777457188042,-0.0884698569214216,0.0501193572371516,0.0501193572371516,-0.0071598561522236,8.0,0.0
35,35,35,59.89312362670898,63.09570731183374,59.27172505051049,60.75351744740652,303896,64.94077911376954,71.82627868652344,71.63531455993652,72.27511688232421,72.74094136555989,-1.4107259646051196,-0.0031821986833003,0.0143654858621173,0.0534716423388641,-0.0103751238634911,8.0,0.0
36,36,36,58.793731689453125,61.13592173002577,57.64653619541408,61.13592173002577,418140,62.58903045654297,70.85497436523437,71.09543190002441,71.65084381103516,72.20971247355143,-1.4196281459789122,-0.0183558958138157,0.0398374107795034,0.0398374107795034,-0.0195122075274708,8.0,0.0
37,37,37,58.55473327636719,59.74972783302774,56.30814496857893,59.08053015193104,240260,60.64836120605469,69.92745971679688,70.6378963470459,71.00380920410156,71.6689453125,-1.4215634041423022,-0.0040650322103778,0.0089795793805802,0.0204081632653061,-0.0383673220264668,8.0,0.0
