,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
27,2020-02-14,1675.8865966796875,1697.870226389439,1658.588882659754,1690.8913117771513,1892157,1681.4000244140625,1677.3073852539062,1663.5472900390623,1650.3089294433594,1656.9558447265624,,-0.3498777009488923,-0.0052373915352675,0.0089532997800636,0.0131176117484954,-0.0103215301406456,Financial Services,9.0,0.0
28,2020-02-17,1686.0059814453125,1694.0815579840205,1667.212786455775,1679.92438043234,1812765,1685.7468505859374,1678.7879028320312,1668.382674153646,1653.9578979492187,1656.9558447265624,,-0.2975352310041947,0.0060382276376419,-0.0036071052415597,0.0047897674311838,-0.0111465767004144,Financial Services,9.0,1.0
29,2020-02-18,1685.906494140625,1694.6800361087448,1673.244796827832,1677.432097215613,2219039,1688.44873046875,1678.060107421875,1672.6996337890623,1657.242987060547,1657.522138671875,,-0.2980498286181894,-5.9007681931362696e-05,-0.0050266114725013,0.0052040501644736,-0.007510320030677,Financial Services,9.0,0.0
30,2020-02-19,1695.97607421875,1734.7589274546692,1690.2932919305513,1734.7589274546692,3168534,1685.6970458984374,1679.19169921875,1676.730802408854,1663.0055847167969,1658.5390771484374,,-0.2459649731845468,0.0059727986772231,0.0228675709672288,0.0228675709672288,-0.0033507443734526,Financial Services,9.0,1.0
31,2020-02-20,1680.8714599609375,1694.1314458079332,1671.1508293317615,1692.1873683631409,2099903,1684.9293212890625,1680.3830932617188,1680.565869140625,1666.998516845703,1657.916943359375,1661.7427124023438,-0.3240935191512414,-0.008906148198329,0.006732167611714,0.0078887566139673,-0.0057830898202065,Financial Services,9.0,0.0
32,2020-02-24,1673.194580078125,1678.6780123381754,1657.2926752050178,1666.9634070553402,1926133,1684.39091796875,1682.8954711914062,1679.668562825521,1668.7581970214844,1657.1253271484377,1661.5283569335938,-0.3638021441162838,-0.0045672022315084,-0.0037241173841801,0.0032772232980784,-0.0095039184697602,Financial Services,9.0,0.0
33,2020-02-25,1670.7520751953125,1684.6101071855087,1663.3244436360187,1671.1507729225043,1535555,1681.34013671875,1683.5434936523438,1679.6386474609376,1671.622039794922,1659.434345703125,1661.019893391927,-0.376435989095939,-0.0014597853183928,0.0002386336866557,0.0082944873724464,-0.0044456814805544,Financial Services,9.0,0.0
34,2020-02-26,1661.4801025390625,1672.6463167733737,1652.0087188162177,1665.0692341356191,2585895,1676.4548583984374,1682.4517944335937,1677.5250244140625,1673.6384399414062,1661.085361328125,1660.6775919596355,-0.4243952239040097,-0.005549580212352,0.0021602013716996,0.0067206427674018,-0.0057005700570056,Financial Services,9.0,0.0
35,2020-02-27,1677.68115234375,1683.8126514053613,1655.5978491297094,1660.9816073716756,2689352,1672.7958740234376,1679.2464599609375,1677.0597574869792,1675.7470703125,1664.963642578125,1660.9152099609375,-0.3405953702454134,0.0097509743149672,-0.0099539444361909,0.0036547463461966,-0.013162991777782,Financial Services,9.0,1.0
36,2020-02-28,1615.4691162109375,1655.0993802507562,1608.8890212391875,1649.9150925039494,3743312,1659.7154052734377,1672.32236328125,1673.4938639322916,1675.353253173828,1665.54189453125,1658.2166870117187,-0.662386833550748,-0.0370821571464286,0.0213225842248252,0.0245317373400308,-0.0040731790572285,Financial Services,9.0,0.0
37,2020-03-02,1594.1834716796875,1632.3681526092196,1579.4280037485748,1626.0870808690247,4762847,1643.91318359375,1664.15205078125,1669.9013753255208,1670.729718017578,1663.7891943359375,1654.9233032226562,-0.7724867294372206,-0.0131761383227029,0.0200125078173858,0.0239525008305971,-0.0092558154022044,Financial Services,9.0,0.0
38,2020-03-03,1621.4012451171875,1631.4208990981338,1582.219577411401,1598.9690204847009,2918386,1634.043017578125,1657.6915771484375,1667.0433349609375,1668.2397399902345,1664.1062353515624,1655.2024576822917,-0.6317029247781295,0.0170731750272272,-0.0138350853621462,0.0061796264256737,-0.0241653124566058,Financial Services,9.0,1.0
39,2020-03-04,1603.1064453125,1628.1807122127643,1572.8478906594562,1627.2833988740806,2530221,1622.3682861328125,1649.411572265625,1662.4239583333333,1663.73583984375,1663.3844091796875,1654.6325154622396,-0.7263326904308808,-0.0112833266039371,0.0150813151754671,0.0156410492725431,-0.0188749504073919,Financial Services,9.0,0.0
40,2020-03-05,1646.3758544921875,1671.4501231495688,1603.156455725921,1610.1353706451257,5060962,1616.1072265625,1644.4515502929687,1658.200048828125,1661.8216247558594,1663.8191015625,1656.820906575521,-0.5025218756463583,0.0269909769910835,-0.0220122785135474,0.0152299783727787,-0.0262512345819097,Financial Services,9.0,1.0
41,2020-03-06,1626.136962890625,1639.0479059259687,1593.3858170433377,1600.3647314846285,3542243,1618.2407958984377,1638.9781005859377,1654.2951741536458,1659.680596923828,1663.93076171875,1657.658378092448,-0.6072074469438689,-0.0122929958832547,-0.0158487458277707,0.007939640589925,-0.020140459625903,Financial Services,9.0,0.0
42,2020-03-09,1573.396240234375,1605.1003776271727,1537.9532770806738,1590.19545946247,5535501,1614.083349609375,1628.9982666015626,1647.4624837239585,1655.9468688964844,1659.4004443359374,1655.5048868815104,-0.8800085859887974,-0.0324331368512145,0.0106770429460238,0.020150129116919,-0.0225264064114082,Financial Services,9.0,0.0
43,2020-03-11,1584.5126953125,1600.065680024675,1537.8536194733672,1571.202811357241,4714202,1606.7056396484377,1620.3743286132812,1640.6962646484376,1651.9589111328123,1655.932919921875,1654.5394694010415,-0.8225087745580774,0.0070652609901171,-0.0083999856830645,0.0098156264435025,-0.0294469561381018,Financial Services,9.0,1.0
44,2020-03-12,1460.6370849609375,1541.7917978464004,1346.880674954541,1505.3519652838406,7807913,1578.211767578125,1600.2900268554688,1625.6783040364585,1641.3709106445312,1646.631025390625,1649.1889689127604,-1.463254784506565,-0.0781789951686891,0.0306132719641984,0.0555611751345017,-0.07788136504109,Financial Services,9.0,0.0
45,2020-03-13,1465.6219482421875,1500.4666227948167,1168.5195870509215,1395.782904925411,11408890,1542.060986328125,1579.0841064453125,1610.3213623046877,1629.165283203125,1637.8694970703125,1643.5260823567708,-1.437470602708914,0.0034128007104402,-0.0476514720597209,0.0237746675357997,-0.2027141866615736,Financial Services,9.0,1.0
46,2020-03-16,1379.5318603515625,1440.3980093769271,1370.858115863142,1412.7316001295073,6580520,1492.7399658203126,1555.490380859375,1590.2320556640625,1613.9063720703125,1626.292470703125,1635.3989624023438,-1.8827711760460024,-0.0587396279060082,0.0240659463779866,0.0441208722862358,-0.0062874549966609,Financial Services,9.0,0.0
47,2020-03-17,1318.7156982421875,1398.7239682131478,1299.174761941827,1387.807000617781,4821115,1441.803857421875,1527.943603515625,1566.6001302083334,1596.0478271484376,1613.1182666015625,1623.134346516927,-2.197342487552529,-0.0440846375913902,0.0523928716915178,0.0606713562882501,-0.0148181570344601,Financial Services,9.0,0.0
48,2020-03-18,1168.4197998046875,1324.9967819766528,1158.5994943465116,1322.0058185861863,11165442,1358.5852783203125,1482.645458984375,1533.1113118489584,1570.1685180664062,1593.2841845703124,1606.374979654948,-2.974747312942651,-0.1139714182805591,0.1314476344950437,0.1340074707721819,-0.0084047749446024,Financial Services,9.0,0.0
49,2020-03-19,1207.20263671875,1249.8238645837075,997.984774101112,1091.7515240850628,9917249,1307.898388671875,1443.055078125,1502.8261474609376,1546.2333251953123,1574.67640625,1590.1755859375,-2.7741432720289994,0.0331925536699612,-0.0956352389582997,0.0353057776454204,-0.1733079901037202,Financial Services,9.0,1.0
50,2020-03-20,1258.54736328125,1279.7333513091048,1143.046365832264,1213.3339967011473,10379190,1266.4834716796877,1404.2722290039062,1474.883894856771,1524.3618896484377,1556.6289208984374,1575.971826171875,-2.508562916190994,0.0425319867607795,-0.0359250417578435,0.0168336835354525,-0.091773262428404,Financial Services,9.0,1.0
51,2020-03-23,1094.9417724609375,1200.8218205113794,1074.9023434652736,1134.073540791547,6694405,1209.5654541015624,1351.1527099609375,1440.1820719401042,1495.0654052734376,1533.0381884765625,1556.837967936198,-3.354812062619986,-0.1299955771181821,0.0357386751650352,0.0966992498719554,-0.0183018216125084,Financial Services,9.0,0.0
52,2020-03-24,1149.42724609375,1181.4305297749804,1037.9639626204332,1149.67649304096,7371834,1175.707763671875,1308.755810546875,1410.5316569010415,1468.877038574219,1511.979814453125,1540.2165161132812,-3.0729862073826335,0.0497610694953701,0.0002168444745476,0.0278428093556954,-0.0969728913701298,Financial Services,9.0,1.0
53,2020-03-25,1286.2637939453125,1320.0118055704709,1121.6611376969486,1136.5660561558436,6449060,1199.2765625,1278.9309204101562,1388.18916015625,1449.6526245117188,1495.990126953125,1527.6162475585938,-2.3651998093807767,0.1190475937616688,-0.116381832788985,0.0262372398134944,-0.1279695945910782,Financial Services,9.0,1.0
54,2020-03-26,1368.8143310546875,1385.8130214739554,1249.0263460210235,1296.08412080298,7254949,1231.5989013671874,1269.7486450195313,1372.569685872396,1435.0193359375,1483.3064404296874,1517.4968221028646,-1.9382075457558217,0.064178543699944,-0.0531337293902147,0.0124185508827703,-0.0875122230356588,Financial Services,9.0,1.0
55,2020-03-27,1394.8856201171875,1445.6323239680364,1370.4096424122624,1431.6744946331726,10223286,1258.866552734375,1262.6750122070312,1355.8036702473958,1420.8795593261718,1471.262822265625,1507.0018595377603,-1.803353926115918,0.0190466219347745,0.0263741155442511,0.0363805484256016,-0.0175469424531516,Financial Services,9.0,1.0
56,2020-03-30,1289.802978515625,1375.8430683554145,1271.9569954983153,1341.14784664628,5570325,1297.8387939453123,1253.7021240234376,1333.3814046223958,1404.5962524414062,1455.6200830078126,1493.838289388021,-2.346893393892989,-0.0753342353566841,0.0398083032726017,0.0667079323532102,-0.0138362085640768,Financial Services,9.0,0.0
57,2020-03-31,1292.1461181640625,1325.9938061127364,1281.1293540262152,1324.298975492736,4476861,1326.382568359375,1251.045166015625,1314.631396484375,1389.494384765625,1440.37814453125,1481.0469401041669,-2.3347735151192133,0.0018166647832788,0.0248832983179623,0.0261949383841868,-0.0085259429897142,Financial Services,9.0,1.0
58,2020-04-01,1178.090576171875,1290.999436659245,1154.5117920033074,1290.999436659245,10838462,1304.7479248046875,1252.0122436523438,1287.5365885416666,1367.3288513183593,1420.6716845703124,1464.1164265950522,-2.9247252678217945,-0.0882683006115768,0.095840559945959,0.095840559945959,-0.0200144069101929,Financial Services,9.0,0.0
59,2020-04-03,1137.4134521484375,1179.4365102217105,1083.725686061707,1178.0906010974816,10111471,1258.4677490234376,1245.0333251953125,1265.9883463541669,1344.0442016601562,1399.7090185546874,1445.8333251953125,-3.1351274998691507,-0.0345280107032305,0.0357628519974067,0.0369461588430279,-0.0472016275043352,Financial Services,9.0,0.0
60,2020-04-07,1194.4412841796875,1225.3479060238992,1167.472715470064,1217.3221055413735,8552570,1218.3788818359376,1238.6227172851563,1247.9096354166666,1321.4474731445312,1380.379423828125,1429.115498860677,-2.8401513078138025,0.0501381726438449,0.0191560871720872,0.0258753797725919,-0.0225783963320933,Financial Services,9.0,1.0
61,2020-04-08,1184.072509765625,1238.807160847895,1156.8546958742052,1181.231119056711,7405087,1197.2327880859375,1247.535791015625,1234.879012044271,1299.3442504882812,1363.1235595703124,1412.5555338541667,-2.893783744538121,-0.0086808573610075,-0.0023996762744509,0.0462257595129069,-0.0229866107581598,Financial Services,9.0,0.0
62,2020-04-09,1269.0657958984375,1277.3407216229857,1186.5151573163828,1211.3401778952523,8097402,1192.6167236328124,1259.4996459960937,1231.5690185546875,1284.1277282714843,1350.1188525390626,1399.0845743815105,-2.45415637311728,0.0717804741110289,-0.0454867022574808,0.0065204859758196,-0.0650483519836833,Financial Services,9.0,1.0
63,2020-04-13,1247.1322021484375,1253.3633765918778,1212.337299715742,1246.234888688057,4250536,1206.425048828125,1255.5864868164062,1236.816512044271,1267.258703613281,1335.1480908203123,1384.9639119466146,-2.567607783279929,-0.0172832597182024,-0.0007195014761343,0.0049964024926192,-0.0278999310359834,Financial Services,9.0,0.0
64,2020-04-15,1170.2144775390625,1267.1216469340939,1149.826124886202,1262.0370332891441,9045676,1212.98525390625,1235.7265014648438,1234.350634765625,1252.7375732421874,1317.832412109375,1368.5883911132812,-2.965464350831057,-0.0616756783898841,0.0784664328740682,0.0828114599973375,-0.0174227486022363,Financial Services,9.0,0.0
65,2020-04-16,1127.443603515625,1161.4408623779104,1111.092979628885,1161.4408623779104,11055205,1199.5857177734374,1208.9822998046875,1225.6103841145834,1235.828656005859,1297.0751220703123,1350.247139485677,-3.186696494872568,-0.0365496025253283,0.0301542877677201,0.0301542877677201,-0.0145023873795151,Financial Services,9.0,0.0
