,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,0,0,0,660.77783203125,670.2015234570385,648.5749211055892,659.372253789428,80388,0.0,0.0,0.0,0.0,0.0,-1.3703152439069974,0.0,-0.0021271570771392,0.0142615126733591,-0.0184674944196429,11.0,
1,1,1,1,666.0805053710938,678.6348372234635,659.9790805543033,661.2568520752627,192306,0.0,0.0,0.0,0.0,0.0,-1.3617398154894016,0.0080248959374789,-0.0072418472796221,0.0188480697920672,-0.0091601912495414,11.0,
2,2,2,2,689.1766357421875,696.3642104571344,662.5346453380112,665.7291619841873,126219,0.0,0.0,0.0,0.0,0.0,-1.3243889926068046,0.0346746829923001,-0.0340224443806763,0.0104292199447626,-0.0386577098271548,11.0,
3,3,3,3,692.2432250976562,697.0030041677709,685.502885660421,689.8793040499063,73255,0.0,0.0,0.0,0.0,0.0,-1.319429736054758,0.0044496420749468,-0.0034148706149005,0.0068758767114596,-0.0097369525520228,11.0,
4,4,4,4,721.0575561523438,726.4242554871205,692.2433233523184,692.2433233523184,193513,685.8671508789063,0.0,0.0,0.0,0.0,-1.2728314982369144,0.0416245764638904,-0.0399610718370136,0.0074428168583575,-0.0399610718370136,11.0,
5,5,5,5,726.3284301757812,748.1467093316389,712.4643889272331,720.6741811553015,206274,698.9772705078125,0.0,0.0,0.0,0.0,-1.2643074953445383,0.0073099213488082,-0.0077847001240352,0.0300391369102506,-0.0190878405313046,11.0,1.0
6,6,6,6,763.863525390625,773.7025132368715,722.1117156259907,725.1464890710905,615586,718.5338745117188,0.0,0.0,0.0,0.0,-1.2036061280278,0.051677854886886,-0.0506858031999045,0.0128805572189285,-0.0546587294416018,11.0,1.0
7,7,7,7,753.8009033203125,773.3830676362766,747.5077977153602,768.591350984255,302712,731.4587280273438,0.0,0.0,0.0,0.0,-1.2198792962444611,-0.0131733244694026,0.0196211593788149,0.0259778997739446,-0.0083484983597561,11.0,0.0
8,8,8,8,762.5218505859375,766.6746521207133,752.0120110974315,753.8967607495795,130822,745.514453125,0.0,0.0,0.0,0.0,-1.2057758706292985,0.0115692979767088,-0.0113112690865584,0.005446141027414,-0.0137830010778445,11.0,1.0
9,9,9,9,755.717529296875,761.5634582384931,748.018846293184,756.7717419712473,93963,752.4464477539062,0.0,0.0,0.0,0.0,-1.2167797485612544,-0.008923444336492,0.0013949824286239,0.0077356005583955,-0.0101872494751497,11.0,0.0
10,10,10,10,754.056396484375,763.4801441307927,745.5910505832652,760.2856276267802,66211,757.992041015625,0.0,0.0,0.0,0.0,-1.219466115345095,-0.0021980869148893,0.0082609618742677,0.0124974042927743,-0.0112264095107178,11.0,0.0
