,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,741.9016723632812,768.1913662115204,738.9806012507767,758.710684532969,1992794,0.0,0.0,0.0,0.0,0.0,-0.8141024857182955,0.0,0.0226566576082025,0.0354355500567817,-0.0039372752769241,9.0,0.0
1,736.4951782226562,747.1545395814189,725.348980609147,743.0804151481061,2897564,0.0,0.0,0.0,0.0,0.0,-0.8369767704377159,-0.007287345940875,0.0089413170923151,0.014473090488503,-0.0151341080608399,9.0,0.0
2,740.4412231445312,753.8166494345538,733.3435242120478,737.9557364613175,2685790,0.0,0.0,0.0,0.0,0.0,-0.820281486449457,0.0053578693229163,-0.0033567643258141,0.0180641296998826,-0.0095857695528359,9.0,0.0
3,787.3577270507812,800.9637851729881,733.1641267033662,747.1288920987358,6672183,0.0,0.0,0.0,0.0,0.0,-0.6217828955923322,0.0633629009835559,-0.051093465612805,0.017280656116974,-0.0688297053366187,9.0,1.0
4,792.6875,803.5518686640004,781.515675613969,787.6653284116499,2637687,759.77666015625,0.0,0.0,0.0,0.0,-0.5992332098330869,0.0067691885989136,-0.0063356260674605,0.0137057398583935,-0.0140936048392726,9.0,1.0
5,833.992431640625,848.1366316543687,794.5835676086351,794.8398255476727,5550282,778.1948120117188,0.0,0.0,0.0,0.0,-0.42447656678702,0.0521074592959079,-0.0469459968790502,0.0169596263432743,-0.0472532633832959,9.0,1.0
6,812.8787231445312,845.5742755076526,807.4977908957759,841.6794778120973,2240459,793.4715209960938,0.0,0.0,0.0,0.0,-0.513806355567049,-0.0253164269783108,0.035430567743431,0.0402219315528917,-0.0066196003112737,9.0,0.0
7,825.7161254882812,828.6628228641466,799.452107066744,807.1135202439941,2589565,810.5265014648437,0.0,0.0,0.0,0.0,-0.4594927118950432,0.015792518586401,-0.0225290565002428,0.0035686566907275,-0.0318075638961345,9.0,1.0
8,824.0249633789062,834.9149574109165,813.2887241197153,828.6628016733151,1643802,817.8599487304688,0.0,0.0,0.0,0.0,-0.466647833604297,-0.0020481156382587,0.0056282740214463,0.0132156118030162,-0.0130290218577445,9.0,0.0
9,864.3306884765625,871.0953063633931,817.644741629816,825.0755225348925,4343077,832.1885864257813,0.0,0.0,0.0,0.0,-0.2961187240323963,0.0489132330802006,-0.045416836941032,0.0078264233551093,-0.0540139873189431,9.0,1.0
10,858.5910034179688,883.9838507410606,851.8263858869918,864.3050172139212,3187471,837.10830078125,0.0,0.0,0.0,0.0,-0.3204027030426648,-0.0066406123664431,0.0066551056011598,0.0295750214269721,-0.0078787426190672,9.0,0.0
11,869.48095703125,880.3453249908716,850.7502237627474,857.8735486933506,2194478,848.4287475585937,0.0,0.0,0.0,0.0,-0.2743285017113968,0.0126835170295628,-0.013349813177659,0.0124952339344117,-0.021542430707691,9.0,1.0
12,860.6920166015625,881.4470237337681,855.3879622142042,873.2475240482024,1533709,855.42392578125,0.0,0.0,0.0,0.0,-0.3115135463154508,-0.0101082609787066,0.014587688981031,0.024114325138226,-0.0061625462825847,9.0,0.0
13,872.37646484375,885.5212594892224,864.5356714190146,869.6603459100234,2019704,865.0942260742188,0.0,0.0,0.0,0.0,-0.2620779252032764,0.0135756438038352,-0.0031134711253508,0.0150678006287421,-0.0089878552903645,9.0,1.0
14,808.7277221679688,877.8085644713664,800.7844796753025,877.8085644713664,2948663,853.9736328125,815.3129597981771,0.0,0.0,0.0,-0.5313687861808194,-0.0729601785935172,0.0854191595141706,0.0854191595141706,-0.0098218996022205,9.0,0.0
15,791.8931884765625,819.9508508151276,775.3660037193172,809.7014476833342,5128667,840.6340698242187,818.6457275390625,0.0,0.0,0.0,-0.6025938549148044,-0.0208160710087662,0.0224882085941806,0.0354311196848937,-0.0208704721769866,9.0,0.0
16,685.8888549804688,763.5791557096145,679.3292439401093,745.6427689009188,5197942,803.9156494140625,815.27197265625,0.0,0.0,0.0,-1.0510865828846787,-0.1338619084475572,0.0871189457104555,0.1132695190554715,-0.0095636647143744,9.0,0.0
17,727.3988647460938,736.033949655035,688.0924505142415,696.4457055292427,10430428,777.2570190429688,814.4024820963542,0.0,0.0,0.0,-0.8754622767469743,0.0605200237096825,-0.0425532135352666,0.0118711828234092,-0.0540369474532691,9.0,1.0
18,747.6926879882812,759.4794775766803,727.7576488732424,735.3934363093919,4449739,752.320263671875,811.7581461588542,0.0,0.0,0.0,-0.7896013327020546,0.0278991681534604,-0.0164496080762557,0.0157642167400515,-0.0266620757903564,9.0,1.0
19,804.704833984375,827.63781973613,741.850468670287,754.3547254366753,9971023,751.5156860351562,812.5593017578125,799.3636413574219,0.0,0.0,-0.5483891855953794,0.0762507737630668,-0.0625696608511704,0.0284986305328946,-0.0781085966675185,9.0,1.0
20,820.232666015625,842.9350196460947,805.8578878038309,809.701380009704,6932943,757.1835815429688,811.6419840494792,803.2801910400391,0.0,0.0,-0.4826926285068907,0.0192963076341498,-0.0128393886786756,0.0276779437970313,-0.0175252447352789,9.0,1.0
21,793.81494140625,827.919808486227,786.1279021911153,820.2071434741611,3106270,778.768798828125,810.3710652669271,806.1461791992188,0.0,0.0,-0.5944631286935843,-0.0322075987752379,0.0332472981941571,0.042963246596946,-0.0096836665753823,9.0,0.0
