,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,IEX.NS,IEX.NS,IEX.NS,IEX.NS,IEX.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,54.486209869384766,58.07163328940811,51.743512332865166,52.09592408236588,3475305,,,,,,,-1.5317014193813585,,-0.0438695551176878,0.0658042361290753,-0.0503374623247687,Financial Services,9.0,
3,2020-01-13,54.14912033081055,55.54344874123757,52.83139890104011,54.85394383128838,840057,,,,,,,-1.5379469209415455,-0.0061866945669793,0.0130163425771627,0.0257497887668114,-0.0243350477666146,Financial Services,9.0,
4,2020-01-14,55.007171630859375,56.30957104163998,53.6281617277988,54.70072615473598,584232,,,,,,,-1.5220491842279047,0.0158460801358688,-0.0055710095072671,0.0236769019778131,-0.0250696384157832,Financial Services,9.0,
5,2020-01-15,56.83052444458008,57.61196191866443,53.93460249802613,55.58941704291595,816258,,,,,,,-1.4882666085626048,0.0331475471227062,-0.0218387462335392,0.0137503125603986,-0.050957156824727,Financial Services,9.0,1.0
6,2020-01-16,60.201438903808594,61.22803701393042,56.079734886195794,56.079734886195794,2004237,56.13489303588867,,,,,,-1.4258112395724627,0.0593152094261554,-0.0684652076871212,0.0170527171578431,-0.0684652076871212,Financial Services,9.0,1.0
7,2020-01-17,56.6313362121582,61.289324085114146,56.07973367715151,60.55385637644081,1237806,56.56391830444336,,,,,,-1.491957112936083,-0.0593026139683271,0.0692641287782378,0.0822510677746628,-0.0097402352107713,Financial Services,9.0,0.0
8,2020-01-20,56.125701904296875,57.81115727000134,55.405552761614025,57.1522965206523,825588,56.959234619140624,,,,,,-1.5013253652763636,-0.0089285251184444,0.0182909893600249,0.030030009577046,-0.0128310046600542,Financial Services,9.0,0.0
9,2020-01-21,56.61601257324219,58.02566657500207,55.42087144192432,55.77328318886264,602514,57.281002807617185,,,,,,-1.4922410250716016,0.0087359383011613,-0.0148850006575319,0.0248985037569762,-0.0211095956249436,Financial Services,9.0,1.0
10,2020-01-22,55.252323150634766,57.19826102167052,54.56281826852034,56.84584577865499,1867692,56.965362548828125,,,,,,-1.5175070848031775,-0.0240866384018702,0.0288408258178718,0.0352191140584357,-0.0124792016479492,Financial Services,9.0,0.0
11,2020-01-23,54.30234909057617,55.69668120788927,53.8120348852577,55.16040070338541,332871,55.78554458618164,55.960218811035155,,,,,-1.5351079409416637,-0.0171933776878245,0.0158013718960483,0.0256771970396225,-0.0090293369169098,Financial Services,9.0,0.0
12,2020-01-24,54.287017822265625,55.313612358705505,53.50558034708019,54.50153068923867,558219,55.316680908203125,55.94029960632325,,,,,-1.53539199443249,-0.0002823315854158,0.0039514579282169,0.018910497898428,-0.0143945552092001,Financial Services,9.0,0.0
13,2020-01-27,52.77011489868164,54.455570316366504,52.44834380974849,54.455570316366504,489999,54.64556350708008,55.80239906311035,,,,,-1.563496751453333,-0.0279422776279641,0.0319395821085652,0.0319395821085652,-0.0060976006883999,Financial Services,9.0,0.0
14,2020-01-28,52.06528091430664,53.30639187829719,51.3298096987956,53.30639187829719,1178142,53.735417175292966,55.508209991455075,,,,,-1.576555720200053,-0.0133566884538394,0.0238375927719141,0.0238375927719141,-0.0141259434808685,Financial Services,9.0,0.0
15,2020-01-29,51.08465576171875,52.662856481203676,50.87014287232257,52.32576329486527,639492,52.90188369750977,54.93362312316894,,,,,-1.5947244712872308,-0.018834531099561,0.0242951139562452,0.0308938309547655,-0.0041991648215613,Financial Services,9.0,0.0
16,2020-01-30,49.38387680053711,51.574968419309904,49.077427820692165,50.71691688694966,548850,51.91818923950195,53.8518669128418,54.612875620524086,,,,-1.626236032578994,-0.0332933428995747,0.026993427263654,0.0443685623877339,-0.0062054459815437,Financial Services,9.0,0.0
17,2020-01-31,50.487083435058594,52.09592835347176,47.54519838984882,48.87823851664542,876780,51.15820236206055,53.23744163513184,54.34626719156901,,,,-1.605796125762972,0.0223394092565346,-0.0318664658156105,0.0318664658156104,-0.0582700533492672,Financial Services,9.0,1.0
18,2020-02-03,47.43793869018555,49.062105655951406,46.717789550431235,49.062105655951406,590658,50.091767120361325,52.368665313720705,53.89885508219401,,,,-1.662289834650792,-0.0603945511884273,0.0342377221820957,0.0342377221820957,-0.0151808691447907,Financial Services,9.0,0.0
19,2020-02-04,51.605613708496094,52.34108847009275,46.79440460290669,46.916981391837076,31095636,49.99983367919922,51.8676254272461,53.67208455403646,,,,-1.585072306811431,0.0878553144041395,-0.0908550829982107,0.0142518363554615,-0.0932303437522594,Financial Services,9.0,1.0
20,2020-02-05,55.06845474243164,55.160387318494614,52.09591901835404,52.38704585655938,5093832,50.796593475341794,51.849238586425784,53.554613240559895,,,,-1.5209137477187902,0.0671020221461961,-0.0486922848736877,0.0016694235655052,-0.053978920199974,Financial Services,9.0,1.0
21,2020-02-06,54.82330322265625,55.84990135947371,54.07250987346373,55.46684188210851,1532685,51.88447875976563,51.90133399963379,53.19607086181641,53.93077640533447,,,-1.5254558471435171,-0.0044517595585716,0.0117384145358521,0.0187255797529763,-0.0136947849738876,Financial Services,9.0,0.0
22,2020-02-07,55.037811279296875,55.22167995257691,54.31766219036968,54.80797631444763,1570377,52.79462432861328,51.976413345336915,53.08983586629232,53.95835647583008,,,-1.5214815013121743,0.0039127167469175,-0.00417594667206,0.0033407700816256,-0.0130846244098025,Financial Services,9.0,1.0
23,2020-02-10,56.049095153808594,56.69263034077551,54.777339865223446,54.8079840639358,2397048,54.51685562133789,52.30431137084961,53.0847287495931,54.05335521697998,,,-1.502744713920997,0.0183743475804264,-0.0221432850337185,0.0114816338283596,-0.0226900235426678,Financial Services,9.0,1.0
24,2020-02-11,57.88777160644531,58.37808576998381,55.46684147859499,56.110380133365595,7848087,55.77328720092773,52.88656044006348,53.16951268513997,54.19738521575928,,,-1.4686782261201785,0.0328047481871217,-0.0307040921382059,0.0084700818485801,-0.0418210972830187,Financial Services,9.0,1.0
25,2020-02-12,58.30147171020508,58.83775567545769,56.69262682845428,57.029720007413474,5746527,56.419890594482425,53.60824203491211,53.372789255777995,54.270932579040526,,,-1.4610133052377037,0.007146588861156,-0.0218133722097618,0.0091984635982824,-0.0275952704890155,Financial Services,9.0,1.0
26,2020-02-13,57.97970199584961,58.71517321323604,57.19826448493966,58.71517321323604,559587,57.051170349121094,54.46782455444336,53.61794611612956,54.15984573364258,54.5548551940918,,-1.466974965340026,-0.0055190667562367,0.012684977536433,0.012684977536433,-0.0134777772911954,Financial Services,9.0,0.0
27,2020-02-14,58.17889404296875,58.22486033749424,56.8152062633585,57.918414866987526,929838,57.679386901855466,55.237005615234374,53.8774045308431,54.237223625183105,54.70256256103516,,-1.463284390288894,0.003435547963551,-0.00447721085569,0.0007900853957716,-0.0234395617524644,Financial Services,9.0,1.0
28,2020-02-17,58.209537506103516,58.22485960408568,57.029718426459844,57.918414137438994,1298472,58.11147537231445,56.31416549682617,54.24003270467122,54.34141540527344,54.86497924804687,,-1.46271663669551,0.0005267109944051,-0.0050013001500655,0.0002632231527446,-0.0202684840009245,Financial Services,9.0,1.0
29,2020-02-18,56.922454833984375,58.02566331906818,55.49747881479421,57.627285302318185,413196,57.91841201782226,56.845849609375,54.56384429931641,54.356737518310545,54.94159057617187,,-1.4865633477824525,-0.0221111990794323,0.0123822921971559,0.0193809014087908,-0.0250336360816858,Financial Services,9.0,0.0
30,2020-02-19,57.02972412109375,57.566004618025936,54.85395092033316,56.830533320432245,680733,57.6640625,57.04197654724121,54.960182189941406,54.445607566833495,54.94955856323242,,-1.4845758921561656,0.0018844810439435,-0.0034927540634521,0.0094035260593841,-0.0381515645444938,Financial Services,9.0,1.0
31,2020-02-20,56.7539176940918,58.62324172167372,55.49748460561654,57.029718967390146,5283075,57.41890563964843,57.23503799438477,55.45151824951172,54.56818599700928,54.81165771484375,55.0321969350179,-1.4896859572072385,-0.0048361872909699,0.0048595988524517,0.0329373566360251,-0.0221382618068329,Financial Services,9.0,0.0
32,2020-02-24,59.31275177001953,60.15548482450463,54.256385006144704,55.46684846912372,3001956,57.645677185058595,57.662532043457034,56.039896138509114,54.81947269439697,54.918914337158206,55.19308166503906,-1.4422765885241802,0.045086474729728,-0.0648410870533877,0.0142082946640671,-0.0852492358385341,Financial Services,9.0,1.0
33,2020-02-25,58.1329345703125,62.48447759577577,57.61197265021197,59.45065270302732,7108086,57.63035659790039,57.87091598510742,56.75289586385091,55.08761367797852,54.99920364379883,55.325875473022464,-1.4641359146624895,-0.0198914595006766,0.0226673251996427,0.0748550379853958,-0.0089615623906001,Financial Services,9.0,0.0
34,2020-02-26,56.692623138427734,58.270823720642305,56.110376422855346,57.70389910247955,1318887,57.584390258789064,57.75140113830567,57.09202982584635,55.31898078918457,55.00226806640625,55.382057189941406,-1.4908216057493144,-0.0247761693527219,0.0178378756894448,0.0278378472338638,-0.0102702377018382,Financial Services,9.0,0.0
35,2020-02-27,58.08696746826172,59.80307069759354,56.248287440836954,56.248287440836954,1046427,57.79583892822266,57.729950714111325,57.29326400756836,55.66909637451172,55.11565383911133,55.42393862406413,-1.4649875803913928,0.02459481062341,-0.0316539166626215,0.0295436877518091,-0.0316539166626215,Financial Services,9.0,1.0
36,2020-02-28,53.99589920043945,59.42000272455466,51.7281935548984,57.18294478298344,3184566,57.24423522949219,57.33157043457031,57.23810373942057,55.89969749450684,55.10339584350586,55.21708730061849,-1.5407857595861203,-0.0704300542123772,0.0590238449537303,0.1004539901072905,-0.0419977383305175,Financial Services,9.0,0.0
37,2020-03-02,56.692623138427734,57.7958316869373,54.70072241914996,55.65070648655997,1780560,56.72020950317383,57.18294334411621,57.3484245300293,56.209974479675296,55.19962005615234,55.219130198160805,-1.4908216057493144,0.0499431249024617,-0.0183783461443245,0.0194594726339585,-0.035135095344135,Financial Services,9.0,1.0
38,2020-03-03,56.73859786987305,57.76519251357173,55.957156806039265,56.76924206735616,699225,56.441342163085935,57.03584938049316,57.39439137776693,56.67500743865967,55.358359375,55.23956006368001,-1.4899697986651037,0.00081094733142,0.0005400943737345,0.0180934087594679,-0.0137726537695904,Financial Services,9.0,1.0
39,2020-03-04,57.12165069580078,59.09823288750776,56.095056108707205,56.84584942665649,1007250,56.527147674560545,57.055768966674805,57.343316650390626,56.9508092880249,55.56061416625977,55.2564146677653,-1.482872702053667,0.0067511859705494,-0.0048283140592882,0.0346030299830304,-0.0179720749416131,Financial Services,9.0,1.0
40,2020-03-05,57.1063232421875,58.13292124000499,55.97247056915188,57.62728504282765,619311,56.3310188293457,57.06342887878418,57.26364008585612,57.05270271301269,55.80148086547852,55.318214670817056,-1.4831566848668398,-0.0002683300189433,0.0091226640249759,0.017976958409031,-0.0198551160127566,Financial Services,9.0,0.0
41,2020-03-06,54.88460159301758,56.432154769414915,53.45962521934289,55.95716264485669,548058,56.508759307861325,56.87649726867676,57.05730005900065,57.05576763153076,56.02150985717773,55.337623087565106,-1.5243201279237877,-0.0389050025116766,0.0195421123722898,0.0281964910280811,-0.0259631359673744,Financial Services,9.0,0.0
