,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,0,0,0,2161.1923828125,2200.389281951672,2048.387403583461,2057.959307338524,266354,0.0,0.0,0.0,0.0,0.0,-1.3556129487036928,0.0,-0.0477667218776849,0.0181367005782993,-0.0521957138689516,11.0,
1,1,1,1,2239.346435546875,2249.396932479229,2180.4792392288014,2185.2172839019663,231850,0.0,0.0,0.0,0.0,0.0,-1.2809654232662615,0.0361624690869343,-0.024171852459126,0.0044881384911306,-0.0262876683051934,11.0,
2,2,2,2,2224.31884765625,2250.35437686516,2145.350648553155,2244.1326399661284,160556,0.0,0.0,0.0,0.0,0.0,-1.2953187704067004,-0.00671070257468,0.0089078021933572,0.0117049447458235,-0.0355021939351469,11.0,
3,3,3,3,2264.425048828125,2302.0426744033766,2208.9080113581063,2208.9080113581063,159401,0.0,0.0,0.0,0.0,0.0,-1.2570120087298429,0.0180307788220805,-0.0245170567684497,0.0166124401400342,-0.0245170567684497,11.0,
4,4,4,4,2261.505615234375,2273.327009157612,2242.505527602841,2254.039717692376,85579,2230.157666015625,0.0,0.0,0.0,0.0,-1.259800456492021,-0.0012892604218721,-0.00330129516005,0.0052272228923966,-0.0084015213155084,11.0,
5,5,5,5,2238.1025390625,2273.3271924025926,2231.2108149433448,2261.5057975264745,76445,2245.539697265625,0.0,0.0,0.0,0.0,-1.2821535100155756,-0.0103484492871575,0.0104567409470781,0.0157386235551333,-0.0030792709444144,11.0,0.0
6,6,6,6,2258.347412109375,2285.3401364252272,2243.941648904974,2285.3401364252272,72290,2249.339892578125,0.0,0.0,0.0,0.0,-1.2628169609452358,0.0090455520663299,0.0119524233389052,0.0119524233389052,-0.0063788959693077,11.0,1.0
7,7,7,7,2255.95458984375,2272.4182201908247,2222.165717460772,2258.921740267688,127081,2255.667041015625,0.0,0.0,0.0,0.0,-1.2651024247784113,-0.0010595456893809,0.0013152527259614,0.0072978553829023,-0.0149776385283174,11.0,0.0
8,8,8,8,2259.78271484375,2268.5409122318188,2242.553290193888,2259.064822150005,47447,2254.73857421875,0.0,0.0,0.0,0.0,-1.2614460557442115,0.0016968980746483,-0.0003176821775956,0.0038756812017983,-0.007624372262292,11.0,1.0
9,9,9,9,2229.96630859375,2263.7551746401423,2211.1097054624647,2261.984279019455,57972,2248.430712890625,0.0,0.0,0.0,0.0,-1.2899246933340536,-0.0131943686683441,0.0143580511966998,0.0151521867914228,-0.0084560035990752,11.0,0.0
10,10,10,10,2246.477783203125,2249.397260427872,2223.6010279450293,2236.9537862212496,45894,2250.10576171875,0.0,0.0,0.0,0.0,-1.274154036819261,0.0074043605707152,-0.0042395242245821,0.0012995798340744,-0.0101833881595201,11.0,1.0
11,11,11,11,2256.193359375,2286.440432772548,2225.4674571363407,2249.397214739957,67100,2249.674951171875,0.0,0.0,0.0,0.0,-1.264874368087375,0.004324804030789,-0.0030122172848365,0.0134062416556028,-0.0136184702924446,11.0,1.0
12,12,12,12,2225.0849609375,2278.1132171381123,2214.2207561112346,2270.264302371501,29306,2243.501025390625,0.0,0.0,0.0,0.0,-1.2945870302262592,-0.0137880019494949,0.0203045466699687,0.0238320141170114,-0.0048826022453039,11.0,0.0
13,13,13,13,2201.44189453125,2248.440032100582,2155.7360573525343,2238.9160352796835,80168,2231.832861328125,0.0,0.0,0.0,0.0,-1.317169306374853,-0.0106256915224883,0.0170225436526512,0.0213487976612434,-0.0207617731325349,11.0,0.0
14,14,14,14,2197.56591796875,2215.1781298138776,2179.5227834443986,2215.1781298138776,32387,2225.352783203125,2234.6470540364585,0.0,0.0,0.0,-1.3208713800219802,-0.0017606535844205,0.0080144179981671,0.0080144179981671,-0.008210508898422,11.0,0.0
15,15,15,15,2295.007080078125,2297.352383111844,2183.207447259537,2211.2529342745456,131984,2235.058642578125,2243.5680338541665,0.0,0.0,0.0,-1.227802097333161,0.0443404956878115,-0.0364940685937789,0.0010219153806003,-0.0487142866743497,11.0,1.0
16,16,16,16,2274.8583984375,2292.4706052275224,2251.8379266242378,2278.112751750106,49486,2238.791650390625,2245.935498046875,0.0,0.0,0.0,-1.2470467708040445,-0.008779354894164,0.0014305740149984,0.0077421112461855,-0.0101195185727049,11.0,0.0
17,17,17,17,2269.306884765625,2338.6073712938933,2235.039424158491,2278.112989078033,128380,2247.63603515625,2248.9347005208333,0.0,0.0,0.0,-1.2523492054640355,-0.0024403776849091,0.0038805259753653,0.0305381731283231,-0.0151004083392948,11.0,0.0
18,18,18,18,2285.052490234375,2306.828569050097,2265.6693871126886,2293.427905163499,33615,2264.358154296875,2250.30986328125,0.0,0.0,0.0,-1.2373100559428836,0.0069385086585044,0.0036653052675672,0.009529793695675,-0.008482563619227,11.0,1.0
19,19,19,19,2296.15625,2320.181588465416,2268.493307642389,2273.32716582754,127417,2284.076220703125,2252.619905598958,2247.004345703125,0.0,0.0,-1.2267044870624992,0.0048593018379573,-0.0099423043063642,0.0104632855300748,-0.0120474999720121,11.0,1.0
20,20,20,20,2395.368408203125,2448.492462810627,2249.3969068041333,2297.25641545954,572347,2304.148486328125,2263.104296875,2258.7131469726564,0.0,0.0,-1.131943667321761,0.0432079298624059,-0.040959040959041,0.0221778221778221,-0.0609390609390609,11.0,1.0
21,21,21,21,2474.5283203125,2584.4138136453007,2412.406763230493,2448.779994681797,582152,2344.082470703125,2277.516357421875,2270.4722412109377,0.0,0.0,-1.05633541226565,0.0330470719402851,-0.0104053469177718,0.0444066420379152,-0.0251044033612682,11.0,1.0
22,22,22,22,2522.3876953125,2541.340108964617,2492.284108744491,2500.180928292121,123493,2394.6986328125,2295.278564453125,2285.37568359375,0.0,0.0,-1.0106233373605351,0.0193408071377239,-0.0088038674870034,0.0075136798705994,-0.0119345597125899,11.0,1.0
23,23,23,23,2531.385498046875,2560.483988969268,2518.032506741959,2536.554232063013,159878,2443.965234375,2313.3854166666665,2298.723706054688,0.0,0.0,-1.0020292378225617,0.0035671767472923,0.0020418596930913,0.0114950847845356,-0.0052749734543469,11.0,1.0
24,24,24,24,2524.097900390625,2579.067116847761,2514.3973949806955,2567.484480095451,74610,2489.553564453125,2332.994189453125,2311.8533203125,2295.514189453125,0.0,-1.0089898638219783,-0.0028788968183126,0.0171889448892261,0.0217777671969969,-0.0038431573547239,11.0,0.0
25,25,25,25,2557.1572265625,2557.881141515346,2515.363156154988,2521.637085746318,65471,2521.911328125,2353.70615234375,2327.8060546875,2311.352783203125,0.0,-0.9774138059590964,0.0130974817445705,-0.0138904798059408,0.0002830936421609,-0.0163439580380025,11.0,1.0
26,26,26,26,2492.438720703125,2557.832359323568,2446.832087126507,2557.832359323568,53972,2525.493408203125,2369.455843098958,2339.5106201171875,2321.476474609375,0.0,-1.0392285953831302,-0.0253087706876647,0.0262368089844129,0.0262368089844129,-0.0182979959337785,11.0,0.0
27,27,27,27,2527.138427734375,2551.944529410556,2453.588726264196,2507.930648015892,141580,2526.4435546875,2389.592740885417,2353.0698120117186,2333.5892578125,0.0,-1.006085755406677,0.0139219900345076,-0.007600604504955,0.0098158855897816,-0.0291039464490743,11.0,1.0
28,28,28,28,2532.543701171875,2622.405521132709,2519.2236211028385,2563.237737248517,141279,2526.6751953125,2411.666194661458,2366.707861328125,2344.31400390625,0.0,-1.0009229996402758,0.0021388909203307,0.0121198445904169,0.0354828309257813,-0.0052595657334059,11.0,1.0
29,29,29,29,2566.230224609375,2596.4416560644663,2537.225318087399,2537.273626214604,81789,2535.10166015625,2436.2438151041665,2383.5210571289062,2356.50298828125,2335.4454345703125,-0.9687478848865224,0.0133014579064962,-0.0112837102911055,0.0117726894358007,-0.011302534840338,11.0,1.0
