,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,0,Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,,,,,,,,,,,,,,
1,1,Date,,,,,,,,,,,,,,,,,,,
28,28,2020-02-17,350.0213623046875,353.92872992903676,346.7411237834167,353.92872992903676,1979626,356.3985290527344,356.4033538818359,357.9453979492188,360.855810546875,363.4973693847657,,-1.292026631945288,-0.011039845967268,0.0111632261488885,0.0111632261488885,-0.0093715380674834,Services,18.0,0.0
29,29,2020-02-18,353.6875,355.47234457949634,345.72808421598586,349.7319056612271,1693616,354.93206176757815,355.8341369628906,357.53697306315104,360.2118194580078,362.6252099609375,,-1.2811415360854128,0.0104740398448057,-0.0111838680721623,0.0050463886326101,-0.0225040912783577,Services,18.0,1.0
30,30,2020-02-19,358.2219543457031,361.2610277067056,354.4111000312812,357.9325328078359,2057811,354.39179077148435,356.28758239746094,356.7619323730469,359.6184814453125,361.87268432617185,,-1.267678329210146,0.0128205106081021,-0.0008079391404021,0.0084837719300407,-0.0106382489073918,Services,18.0,1.0
31,31,2020-02-20,357.7878112792969,361.309243949953,356.96774435642885,357.9325220438787,1799254,354.7294616699219,356.3502899169922,356.3020528157552,358.8948974609375,361.0970031738281,363.7324523925781,-1.2689673394131111,-0.0012119387467449,0.0004044597384813,0.0098422376605422,-0.0022920482392505,Services,18.0,0.0
32,32,2020-02-24,349.49072265625,358.31843274371056,348.767139379529,354.7005163601055,2070656,353.8418701171875,355.6460021972656,355.84217529296876,357.8095230102539,360.11871826171875,362.7741068522135,-1.2936021492663308,-0.0231899700366539,0.0149068154492322,0.0252587823229382,-0.0020703933747411,Services,18.0,0.0
33,33,2020-02-25,345.7763366699219,351.85445410706535,343.07497077075595,349.53896397328873,2530137,352.99286499023435,354.69569702148436,355.2665242513021,356.70726470947267,359.28322143554686,361.7466186523437,-1.3046304986852448,-0.010627995953934,0.0108816795839867,0.0175781763890501,-0.0078124660732484,Services,18.0,0.0
34,34,2020-02-26,345.7763366699219,349.7319312986635,340.47005909159736,344.32917005765154,4164401,351.41063232421874,353.1713470458984,354.35963541666666,356.005387878418,358.45158203125,360.75611368815106,-1.3046304986852448,0.0,-0.0041852679284175,0.0114397493675735,-0.0153459824041976,Services,18.0,0.0
35,35,2020-02-27,341.24188232421875,348.04355329342206,339.1193596192317,346.065770796754,1977795,348.0146179199219,351.2032043457031,353.52992757161456,354.5751037597656,357.2977087402344,359.56300659179686,-1.3180937055605115,-0.0131138365030216,0.0141362731903817,0.0199321106860528,-0.0062199947161538,Services,18.0,0.0
36,36,2020-02-28,330.14697265625,336.3697717576506,327.25263927624553,334.7778942871845,4299292,342.4864501953125,348.6079559326172,351.7290100097656,352.84815216064453,355.6132080078125,357.9952443440755,-1.3510355002582146,-0.0325133292326271,0.0140268486900718,0.0188485723535007,-0.0087668027264271,Services,18.0,0.0
37,37,2020-03-02,328.65155029296875,338.68523348204184,326.384316584011,333.90960105782716,2510491,338.31861572265626,346.0802429199219,349.8702067057292,351.46128540039064,353.91134155273437,356.48536783854166,-1.3554755451032652,-0.0045295655787772,0.0159988618954367,0.0305298519971344,-0.0068985942921513,Services,18.0,0.0
38,38,2020-03-03,335.0672607421875,336.75562160285176,329.9539510555321,331.8835063248627,3671071,336.1768005371094,344.5848327636719,348.5227315266927,350.4940933227539,352.601171875,355.43215128580727,-1.3364267179579454,0.0195213150325918,-0.0095018367663634,0.0050388714699385,-0.0152605470177217,Services,18.0,1.0
39,39,2020-03-04,333.7648620605469,337.4792327066965,327.92793922305026,335.5496772779729,3490806,333.7745056152344,342.5925689697266,346.7057332356771,349.2133529663086,351.55921142578126,354.33873596191404,-1.3402936579573783,-0.0038869768378914,0.0053475228231252,0.0111287048709034,-0.017488128622832,Services,18.0,0.0
40,40,2020-03-05,336.85211181640625,339.5052503634164,334.2954569232774,335.067267268973,2709900,332.89655151367185,340.45558471679686,345.100986735026,348.37158355712893,350.23939331054686,353.23084920247396,-1.331127332977585,0.0092497746371495,-0.0052985998449255,0.0078762710814062,-0.00758984374283,Services,18.0,1.0
41,41,2020-03-06,329.3751220703125,331.11173970758443,319.58263367419045,327.83147176251987,3966036,332.7421813964844,337.61431579589845,343.3193644205729,346.9823028564453,348.8269580078125,351.80137023925784,-1.35332719476499,-0.0221966539137178,-0.0046866026131235,0.0052724614608301,-0.0297305040361598,Services,18.0,0.0
42,42,2020-03-09,310.5619201660156,322.9110917722814,305.6898048024358,322.9110917722814,3230309,329.12425537109374,333.721435546875,340.4282470703125,344.6837188720703,346.99387939453123,349.78016052246096,-1.4091853002642163,-0.0571178593757933,0.0397639594695458,0.0397639594695458,-0.0156880642706465,Services,18.0,0.0
43,43,2020-03-11,308.9218444824219,314.8552217017494,305.0627335179578,311.43024305517946,5634335,323.8951721191406,330.035986328125,337.6882792154948,342.3658416748047,345.17430908203124,347.81683858235675,-1.4140548339579986,-0.0052809941499493,0.0081198484910001,0.0192067259900914,-0.012492191903521,Services,18.0,0.0
44,44,2020-03-12,277.518310546875,291.2663933183146,273.9968776904458,278.04895596857364,9895066,312.64586181640624,323.21018371582034,332.61033325195314,338.1907653808594,341.8998547363281,345.0736531575521,-1.5072947789999784,-0.1016552713783041,0.0019121095853205,0.0495393718142336,-0.012689010860184,Services,18.0,0.0
45,45,2020-03-13,282.4386901855469,290.10868518029673,223.82844106933177,250.84221843976835,21079070,301.7631774902344,317.3298645019531,327.55811564127606,334.26653442382815,339.04990234375,342.16002400716144,-1.492685724871324,0.0177299279062913,-0.1118701964133219,0.0271563183843936,-0.2075149444918872,Services,18.0,1.0
