,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,0,Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,,,,,,,,,,,,,,
1,1,Date,,,,,,,,,,,,,,,,,,,
18,18,2020-02-03,1892.802490234375,1940.0565886472723,1882.8719569367308,1914.0548645188458,910769,1879.08203125,1846.459912109375,1834.4345052083331,,,,-1.963013222805408,0.0104748747157072,0.0112279936201051,0.024965150171081,-0.005246470959796,Healthcare,11.0,1.0
19,19,2020-02-04,1881.8165283203125,1916.0216849986891,1875.0041687681864,1898.799172401517,565885,1881.874072265625,1855.143151855469,1840.0410319010416,,,,-1.9747129155489829,-0.0058040719888857,0.0090246014027535,0.0181766692786504,-0.0036200976288621,Healthcare,11.0,0.0
20,20,2020-02-05,1883.1119384765625,1909.3535326998103,1867.3285186483506,1882.536277419003,519051,1882.133154296875,1865.45751953125,1846.2072591145832,,,,-1.9733333457922708,0.0006883828134968,-0.0003056966746359,0.0139352280058706,-0.008381562192729,Healthcare,11.0,1.0
21,21,2020-02-06,1941.0162353515625,1995.1304845465509,1851.785138026948,1870.974621322564,1730330,1894.3856689453123,1877.5037231445312,1854.138916015625,1840.7918395996096,,,-1.9116671496712871,0.030749259081138,-0.0360850222441917,0.0278793387759515,-0.0459713297083538,Healthcare,11.0,1.0
22,22,2020-02-07,2001.4149169921875,2010.0982042944265,1929.5023813060104,1941.0160703043557,890175,1920.032421875,1894.3376953125,1865.818904622396,1851.3292541503904,,,-1.8473445147632084,0.0311170409296887,-0.0301780736093452,0.0043385742898771,-0.0359308482592156,Healthcare,11.0,1.0
23,23,2020-02-10,2004.293212890625,2026.8408524243089,1992.0118985506201,2000.5033373502383,628865,1942.33056640625,1910.706298828125,1878.416796875,1861.4085205078125,,,-1.8442792230845888,0.0014381305315557,-0.001890878797579,0.0112496711502432,-0.0061275038307856,Healthcare,11.0,1.0
24,24,2020-02-11,2059.894775390625,2072.463979334301,2000.5034244963042,2000.5034244963042,1068378,1977.9462158203123,1929.9101440429688,1896.0775065104167,1874.5173278808593,,,-1.7850653643072365,0.0277412317431392,-0.0288322256087368,0.0061018669952654,-0.0288322256087368,Healthcare,11.0,1.0
25,25,2020-02-12,2035.812255859375,2091.605582819573,2026.409362536163,2071.5046466456324,984894,2008.486279296875,1945.309716796875,1913.1337727864584,1886.7770141601563,,,-1.8107124656908755,-0.011691140644154,0.0175322604938295,0.0274059294021913,-0.0046187428610615,Healthcare,11.0,0.0
26,26,2020-02-13,2068.434326171875,2085.704860093299,2035.8122065425184,2048.5252384569,591980,2033.9698974609375,1964.177783203125,1929.6591145833331,1899.096661376953,1879.427451171875,,-1.7759710199894312,0.0160241054736794,-0.0096251969245847,0.0083495684165071,-0.015771407008958,Healthcare,11.0,1.0
27,27,2020-02-14,2059.46337890625,2101.2485277573264,2049.149031110181,2081.3394378253793,660382,2045.57958984375,1982.806005859375,1944.75166015625,1910.7590759277343,1890.1793212890625,,-1.785524787556409,-0.0043370713549449,0.0106222131178401,0.0202893381251905,-0.0050082695821213,Healthcare,11.0,0.0
