,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,0,0,0,2.900000095367432,3.049999952316284,2.8499999046325684,3.049999952316284,1450783,0.0,0.0,0.0,0.0,0.0,-2.579716955241275,0.0,0.0517240869020894,0.0517240869020894,-0.0172414445139968,20.0,
1,1,1,1,2.799999952316284,2.950000047683716,2.799999952316284,2.950000047683716,2612464,0.0,0.0,0.0,0.0,0.0,-2.593577813358872,-0.0344828068146933,0.0535714635435422,0.0535714635435422,0.0,20.0,
2,2,2,2,2.799999952316284,2.8499999046325684,2.75,2.8499999046325684,1891583,0.0,0.0,0.0,0.0,0.0,-2.593577813358872,0.0,0.0178571261313493,0.0178571261313493,-0.0178571261313493,20.0,
3,3,3,3,2.8499999046325684,2.900000095367432,2.75,2.799999952316284,905662,0.0,0.0,0.0,0.0,0.0,-2.5866474008234803,0.0178571261313493,-0.017543843505051,0.0175439271606956,-0.0350876870101021,20.0,
4,4,4,4,2.900000095367432,2.900000095367432,2.799999952316284,2.900000095367432,987791,2.85,0.0,0.0,0.0,0.0,-2.579716955241275,0.0175439271606956,0.0,0.0,-0.0344828068146934,20.0,
5,5,5,5,2.799999952316284,2.900000095367432,2.799999952316284,2.900000095367432,1321940,2.8299999713897703,0.0,0.0,0.0,0.0,-2.593577813358872,-0.0344828068146933,0.0357143374121928,0.0357143374121928,0.0,20.0,0.0
6,6,6,6,2.700000047683716,2.799999952316284,2.700000047683716,2.799999952316284,1614716,2.8099999904632567,0.0,0.0,0.0,0.0,-2.607438638429655,-0.0357142522626987,0.0370370010616691,0.0370370010616691,0.0,20.0,0.0
7,7,7,7,2.799999952316284,2.799999952316284,2.700000047683716,2.700000047683716,2557243,2.8099999904632567,0.0,0.0,0.0,0.0,-2.593577813358872,0.037037001061669,-0.0357142522626987,0.0,-0.0357142522626987,20.0,1.0
8,8,8,8,2.900000095367432,2.900000095367432,2.900000095367432,2.900000095367432,743819,2.8200000286102296,0.0,0.0,0.0,0.0,-2.579716955241275,0.0357143374121927,0.0,0.0,0.0,20.0,1.0
9,9,9,9,3.0,3.0,3.0,3.0,552075,2.840000009536744,0.0,0.0,0.0,0.0,-2.565856130170492,0.0344827246013929,0.0,0.0,0.0,20.0,1.0
10,10,10,10,3.150000095367432,3.150000095367432,3.150000095367432,3.150000095367432,866086,2.910000038146973,0.0,0.0,0.0,0.0,-2.5450648595175034,0.0500000317891438,0.0,0.0,0.0,20.0,1.0
11,11,11,11,3.299999952316284,3.299999952316284,3.25,3.299999952316284,2255230,3.030000019073486,0.0,0.0,0.0,0.0,-2.5242736219113286,0.0476190007643018,0.0,0.0,-0.0151515009208376,20.0,1.0
