date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-27,380.7125549316406,391.02983043041337,378.1449043465713,382.81335995578826,38214.0,,,-0.7601460268384389,-0.0046381166362942,0.0055180870631514,0.0270999087503833,-0.0067443286327406,Capital Goods,1.0,395.380859375,400.2733856201172,,,,
2020-01-28,373.0562744140625,386.1746517048107,370.0217782836961,381.8796668676476,31480.0,,,-0.7625814945533733,-0.02011039672425,0.0236516393336192,0.0351646070324174,-0.0081341511682989,Capital Goods,1.0,389.79737548828126,397.0848297119141,,,,
2020-01-29,372.0292663574219,376.27754987779946,370.2552302997756,376.27754987779946,56584.0,,,-0.762908186471098,-0.0027529574680219,0.0114192186060333,0.0114192186060333,-0.0047685389781725,Capital Goods,1.0,381.4315124511719,393.4434387207031,,,,
2020-01-30,366.0536193847656,374.410166926993,364.18623700607736,370.2085565749445,28690.0,,,-0.7648090435836785,-0.0160623034611347,0.0113506245264345,0.022828752673645,-0.0051013902876491,Capital Goods,1.0,374.8676574707032,389.83005676269534,390.7217305501302,,,
2020-01-31,363.1591796875,372.4493894184206,360.54482740351824,364.2329187978888,77701.0,,,-0.7657297666971186,-0.0079071467784702,0.0029566624511949,0.0255816464254459,-0.0071989156001271,Capital Goods,1.0,371.0021789550781,385.6284515380859,390.2517720540365,,,
2020-02-03,360.7315979003906,366.1936970749997,357.6503998689218,357.7437746869652,27239.0,,,-0.7665019820116298,-0.0066846218487394,-0.0082826767347684,0.0151417264425983,-0.0085415251932536,Capital Goods,1.0,367.0059875488281,381.1934234619141,389.1842529296875,,,
2020-02-04,361.1050415039063,367.8276289812137,359.7978796316497,361.8053098455428,23722.0,,,-0.7663831893632123,0.0010352395123943,0.0019392372333548,0.0186167090033126,-0.0036198937207094,Capital Goods,1.0,364.61574096679686,377.2065582275391,386.2618001302083,,,
2020-02-05,366.1936340332031,371.60903061951,361.1050065128027,363.99945440989313,24046.0,,,-0.7647645048347254,0.0140917238599168,-0.0059918562732607,0.0147883416941536,-0.013896002135141,Capital Goods,1.0,363.4486145019531,372.4400634765625,383.4451639811198,,,
2020-02-06,373.4764404296875,380.01227813720703,365.2599701378308,369.7416760253906,23638.0,384.274592590332,,-0.7624478394758696,0.01988785636788,-0.01,0.0175,-0.0219999694824218,Capital Goods,1.0,364.9331787109375,369.9004180908203,381.5310974121094,384.274592590332,,
2020-02-07,371.51568603515625,377.2112074906198,369.04141029868185,376.0907667638433,40486.0,384.3399490356445,,-0.763071556699113,-0.0052500082529312,0.0123146367721713,0.015330500620974,-0.0066599495781188,Capital Goods,1.0,366.6044799804688,368.80332946777344,379.28712768554686,384.3399490356445,,
2020-02-10,366.4737548828125,376.2775113828623,364.1395271447054,373.4764380971338,26515.0,383.82641754150393,,-0.7646753982138359,-0.0135712470344162,0.019108280254777,0.0267515923566878,-0.0063694267515923,Capital Goods,1.0,367.75291137695314,367.37944946289065,376.7132527669271,383.82641754150393,,
2020-02-11,365.5867309570313,375.1570645265241,364.2328959874973,368.574553810469,13796.0,381.8586624145508,,-0.7649575610902685,-0.0024204296050201,0.0081726786024654,0.0261780112873344,-0.0037031841007738,Capital Goods,1.0,368.6492492675781,366.6324951171876,374.3541219075521,381.8586624145508,,
