date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,volatility_20_unnamed: 8_level_1,volatility_50_unnamed: 9_level_1,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2024-07-10,1359.1500244140625,1385.0,1325.050048828125,1325.050048828125,14007550.0,,,,,,,,,,
2024-07-11,1361.949951171875,1370.0,1341.1500244140625,1354.3499755859375,1200703.0,,,,,,,,,,
2024-07-12,1362.449951171875,1373.3499755859375,1345.0,1362.0,882782.0,,,,,,,,,,
2024-07-15,1374.75,1408.699951171875,1340.0,1360.0,1037827.0,,,,,,,,,,
2024-07-16,1362.3499755859375,1399.0,1360.0,1380.0,421306.0,,,,,1364.12998046875,,,,,
2024-07-18,1368.5,1379.0,1349.5,1360.050048828125,309066.0,,,,,1365.9999755859376,,,,,
2024-07-19,1351.449951171875,1365.050048828125,1341.0999755859375,1365.050048828125,289152.0,,,,,1363.8999755859377,,,,,
2024-07-22,1323.449951171875,1341.0,1305.199951171875,1341.0,260396.0,,,,,1356.0999755859375,,,,,
2024-07-23,1283.1500244140625,1323.4000244140625,1261.050048828125,1320.0,321841.0,,,,,1337.77998046875,,,,,
2024-07-24,1308.5,1313.699951171875,1285.25,1294.949951171875,115886.0,,,,,1327.0099853515626,1345.5699829101563,,,,
2024-07-25,1305.949951171875,1315.050048828125,1270.050048828125,1270.050048828125,77559.0,,,,,1314.4999755859376,1340.2499755859376,,,,
2024-07-26,1297.3499755859375,1315.0,1285.699951171875,1310.949951171875,103355.0,,,,,1303.67998046875,1333.7899780273438,,,,
2024-07-29,1295.9000244140625,1310.0,1282.5,1310.0,102054.0,,,,,1298.1699951171877,1327.1349853515626,,,,
2024-07-30,1301.800048828125,1305.0,1285.0,1285.0,177736.0,,,,,1301.9,1319.839990234375,,,,
2024-07-31,1306.0999755859375,1310.0,1299.949951171875,1302.25,100240.0,,,,,1301.4199951171877,1314.214990234375,1330.8533203125,,,
2024-08-01,1318.25,1330.0,1302.8499755859375,1311.0,161028.0,,,,,1303.8800048828125,1309.189990234375,1328.1266520182292,,,
2024-08-02,1298.300048828125,1309.6500244140625,1281.050048828125,1290.0,95697.0,,,,,1304.07001953125,1303.875,1323.8833251953124,,,
2024-08-05,1250.0,1279.949951171875,1231.6500244140625,1261.0,214960.0,,,,,1294.8900146484375,1296.5300048828126,1316.3866617838542,,,
2024-08-06,1294.800048828125,1309.25,1235.0,1251.0,186401.0,,,,,1293.4900146484374,1297.6950073242188,1311.0566650390624,,,
