date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,volatility_20_unnamed: 8_level_1,volatility_50_unnamed: 9_level_1,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2023-11-30,1300.5377197265625,1386.7119631509424,1188.6102541293792,1188.6102541293792,46579440.0,,,,,,,,,,
2023-12-01,1209.0147705078125,1335.205590072361,1200.1001931260237,1326.588213634643,18681410.0,,,,,,,,,,
2023-12-04,1181.330078125,1222.2875835871753,1140.2239721939889,1209.014744477715,14740750.0,,,,,,,,,,
2023-12-05,1180.53759765625,1210.3518809936013,1163.8475526788948,1181.3300528653026,4422358.0,,,,,,,,,,
2023-12-06,1177.2193603515625,1195.9894481910644,1169.7905465504375,1190.591225193587,2735968.0,,,,,1209.7279052734375,,,,,
2023-12-07,1174.4459228515625,1187.619734745946,1168.8000725606475,1181.627109738058,1624651.0,,,,,1184.5095458984374,,,,,
2023-12-08,1181.2310791015625,1208.1232908578104,1176.9718437575812,1177.7147252074597,2528210.0,,,,,1178.9528076171875,,,,,
2023-12-11,1225.605712890625,1257.6486398492827,1181.6766834994496,1187.6197347157083,8017469.0,,,,,1187.8079345703125,,,,,
2023-12-12,1221.544677734375,1251.0618810931592,1218.325524924615,1242.0977302889976,2426780.0,,,,,1196.0093505859377,,,,,
2023-12-13,1238.4822998046875,1272.6053907556277,1224.4171272307317,1232.1925949053132,4281933.0,,,,,1208.2619384765626,1208.994921875,,,,
2023-12-14,1231.4993896484375,1262.8984638758093,1228.379263378876,1257.945920880218,1992554.0,,,,,1219.6726318359374,1202.0910888671874,,,,
2023-12-15,1230.40966796875,1244.7720418914955,1228.2305975313534,1244.0291604816985,1239743.0,,,,,1229.508349609375,1204.2305786132813,,,,
2023-12-18,1217.5826416015625,1237.2937860343548,1213.9672611923825,1233.8270060908071,1000620.0,,,,,1227.9037353515623,1207.8558349609375,,,,
2023-12-19,1229.7659912109375,1247.8427730215326,1212.9767980233962,1221.2970943815706,2086748.0,,,,,1229.547998046875,1212.7786743164063,,,,
