Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,1708.2352294921875,1717.1967330672144,1690.0305466133368,1709.267429570346,83728,,,-1.9538509838917313,,0.0006042493799085502,0.005246059453820617,-0.010657011730323851,Information Technology,12
2020-01-13,1714.3818359375,1719.4961011448977,1703.2151499456538,1717.2439550154234,40504,,,-1.9494523645281507,0.0035982201626527286,0.0016694758530022558,0.0029831541026570374,-0.006513534941730015,Information Technology,12
2020-01-14,1762.2392578125,1777.3003759839823,1709.783651976695,1717.2437634903315,196390,,,-1.9152047541722024,0.027915264191322606,-0.0255331358228974,0.008546579645591468,-0.029766449477989232,Information Technology,12
2020-01-15,1814.4603271484375,1879.5842372603472,1768.8548613258884,1772.6083994931582,1110275,,,-1.877834441169144,0.029633359434269143,-0.02306577169480073,0.03589161423785825,-0.02513445190296426,Information Technology,12
2020-01-16,1784.4320068359375,1836.8877251931212,1770.7785805964052,1825.1579185188357,377999,,,-1.899323233783009,-0.016549449918087652,0.022822899122455942,0.029396311070543746,-0.0076514129914885265,Information Technology,12
2020-01-17,1785.1358642578125,1799.821605691614,1766.6965845431112,1787.6226062786884,133212,,,-1.8988195410685649,0.00039444339665429087,0.0013930267553667885,0.008226679956322203,-0.010329342479692749,Information Technology,12
2020-01-20,1779.0833740234375,1802.6368044144394,1759.5180781554764,1802.6368044144394,90779,,,-1.903150809221109,-0.003390492766157819,0.013239081841192935,0.013239081841192935,-0.010997402456588534,Information Technology,12
2020-01-21,1791.1414794921875,1801.6983055009823,1778.3325076917376,1780.115461216335,104946,,,-1.8945218174880545,0.00677770679261665,-0.006155861165684451,0.005893909626718985,-0.007151289804354977,Information Technology,12
2020-01-22,1805.592529296875,1809.2052866534957,1784.8072900492473,1797.0062883513715,142099,,,-1.8841803928238086,0.008068067190752886,-0.004755359144539173,0.0020008707933829584,-0.011511589082461415,Information Technology,12
2020-01-23,1816.1025390625,1820.4660501853525,1800.759974384377,1800.759974384377,167063,,,-1.8766592455244309,0.005820809288415563,-0.008448071817598435,0.0024026788295252732,-0.008448071817598435,Information Technology,12
