date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,491.2874450683594,492.9140554342752,479.6546553090586,487.7384578522153,27862.0,,,-1.343395474581577,,-0.0072238508265772,0.0033109137679867,-0.0236781743072675,Automobile and Auto Components,0.0,,,,,,
2020-01-13,489.4637145996094,498.7304939143866,487.73851520273263,492.7169357139696,27144.0,,,-1.344873934425785,-0.0037121454803231,0.0066465010935927,0.0189325154007742,-0.0035246727089627,Automobile and Auto Components,0.0,,,,,,
2020-01-14,498.3854370117188,504.6454521305871,489.907338516654,489.907338516654,71016.0,,,-1.337641282148765,0.0182275460795035,-0.0170111280656569,0.0125605899650738,-0.0170111280656569,Automobile and Auto Components,0.0,,,,,,
2020-01-15,517.4612426757812,521.5031141998069,498.97693396829845,502.18087559618,677792.0,,,-1.3221769286417668,0.0382752067926374,-0.0295294909442622,0.007810964746123,-0.0357211462097157,Automobile and Auto Components,0.0,,,,,,
2020-01-16,517.3134155273438,541.9591237468456,512.975746812637,522.1932777888424,59492.0,,,-1.3222967689946006,-0.0002856777208532,0.0094330866260718,0.0476417341591235,-0.0083849917371366,Automobile and Auto Components,0.0,502.7822509765625,,,,,
2020-01-17,515.7853393554688,525.1014281157805,512.0884835117084,522.1932228179866,551091.0,,,-1.3235355481331412,-0.0029538692135352,0.0124235471107518,0.0180619495155742,-0.0071674310254338,Automobile and Auto Components,0.0,507.6818298339844,,,,,
2020-01-20,515.7853393554688,535.304726176487,512.630677001424,535.304726176487,35680.0,,,-1.3235355481331412,0.0,0.037844012482809,0.037844012482809,-0.0061162311398513,Automobile and Auto Components,0.0,512.9461547851563,,,,,
2020-01-21,516.0810546875,520.4187227682261,512.679935416269,512.7292147914683,17618.0,,,-1.3232958179475591,0.0005733302392828,-0.0064947935321154,0.008405013207378,-0.0065902811977673,Automobile and Auto Components,0.0,516.4852783203125,,,,,
2020-01-22,515.9825439453125,517.5598451195083,512.6307037374178,516.6725756026589,13525.0,,,-1.3233756785295054,-0.0001908823067476,0.0013373158945848,0.0030568886345174,-0.0064960341143827,Automobile and Auto Components,0.0,516.1895385742188,,,,,
2020-01-23,512.5321044921875,517.609083612593,509.0323662512064,516.6725347899386,16998.0,,,-1.3261728770540293,-0.006687124387469,0.0080783823324654,0.0099056802020933,-0.006828329796918,Automobile and Auto Components,0.0,515.2332763671875,509.007763671875,,,,
