Date_Ticker,Close_UNIONBANK.NS,High_UNIONBANK.NS,Low_UNIONBANK.NS,Open_UNIONBANK.NS,Volume_UNIONBANK.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,47.01163101196289,47.72595708703539,46.69911101237308,46.83304864165091,4761614.0,,,-0.420195661438153,,-0.0037986848460231,0.0151946669302056,-0.0066477165940123,Financial Services,9.0
2020-01-13,46.92233657836914,47.59201789035207,46.56517525568341,47.59201789035207,3714041.0,,,-0.4223902948793912,-0.0018994115216089,0.0142721219959802,0.0142721219959802,-0.0076117548427964,Financial Services,9.0
2020-01-14,46.87769317626953,47.27950265615835,46.29730132685509,46.65446606590634,3239557.0,,,-0.4234875178443096,-0.0009514317775937,-0.0047619047619048,0.0085714431036085,-0.0123809814453125,Financial Services,9.0
2020-01-15,47.01163101196289,47.23485812330901,46.60982153030479,46.87769338268505,2829991.0,,,-0.420195661438153,0.0028571763373621,-0.0028490317479892,0.0047483379440571,-0.0085470227900804,Financial Services,9.0
2020-01-16,47.100921630859375,47.458086380103865,46.78840502990207,47.14556637297107,3704771.0,,,-0.4180011217526155,0.0018993303779178,0.0009478528352711,0.0075829673152401,-0.0066350421634331,Financial Services,9.0
2020-01-17,46.966983795166016,47.41343802670249,46.60982245364213,46.87769431132892,3655362.0,,,-0.4212929781587721,-0.0028436351361245,-0.0019011117304553,0.0095057036978052,-0.0076045194445857,Financial Services,9.0
2020-01-20,46.43124008178711,47.19021091296152,46.0740753340724,47.100921429120575,2391889.0,,,-0.4344602162719972,-0.0114068153857912,0.0144230769230768,0.0163461245023286,-0.0076923370361328,Financial Services,9.0
2020-01-21,46.20801162719727,46.69911058644448,45.98478451788713,46.252656367824216,2308022.0,,,-0.4399466123636913,-0.0048077211419861,0.0009661688320878,0.0106280045808799,-0.0048309178743962,Financial Services,9.0
2020-01-22,45.98478698730469,46.609823608173066,45.8062046090315,46.43124122989988,1736721.0,,,-0.4454329146996848,-0.004830864433067,0.0097087378640776,0.013592247824067,-0.0038835099599894,Financial Services,9.0
