Date_Ticker,Close_HOMEFIRST.NS,High_HOMEFIRST.NS,Low_HOMEFIRST.NS,Open_HOMEFIRST.NS,Volume_HOMEFIRST.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2021-02-03,523.5241088867188,635.1159841538824,518.0164745755103,614.0777550649091,24532661.0,,,-1.5481210383342765,,0.172969390790338,0.213155179241822,-0.010520306930889,Financial Services,9.0
2021-02-04,556.2722778320312,589.1197190388981,511.0698944289399,513.848514750794,7574165.0,,,-1.3647586074936382,0.0625533158634316,-0.0762643848558767,0.0590492147746131,-0.0812594572917768,Financial Services,9.0
2021-02-05,543.7188720703125,571.6044102159412,540.8409784161249,565.6501976095252,1179817.0,,,-1.4350472089614494,-0.0225670166606959,0.0403357813491098,0.0512866843106794,-0.0052929809907635,Financial Services,9.0
2021-02-08,532.6043090820312,551.1616164321744,529.9249013992824,547.8371448476854,828561.0,,,-1.4972794910370053,-0.0204417458344979,0.0286006618908296,0.0348425783150863,-0.0050307660622704,Financial Services,9.0
2021-02-09,537.0203857421875,551.657825144087,529.2798608572019,533.596701361426,739612.0,,,-1.4725531451904,0.0082914775281626,-0.0063753341058548,0.0272567667643937,-0.014413838078582,Financial Services,9.0
2021-02-10,548.8295288085938,550.7646599981393,538.1119583495334,540.9401850785277,676897.0,,,-1.4064317940267017,0.0219901206358962,-0.014374852874976,0.0035259239672222,-0.0195280499617543,Financial Services,9.0
2021-02-11,544.7608642578125,554.0890946256325,542.825732986124,548.1845487278176,292700.0,,,-1.4292129218373049,-0.0074133484756433,0.0062847474821261,0.0171235325072935,-0.0035522582451383,Financial Services,9.0
2021-02-12,546.4478759765625,565.6501870458942,538.9058371409883,545.7532057382439,763879.0,,,-1.4197670633490571,0.0030967931608824,-0.0012712470280484,0.035140242854847,-0.0138019364099379,Financial Services,9.0
2021-02-15,513.9974365234375,543.5700149055637,497.52410824389307,497.52410824389307,859299.0,,,-1.601462457369664,-0.0593843271787496,-0.0320494366488796,0.0575344861292468,-0.0320494366488796,Financial Services,9.0
2021-02-16,503.478271484375,523.7225871278799,501.59277699078143,519.5050201069544,570066.0,,,-1.6603610075511224,-0.0204654036996988,0.0318320561785687,0.0402089162335046,-0.0037449371708428,Financial Services,9.0
