Date_Ticker,Close_NAM-INDIA.NS,High_NAM-INDIA.NS,Low_NAM-INDIA.NS,Open_NAM-INDIA.NS,Volume_NAM-INDIA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,292.1382141113281,296.57296037801706,289.3665042012532,294.05709020291846,952468.0,,,-0.3902444785314457,,0.0065683844115618,0.0151803018313754,-0.0094876663722559,Financial Services,9.0
2020-01-13,292.8632202148437,294.22775995907057,290.901712225689,293.37492587223267,523153.0,,,-0.3852868853934155,0.0024817229259823,0.001747251351718,0.0046593073149499,-0.0066976931678748,Financial Services,9.0
2020-01-14,300.5387268066406,302.2017636854969,291.1575518573467,293.24700577935266,2089390.0,,,-0.3328017564739768,0.0262085030211924,-0.0242621678236472,0.0055335194120464,-0.0312145294850123,Financial Services,9.0
2020-01-15,299.5152893066406,305.0587099012433,297.46846703518474,301.0077486974952,1389041.0,,,-0.3398000240783452,-0.0034053431678322,0.0049829155443432,0.0185079720218468,-0.0068337822626489,Financial Services,9.0
2020-01-16,297.2126770019531,301.6900559237903,296.3598429216032,300.1975962831779,678802.0,,,-0.3555452914711411,-0.007687795537977,0.0100430416068866,0.01506456241033,-0.0028694404591104,Financial Services,9.0
2020-01-17,295.08056640625,301.26361295667,294.3983096112578,298.0654854305907,860015.0,,,-0.3701246678481448,-0.0071736865910639,0.0101156069364161,0.0209537572254334,-0.0023121034478865,Financial Services,9.0
2020-01-20,289.92095947265625,298.3213544428382,289.11075667611834,296.78626349052854,756781.0,,,-0.4054060700389417,-0.017485417614694,0.0236799161756353,0.0289747763854728,-0.0027945644151137,Financial Services,9.0
2020-01-21,288.9827575683594,293.33221544311937,288.1299237115996,290.0061425806169,630169.0,,,-0.4118214964750431,-0.0032360609802181,0.0035413358944622,0.0150509252225234,-0.0029511582764868,Financial Services,9.0
2020-01-22,295.3790588378906,298.23605792124533,290.81639176762906,290.81639176762906,1202368.0,,,-0.3680835760232901,0.0221338509029148,-0.0154468197177296,0.0096723142615289,-0.0154468197177296,Financial Services,9.0
