Date_Ticker,Close_BIRLACORPN.NS,High_BIRLACORPN.NS,Low_BIRLACORPN.NS,Open_BIRLACORPN.NS,Volume_BIRLACORPN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,617.577880859375,625.5638252432622,613.2521851624455,621.9511582225217,126987.0,,,-1.3927797218217732,,0.0070813374291534,0.0129310725519744,-0.0070042918164592,Construction Materials,4.0
2020-01-13,668.10791015625,678.6131883513584,625.5638632270544,625.5638632270544,571888.0,,,-1.2325828414256237,0.0818196876263787,-0.0636784062611171,0.0157239242873976,-0.0636784062611171,Construction Materials,4.0
2020-01-14,695.2505493164062,700.6695793782126,670.1994959779735,670.1994959779735,394766.0,,,-1.1465317114405418,0.0406261305210537,-0.0360316915435217,0.0077943556709656,-0.0360316915435217,Construction Materials,4.0
2020-01-15,718.0198974609375,721.5850409438617,695.2029791702225,695.2505028113768,334958.0,,,-1.074345358252867,0.0327498456015875,-0.0317113700192401,0.0049652432969216,-0.0317775571002978,Construction Materials,4.0
2020-01-16,749.5358276367188,758.6625722121589,725.3878979923275,726.3386029700368,362781.0,,,-0.9744294514703776,0.0438928367963449,-0.0309487869843695,0.0121765287781061,-0.0322171786244421,Construction Materials,4.0
2020-01-17,756.4759521484375,763.2259341884093,743.0709773279841,750.1062172785562,302718.0,,,-0.9524269647944604,0.0092592298537628,-0.0084202741036127,0.0089229300955322,-0.0177202920758848,Construction Materials,4.0
2020-01-20,737.9371948242188,765.2699621748299,732.042812520715,760.4213321072141,273406.0,,,-1.0112009479305593,-0.0245067371561086,0.0304689036420655,0.0370394222466614,-0.0079876476546325,Construction Materials,4.0
2020-01-21,716.4036865234375,736.7963188239132,705.9459323207756,736.7963188239132,271817.0,,,-1.0794692806778567,-0.0291806788596835,0.0284652810755861,0.0284652810755861,-0.0145975717313953,Construction Materials,4.0
2020-01-22,704.7575073242188,725.5304435141564,701.6677165019863,716.9740996987435,61604.0,,,-1.116391514886115,-0.0162564478914609,0.0173344622051747,0.0294752960756774,-0.0043841900087926,Construction Materials,4.0
2020-01-23,727.0990600585938,733.94414660632,697.3420097613157,704.4722961596932,145049.0,,,-1.0455614144279248,0.0317010496549374,-0.0311192313975445,0.0094142420527605,-0.0409257169097152,Construction Materials,4.0
2020-01-24,725.815673828125,733.8491419083365,708.7980327594266,730.1413695554935,194741.0,,,-1.0496301726163786,-0.0017650775540341,0.0059597717207644,0.0110681931651339,-0.0234462297830291,Construction Materials,4.0
2020-01-27,716.1659545898438,740.12372850512,713.5515162425231,727.2892129819098,73879.0,,,-1.0802229694182393,-0.0132949997998614,0.0155316771493787,0.0334528243931913,-0.003650604068184,Construction Materials,4.0
