Date_Ticker,Close_KIRLOSBROS.NS,High_KIRLOSBROS.NS,Low_KIRLOSBROS.NS,Open_KIRLOSBROS.NS,Volume_KIRLOSBROS.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,142.83828735351562,149.1153165310897,140.7299761167775,144.65909828004555,98440.0,,,-0.7768460459653934,,0.0127473589908253,0.0439450044793578,-0.014760126824541,Capital Goods,1.0
2020-01-13,141.9278564453125,146.2403164566747,141.16119396316287,143.1257620040242,18554.0,,,-0.7783417264257969,-0.0063738576334919,0.0084402427311602,0.0303848738321772,-0.005401775954004,Capital Goods,1.0
2020-01-14,144.6111602783203,146.52780926609324,139.3882947112133,139.3882947112133,35997.0,,,-0.7739335224905013,0.0189061111765732,-0.0361166147692545,0.0132538110065925,-0.0361166147692545,Capital Goods,1.0
2020-01-15,149.11529541015625,154.76940401094316,142.934090796252,145.66532142206415,107529.0,,,-0.7665340077694993,0.0311465250895382,-0.0231362851047748,0.0379176970761767,-0.0414525189847374,Capital Goods,1.0
2020-01-16,143.41326904296875,149.40279773041104,142.40703992177666,148.54031144856845,21984.0,,,-0.7759014505323338,-0.0382390441671561,0.0357501257715808,0.0417641179746606,-0.0070162902492001,Capital Goods,1.0
2020-01-17,140.53829956054688,146.14450443217638,139.48415125312067,143.65285457303588,54653.0,,,-0.7806245279678328,-0.0200467467313675,0.0221616101961386,0.0398909399726601,-0.0075007902523542,Capital Goods,1.0
2020-01-20,137.9987335205078,141.59245053927103,136.36958472990955,140.8737071355184,46910.0,,,-0.7847965955786387,-0.018070277269471,0.0208333333333334,0.0260416666666665,-0.0118055343627929,Capital Goods,1.0
2020-01-21,139.2445526123047,140.96953963486874,137.2320653155014,138.04664698870067,18458.0,,,-0.7827499303610925,0.0090277574294675,-0.0086028903905441,0.0123881831655339,-0.0144528978624148,Capital Goods,1.0
2020-01-22,139.4362335205078,141.7841259370001,138.95707120600434,139.10081405120604,23794.0,,,-0.7824350317933388,0.0013765774287545,-0.0024055402303478,0.0168384669982282,-0.0034364261168384,Capital Goods,1.0
