Date_Ticker,Close_SCHNEIDER.NS,High_SCHNEIDER.NS,Low_SCHNEIDER.NS,Open_SCHNEIDER.NS,Volume_SCHNEIDER.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,83.05000305175781,86.0,82.19999694824219,85.1500015258789,314328.0,,,-0.7191241904546178,,0.0252859530036664,0.0355207325688322,-0.0102348714302381,Capital Goods,1.0
2020-01-13,82.25,85.55000305175781,81.44999694824219,83.05000305175781,129222.0,,,-0.722232569370728,-0.0096327877466692,0.0097264808724353,0.040121617650551,-0.0097264808724354,Capital Goods,1.0
2020-01-14,84.25,87.9000015258789,82.0,82.44999694824219,320860.0,,,-0.7144616517241509,0.0243161094224924,-0.0213650213858493,0.0433234602478207,-0.0267062314540059,Capital Goods,1.0
2020-01-15,84.5,86.9000015258789,83.94999694824219,84.1500015258789,116079.0,,,-0.7134902870183287,0.0029673590504451,-0.0041419937765809,0.0284023849216439,-0.006508911855122,Capital Goods,1.0
2020-01-16,85.55000305175781,89.69999694824219,84.0,85.80000305175781,852365.0,,,-0.7094105433963965,0.0124260716184356,0.0029222675754756,0.0485095704084734,-0.018118094640161,Capital Goods,1.0
2020-01-17,85.44999694824219,87.9000015258789,84.4000015258789,86.30000305175781,119645.0,,,-0.709799112993684,-0.0011689783746135,0.0099474094075213,0.0286717924533186,-0.012287834521507,Capital Goods,1.0
2020-01-20,82.3499984741211,87.0,81.55000305175781,87.0,73083.0,,,-0.7218440294171388,-0.0362785088921511,0.0564663219434082,0.0564663219434082,-0.0097145772578816,Capital Goods,1.0
2020-01-21,81.25,84.4000015258789,81.0,84.4000015258789,63867.0,,,-0.7261180281940165,-0.0133576016333111,0.0387692495492788,0.0387692495492788,-0.003076923076923,Capital Goods,1.0
2020-01-22,79.9000015258789,82.9000015258789,79.19999694824219,82.80000305175781,95076.0,,,-0.7313633916767164,-0.0166153658353365,0.0362953876157263,0.0375469329500366,-0.0087610083137481,Capital Goods,1.0
2020-01-23,82.3499984741211,86.0999984741211,78.69999694824219,78.69999694824219,359345.0,,,-0.7218440294171388,0.0306632903811479,-0.0443230308865875,0.0455373414630779,-0.0443230308865875,Capital Goods,1.0
2020-01-24,85.94999694824219,88.4000015258789,81.5999984741211,82.94999694824219,610153.0,,,-0.7078563835820397,0.0437158292753631,-0.0349040152009144,0.0285049990067141,-0.0506108042882258,Capital Goods,1.0
2020-01-27,85.5,88.0,84.5,87.0,204976.0,,,-0.7096048281950402,-0.0052355667739368,0.0175438596491228,0.0292397660818712,-0.0116959064327485,Capital Goods,1.0
2020-01-28,84.30000305175781,87.9000015258789,83.94999694824219,86.25,160148.0,,,-0.7142673669255072,-0.0140350520262244,0.0231316355593125,0.042704606687983,-0.0041519109234282,Capital Goods,1.0
2020-01-29,83.5999984741211,86.69999694824219,82.5,85.0,106368.0,,,-0.7169872058880281,-0.0083037313439589,0.0167464300410518,0.037081322137592,-0.0131578767248614,Capital Goods,1.0
2020-01-30,83.19999694824219,85.4000015258789,82.19999694824219,84.30000305175781,204851.0,,,-0.7185413953460832,-0.0047847073346864,0.0132212276906684,0.02644236368188,-0.0120192312100935,Capital Goods,1.0
2020-01-31,83.0999984741211,84.69999694824219,82.3499984741211,83.0,109525.0,,,-0.7189299352996724,-0.0012019047811179,-0.0012033510945519,0.0192538929422407,-0.0090252709238444,Capital Goods,1.0
2020-02-03,75.69999694824219,79.55000305175781,75.0999984741211,78.1500015258789,173419.0,,,-0.7476823365207472,-0.0890493581438922,0.0323646588692974,0.050858735253952,-0.0079260039406782,Capital Goods,1.0
2020-02-04,77.30000305175781,78.44999694824219,75.44999694824219,76.30000305175781,127903.0,,,-0.7414655786885269,0.0211361448879527,-0.012936610097291,0.0148770226530827,-0.0239328076387903,Capital Goods,1.0
2020-02-05,78.80000305175781,80.0,77.4000015258789,77.4000015258789,106153.0,,,-0.7356373904535941,0.0194049151459365,-0.0177665161378147,0.0152283870782847,-0.0177665161378147,Capital Goods,1.0
2020-02-06,94.5500030517578,94.5500030517578,89.0,91.5,1311630.0,83.14500007629394,,-0.6744414139867996,0.1998730887060373,-0.0322580957516014,0.0,-0.0586991313868036,Capital Goods,1.0
2020-02-07,107.5999984741211,113.4000015258789,100.25,102.0,3896726.0,84.37249984741212,,-0.6237361941291031,0.1380221576007729,-0.0520445962224428,0.0539033748513739,-0.0683085369735283,Capital Goods,1.0
2020-02-10,111.4000015258789,112.3499984741211,101.4499969482422,105.9499969482422,1470663.0,85.82999992370605,,-0.6089714387431273,0.0353160139929904,-0.0489228411399137,0.0085278001367126,-0.0893178136566297,Capital Goods,1.0
2020-02-11,105.1500015258789,114.0,104.0999984741211,112.0,477064.0,86.875,,-0.6332555563886807,-0.0561041284954389,0.0651450154514283,0.084165462155918,-0.0099857635427555,Capital Goods,1.0
2020-02-12,103.1999969482422,108.5,102.5999984741211,105.9000015258789,211541.0,87.80999984741212,,-0.6408322188803124,-0.0185449790712251,0.0261628358282883,0.0513566202372652,-0.0058139388746495,Capital Goods,1.0
