Date_Ticker,Close_KNRCON.NS,High_KNRCON.NS,Low_KNRCON.NS,Open_KNRCON.NS,Volume_KNRCON.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,138.3271484375,139.89311312140373,129.2544783243486,129.2544783243486,2751670.0,,,-1.4485125706974464,,-0.0655884995507636,0.0113207327816149,-0.0655884995507636,Construction,3.0
2020-01-13,139.44569396972656,142.08049067497294,137.2583135691639,140.43995916737168,794612.0,,,-1.4325153446223642,0.008086232853502,0.0071301247771837,0.0188947871407085,-0.0156862527503899,Construction,3.0
2020-01-14,142.60247802734375,147.0021042224466,140.1913820744314,141.63306346576317,929436.0,,,-1.3873676176993548,0.0226380891926467,-0.0067980204481067,0.0308523824828572,-0.0169078124466394,Construction,3.0
2020-01-15,147.1512451171875,148.14551028689823,139.76882319782885,142.42848556106154,729846.0,,,-1.32231201343238,0.031898233135693,-0.0320945945945947,0.0067567567567567,-0.0501689395389042,Construction,3.0
2020-01-16,146.3309783935547,151.20287162356772,145.41128008355605,147.64837670022615,523088.0,,,-1.334043312554107,-0.0055743104516687,0.0090028667964505,0.0332936558170899,-0.006285055427738,Construction,3.0
2020-01-17,147.747802734375,149.63690039173807,146.40553875537162,146.5795381854323,384130.0,,,-1.3137801595256695,0.0096823267115032,-0.0079071534555611,0.0127859610931699,-0.0090848320865829,Construction,3.0
2020-01-20,147.2755126953125,150.63115728837025,146.65409702993145,148.39406089299845,344632.0,,,-1.320534762096789,-0.0031965960259429,0.0075949367088608,0.0227848101265821,-0.0042194092827003,Construction,3.0
2020-01-21,146.7038116455078,147.15122788522703,142.97531769571322,146.6043790716677,344118.0,,,-1.3287111220907202,-0.0038818472897625,-0.000677777712282,0.00304979287655,-0.0254151129951828,Construction,3.0
2020-01-22,143.09959411621094,149.636883500672,140.3156490633378,146.7783716065562,410642.0,,,-1.3802579576720702,-0.0245679883083476,0.0257078121923792,0.0456834935475229,-0.0194545978279456,Construction,3.0
2020-01-23,144.46670532226562,146.4055190083237,142.97530784510104,143.0250241285958,393122.0,,,-1.360705792469192,0.0095535645261471,-0.0099793318498808,0.0134204880060986,-0.0103234684686529,Construction,3.0
2020-01-24,145.21241760253906,145.63498329473106,142.52790492755622,144.93898560345903,216088.0,,,-1.3500407568574964,0.0051618279700499,-0.0018829794558509,0.0029099831761536,-0.0184867983007529,Construction,3.0
2020-01-27,145.73439025878906,148.49348475393776,143.42272715348287,145.3864066093649,454414.0,,,-1.3425756029174325,0.0035945455964977,-0.0023877936347502,0.0189323500805076,-0.0158621661036989,Construction,3.0
