Date_Ticker,Close_GRANULES.NS,High_GRANULES.NS,Low_GRANULES.NS,Open_GRANULES.NS,Volume_GRANULES.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,126.19723510742188,134.33583232072434,125.60891197230391,131.29611042207398,1646576.0,,,-2.002732014305487,,0.0404040176499258,0.0644910897324708,-0.0046619336360036,Healthcare,11.0
2020-01-13,128.89376831054688,129.97238326024944,124.138084825244,126.49141497209364,895010.0,,,-1.9781012342870627,0.0213676092097394,-0.0186382427167866,0.0083682474633206,-0.0368961474835998,Healthcare,11.0
2020-01-14,128.55055236816406,130.4626284409511,127.471937679896,128.45249104666442,562181.0,,,-1.9812362508949983,-0.002662781505122,-0.0007628230271528,0.0148741179058564,-0.008390587736869,Healthcare,11.0
2020-01-15,134.53195190429688,137.0813972676302,128.452522532572,129.1389070651431,3521568.0,,,-1.9266007151611704,0.0465295514172689,-0.040087464448522,0.0189504822255677,-0.0451894831352007,Healthcare,11.0
2020-01-16,141.93511962890625,143.65108825999835,132.71792268100643,135.7085988969769,4956798.0,,,-1.8589784083217693,0.0550290664769052,-0.0438687813714377,0.012089810017271,-0.0649395087840026,Healthcare,11.0
2020-01-17,139.28761291503906,143.40593418644335,136.8362294246725,143.16079583740674,2038757.0,,,-1.883161368646898,-0.0186529360794507,0.0278070880913883,0.0295670317353802,-0.0175994364399211,Healthcare,11.0
2020-01-20,144.3374481201172,149.63244511370743,138.30705108631173,140.02301942494574,7308893.0,,,-1.837034964595419,0.0362547329184136,-0.0298912635034325,0.0366848455653987,-0.041779850706429,Healthcare,11.0
2020-01-21,137.2284698486328,149.87761994519352,135.41445471185725,144.82776005597898,10078581.0,,,-1.9019700745201795,-0.0492524868914705,0.0553769215362411,0.0921758444914024,-0.0132189416582176,Healthcare,11.0
2020-01-22,146.3475799560547,146.98493361593202,139.04246086690736,139.18953787701568,4752154.0,,,-1.818673939038,0.0664520279026686,-0.0489112432278581,0.0043550679831447,-0.0499162274589092,Healthcare,11.0
