Date_Ticker,Close_RECLTD.NS,High_RECLTD.NS,Low_RECLTD.NS,Open_RECLTD.NS,Volume_RECLTD.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,68.41743469238281,69.5717554069907,68.03266275172707,68.7781593041177,4769207.0,,,-0.6634772405571406,,0.0052724077328647,0.0168717333498096,-0.0056238872794009,Financial Services,9.0
2020-01-13,68.97054290771484,69.45150902313087,68.10479998585372,68.80220183173503,5338915.0,,,-0.6603807793593435,0.0080843167800562,-0.0024407677376856,0.006973500499475,-0.0125523576495478,Financial Services,9.0
2020-01-14,68.41743469238281,69.42746164818422,68.12885696005118,69.25912545309754,4207445.0,,,-0.6634772405571406,-0.0080194847251254,0.0123022847100175,0.0147627130473784,-0.004217897581649,Financial Services,9.0
2020-01-15,68.48959350585938,68.77817128847468,66.83025902421753,68.29720505568815,6015735.0,,,-0.6630732744618709,0.0010546845815105,-0.0028090172582899,0.0042134544511585,-0.024227541684853,Financial Services,9.0
2020-01-16,67.84028625488281,69.01865450545549,67.02264267942577,68.51364093882192,4434098.0,,,-0.666708285934066,-0.0094803782259419,0.0099255873038219,0.0173697417216875,-0.0120524782632117,Financial Services,9.0
2020-01-17,67.81622314453125,68.29718926612367,67.02262708684759,67.74407626923623,3268230.0,,,-0.6668429982479253,-0.0003547023705229,-0.0010638586454638,0.0070921985815601,-0.0117021565178044,Financial Services,9.0
2020-01-20,65.98857116699219,67.72004772800014,65.7480880394832,67.72004772800014,4389937.0,,,-0.6770747273646762,-0.0269500702456392,0.026239037008791,0.026239037008791,-0.003644314814764,Financial Services,9.0
2020-01-21,64.641845703125,66.37332170355292,64.4735046327855,65.4113895049507,4125210.0,,,-0.6846140895136308,-0.0204084652849829,0.0119047312689666,0.0267856831993924,-0.0026042120008858,Financial Services,9.0
2020-01-22,65.21900939941406,65.5075920312661,62.38131198836745,65.12282008143751,9429809.0,,,-0.6813829587135515,0.0089286388717882,-0.0014748662830413,0.0044248239050166,-0.0435102807782312,Financial Services,9.0
2020-01-23,66.80620574951172,67.23907238493649,64.93043565141441,65.31520762489458,5985386.0,,,-0.6724973703691216,0.0243364068959918,-0.0223182578308308,0.0064794375098593,-0.0280777822517036,Financial Services,9.0
2020-01-24,68.03266906738281,68.53768259216528,66.42142938314022,66.85430091446298,5654259.0,,,-0.6656312708084242,0.0183585237944763,-0.0173206221227734,0.0074231032194589,-0.0236833231200549,Financial Services,9.0
2020-01-27,69.30721282958984,70.31724457191895,67.62383148501482,67.74407300962733,7087981.0,,,-0.6584960028894703,0.01873429015323,-0.022553782732627,0.0145732558141176,-0.0242886890966754,Financial Services,9.0
2020-01-28,69.71604919433594,70.31725692299935,68.0086202234601,69.3553245571379,6845187.0,,,-0.6562072176127505,0.0058989006779327,-0.0051741979266853,0.0086236632111427,-0.0244911894837345,Financial Services,9.0
2020-01-29,70.72607421875,71.13489839824943,69.71604722025188,69.8362887625798,6727885.0,,,-0.6505528027799771,0.0144876973966006,-0.0125807273484198,0.0057803884071803,-0.0142808293780619,Financial Services,9.0
2020-01-30,71.18299865722656,71.56777064441305,70.05273002749603,70.99061021731269,6855935.0,,,-0.6479948064334238,0.0064604807141328,-0.0027027301960161,0.0054053916587486,-0.0158783508850647,Financial Services,9.0
2020-01-31,69.11483001708984,71.80823823829365,68.46552284210378,71.6639493858435,9384174.0,,,-0.659573018015112,-0.0290542500196675,0.0368823791959458,0.038970047680618,-0.0093946143660559,Financial Services,9.0
2020-02-03,66.27713775634766,67.76813583038007,65.45949428254161,66.92644502641757,6234290.0,,,-0.6754592473877906,-0.0410576465288349,0.0097968514038271,0.0224964161776828,-0.0123367348302203,Financial Services,9.0
2020-02-04,68.41743469238281,68.68196509579359,66.51761742538429,66.51761742538429,5918053.0,,,-0.6634772405571406,0.0322931407192545,-0.0277680283620753,0.0038664180351126,-0.0277680283620753,Financial Services,9.0
