Date_Ticker,Close_LICHSGFIN.NS,High_LICHSGFIN.NS,Low_LICHSGFIN.NS,Open_LICHSGFIN.NS,Volume_LICHSGFIN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,390.2353515625,396.6159291641426,387.3995212654486,391.29876764053273,2540163.0,,,-0.1786072905712185,,0.0027250634105158,0.0163505883721062,-0.0072669743673831,Financial Services,9.0
2020-01-13,401.8888244628906,403.5282881413715,390.8114037224581,391.69759738169273,3344728.0,,,-0.0919635393018264,0.0298626786469503,-0.0253583241455347,0.0040793960386231,-0.0275633958103638,Financial Services,9.0
2020-01-14,401.4456787109375,404.85752929210105,394.40042916080085,401.4456787109375,3133130.0,,,-0.095258334822141,-0.0011026575634328,0.0,0.008498909720785,-0.017549695821261,Financial Services,9.0
2020-01-15,404.9461669921875,407.1616509410572,396.5716268476675,398.2110903787274,1830488.0,,,-0.0692321503057742,0.0087197059699091,-0.0166320295447814,0.0054710579564825,-0.0206806257896535,Financial Services,9.0
2020-01-16,416.865478515625,420.3216282668168,405.8766829027018,407.5604453923098,3984810.0,,,0.0193881152379419,0.029434311261594,-0.0223214288610525,0.0082908034589443,-0.0263605315845584,Financial Services,9.0
2020-01-17,413.5422668457031,417.3529158179092,405.8766970804817,416.24517374072445,3481469.0,,,-0.0053200149310998,-0.007971904226167,0.0065359870361929,0.0092146541664817,-0.0185363634621693,Financial Services,9.0
2020-01-20,410.6177368164063,420.7646355020236,409.2884466532223,413.85233747125824,3519666.0,,,-0.0270639409353189,-0.0070719011423034,0.0078774012051463,0.0247113014754016,-0.0032372935798881,Financial Services,9.0
2020-01-21,423.95501708984375,431.3547391330724,407.3388869229303,409.4214473127467,6905432.0,,,0.0720989441976745,0.0324810135500815,-0.034280924134027,0.017454026358793,-0.0391931443127424,Financial Services,9.0
2020-01-22,422.5814208984375,428.5189017542268,418.504924955302,428.5189017542268,3834127.0,,,0.0618862352678929,-0.0032399573917889,0.0140505014232896,0.0140505014232896,-0.0096466520806063,Financial Services,9.0
