Date_Ticker,Close_ELGIEQUIP.NS,High_ELGIEQUIP.NS,Low_ELGIEQUIP.NS,Open_ELGIEQUIP.NS,Volume_ELGIEQUIP.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,127.06993865966795,129.3807225816708,126.28378008642008,126.45054143650847,232456.0,,,-1.1965855808977213,,-0.0048744591340239,0.018185134473007,-0.0061868179172845,Capital Goods,1.0
2020-01-13,127.06993865966795,129.14249623588228,126.30761144510826,127.85608269273364,34132.0,,,-1.1965855808977213,0.0,0.0061867034906752,0.0163103689045231,-0.0059992727044706,Capital Goods,1.0
2020-01-14,126.47437286376952,128.38018363111098,125.33087477121887,128.11812592649218,14396.0,,,-1.1995574700621745,-0.0046869133815633,0.0129967283134362,0.0150687504842919,-0.0090413422629291,Capital Goods,1.0
2020-01-15,126.56964874267578,128.0704717435412,125.59292658628856,128.0704717435412,209752.0,,,-1.1990820408919547,0.0007533216156673,0.0118576848065421,0.0118576848065421,-0.0077168749861427,Capital Goods,1.0
2020-01-16,125.64058685302734,127.45110135527204,125.33088095590556,126.5458441041497,21964.0,,,-1.2037180844357032,-0.0073403213082883,0.007205133896591,0.0144102677931823,-0.0024650147287522,Capital Goods,1.0
2020-01-17,125.47383880615234,127.68934125952131,124.78297647953262,125.78353019594635,400394.0,,,-1.2045501616253511,-0.0013271829673166,0.0024681749816586,0.017657086723805,-0.0055060268594081,Capital Goods,1.0
2020-01-20,124.23505401611328,126.25997819470764,123.87771445518486,126.09321682490426,7702.0,,,-1.2107317306811305,-0.0098728531925518,0.0149568318177732,0.0162991371045062,-0.0028763183125599,Capital Goods,1.0
2020-01-21,121.68602752685548,126.25997676290696,120.42343066726316,123.97300941497312,27734.0,,,-1.2234514406703536,-0.0205177718112249,0.0187941206940371,0.0375881218987288,-0.0103758573211181,Capital Goods,1.0
2020-01-22,122.18630981445312,123.8777112091196,121.4716234412318,121.87661117437526,39250.0,,,-1.220955018747002,0.0041112549876545,-0.0025346427152777,0.0138428060986124,-0.0058491526121593,Capital Goods,1.0
2020-01-23,121.54309844970705,122.63893394976768,119.37523700072744,121.97190301320104,12582.0,,,-1.2241646605674463,-0.005264185208006,0.0035280042138421,0.0090160240609145,-0.0178361542253806,Capital Goods,1.0
2020-01-24,121.47161865234376,123.85388950561553,120.56636139877185,123.85388950561553,27832.0,,,-1.2245213466577562,-0.0005881024778454,0.0196117486512625,0.0196117486512625,-0.0074524178043826,Capital Goods,1.0
2020-01-27,122.30541229248048,123.40124767194996,121.04280829208342,121.61455007052211,13112.0,,,-1.2203606942133456,0.0068641024906654,-0.0056486643477905,0.0089598273611057,-0.0103233698062163,Capital Goods,1.0
2020-01-28,121.32868957519533,123.853897867973,119.42287857997472,121.18575956662735,10790.0,,,-1.2252345665548492,-0.0079859320939078,-0.0011780396629057,0.0208129528277205,-0.0157078346588376,Capital Goods,1.0
2020-01-29,121.18575286865234,123.401255120108,119.32758288895867,123.401255120108,27308.0,,,-1.2259478245228237,-0.0011780948681093,0.0182818705913139,0.0182818705913139,-0.0153332379071625,Capital Goods,1.0
2020-01-30,121.97189331054688,123.35360325641886,120.11373065643056,121.2333901587499,4184.0,,,-1.2220249628052862,0.0064870698352354,-0.0060546994209289,0.011328101158142,-0.015234351158142,Capital Goods,1.0
2020-01-31,120.0184326171875,123.5441797007614,119.58962809381194,120.82840802592776,5266.0,,,-1.2317727836300565,-0.0160156626279938,0.0067487584288306,0.0293767132821978,-0.0035728222242601,Capital Goods,1.0
2020-02-03,119.11316680908205,119.63726765107828,119.01787772965292,119.20845588851114,83092.0,,,-1.236290084093895,-0.007542723133145,0.0007999877929687,0.0044000244140625,-0.0007999877929687,Capital Goods,1.0
2020-02-04,119.87550354003906,121.4716157404533,117.35030274838324,118.63672359844448,13786.0,,,-1.2324860035271494,0.0064001046347707,-0.010333887283158,0.0133147486623999,-0.0210651944482752,Capital Goods,1.0
2020-02-05,119.87550354003906,121.49543982973228,118.2555599802545,119.23228947996276,44568.0,,,-1.2324860035271494,0.0,-0.0053656839060655,0.0135134889268861,-0.0135135495739001,Capital Goods,1.0
2020-02-06,119.2322998046875,120.97134942127452,118.63673387159714,120.54254485748626,10756.0,122.7163543701172,,-1.2356956072767122,-0.0053655977773367,0.0109890109890109,0.0145853901957417,-0.004995004995005,Capital Goods,1.0
2020-02-07,118.4937973022461,120.32814329517078,118.16028183173944,119.13701142186696,7748.0,122.2875473022461,,-1.2393807544091398,-0.0061938124455465,0.0054282513875405,0.01548052332432,-0.0028146238714584,Capital Goods,1.0
2020-02-10,115.30156707763672,119.13701322163438,114.658352948299,118.16028361675168,34966.0,121.69912872314453,,-1.255310068147926,-0.0269400618200026,0.0247933884297519,0.0332644754204867,-0.0055785376178332,Capital Goods,1.0
2020-02-11,113.395751953125,118.13645525513012,112.75253784703482,116.7309211282169,325190.0,121.04519767761232,,-1.2648201363167049,-0.0165289611651892,0.0294117647058822,0.0418067098665637,-0.0056722945525866,Capital Goods,1.0
2020-02-12,112.6334228515625,117.6123597132696,112.08550511821366,113.82455468066148,56344.0,120.34838638305663,,-1.268624178812569,-0.0067227306881621,0.0105752963813303,0.0442047905111502,-0.0048646105168173,Capital Goods,1.0
