Date_Ticker,Close_ALKEM.NS,High_ALKEM.NS,Low_ALKEM.NS,Open_ALKEM.NS,Volume_ALKEM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,2154.628662109375,2193.7065170114743,2042.166280968072,2051.709114056708,266354.0,,,-1.3526213123957402,,-0.0477667218776849,0.0181367005782993,-0.0521957138689515,Healthcare,11.0
2020-01-13,2232.5458984375,2242.565873617493,2173.857472383255,2178.581128372242,231850.0,,,-1.2784136646605198,0.0361627215391464,-0.024171852459126,0.0044881384911303,-0.0262876683051934,Healthcare,11.0
2020-01-14,2217.5634765625,2243.5199345260203,2138.8351079540794,2237.3170933629326,160556.0,,,-1.29268278324217,-0.0067109132607243,0.0089078021933572,0.0117049447458235,-0.0355021939351469,Healthcare,11.0
2020-01-15,2257.5478515625,2295.051230109845,2202.19942272825,2202.19942272825,159401.0,,,-1.254602038149804,0.0180307690952688,-0.02451705676845,0.0166124401400342,-0.02451705676845,Healthcare,11.0
2020-01-16,2254.63720703125,2266.422698253893,2235.6948244776386,2247.193984132009,85579.0,,,-1.2573741088011277,-0.0012892947226945,-0.0033012951600499,0.0052272228923966,-0.0084015213155084,Healthcare,11.0
2020-01-17,2231.305419921875,2266.423095962554,2224.434625974195,2254.6376026718094,76445.0,,,-1.279595084806416,-0.0103483553968741,0.0104567409470781,0.0157386235551331,-0.0030792709444144,Healthcare,11.0
2020-01-20,2251.48876953125,2278.3995164474786,2237.126756894346,2278.3995164474786,72290.0,,,-1.260372651253692,0.0090455342550468,0.0119524233389054,0.0119524233389054,-0.0063788959693076,Healthcare,11.0
2020-01-21,2249.1025390625,2265.516164133897,2215.4162942193007,2252.060677307969,127081.0,,,-1.2626452748525878,-0.0010598456012937,0.0013152527259614,0.0072978553829023,-0.0149776385283175,Healthcare,11.0
2020-01-22,2252.919921875,2261.651521265368,2235.7428217134907,2252.2042093682703,47447.0,,,-1.2590096351357536,0.0016972915846207,-0.0003176821775955,0.0038756812017983,-0.0076243722622921,Healthcare,11.0
