Date_Ticker,Close_BLUESTARCO.NS,High_BLUESTARCO.NS,Low_BLUESTARCO.NS,Open_BLUESTARCO.NS,Volume_BLUESTARCO.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,394.2110290527344,399.43460061667326,392.4858283204024,397.7573107520562,65192.0,,,-0.683645746414593,,0.0089958967100522,0.0132506986841307,-0.0043763380656232,Consumer Durables,5.0
2020-01-13,400.1295166015625,400.776459616986,391.671171031704,395.8404406022564,69494.0,,,-0.6717619815789703,0.0150135006700596,-0.0107192192061577,0.0016168340214393,-0.0211390192897992,Consumer Durables,5.0
2020-01-14,404.2268371582031,404.9456756356629,397.7572908610653,400.6805556362233,61252.0,,,-0.6635349483125201,0.0102399857712087,-0.0087729987125815,0.0017783046828689,-0.016004742145821,Consumer Durables,5.0
2020-01-15,407.8689575195313,409.49833650329856,398.9553717249808,403.9872412782688,65408.0,,,-0.6562219141091067,0.0090100904406371,-0.0095170671111359,0.0039948590196137,-0.0218540431435595,Consumer Durables,5.0
2020-01-16,408.7795104980469,416.44712148042527,404.9457050068577,406.4792330532563,120102.0,,,-0.6543936096009392,0.0022324645250111,-0.0056271838135624,0.0187573270808909,-0.0093786635404454,Consumer Durables,5.0
2020-01-17,411.2954406738281,414.027032905156,407.05430509728194,412.0861747472385,50008.0,,,-0.6493418590810363,0.0061547365050559,0.0019225451955287,0.0066414357203976,-0.0103116522993736,Consumer Durables,5.0
2020-01-20,412.0622253417969,414.4823386374725,407.82108940215,412.13412089994006,48350.0,,,-0.6478022277819038,0.0018643159931763,0.0001744774301588,0.005873174357752,-0.0102924647755056,Consumer Durables,5.0
2020-01-21,402.66937255859375,416.42315525163656,400.1534377702181,411.1995837054493,56868.0,,,-0.6666621903467168,-0.0227947436225486,0.0211841568497097,0.0341565155692129,-0.0062481404343945,Consumer Durables,5.0
2020-01-22,400.1774291992188,404.9457309341058,395.36121659247016,402.6214979061058,45646.0,,,-0.6716657776014315,-0.0061885594713623,0.0061074626616943,0.0119154689569294,-0.012035193030217,Consumer Durables,5.0
2020-01-23,402.4297790527344,412.1340994169116,398.5480626069096,403.5080368709763,49392.0,,,-0.6671432715108293,0.0056283780372689,0.0026793688597797,0.0241143197380171,-0.0096456988221941,Consumer Durables,5.0
2020-01-24,402.4776916503906,412.13410118616855,400.1534587098264,404.44253456628,498458.0,,,-0.6670470675332906,0.0001190582808484,0.0048818678815025,0.0239924093585934,-0.0057748118436913,Consumer Durables,5.0
2020-01-27,403.6278381347656,408.7316034423709,397.6614724335184,402.07035463944,82430.0,,,-0.6647376818610106,0.0028576651780592,-0.003858711783912,0.0126447306786139,-0.0147818488655757,Consumer Durables,5.0
2020-01-28,407.2939453125,414.5302418813334,401.7588649258366,407.2699606271491,132984.0,,,-0.6573764843924089,0.009082889809276,-5.888790056163273e-05,0.0177667668574872,-0.0135898911593606,Consumer Durables,5.0
2020-01-29,403.8195190429688,425.3367338906448,398.7397094350068,409.25871865071787,472194.0,,,-0.6643528046744369,-0.0085305129367083,0.0134693826109242,0.0532842367270178,-0.0125794058197107,Consumer Durables,5.0
2020-01-30,400.77642822265625,408.7795028864163,398.284448849862,408.7795028864163,224070.0,,,-0.670463044052941,-0.0075357695128865,0.0199689255659363,0.0199689255659363,-0.0062178790899594,Consumer Durables,5.0
2020-01-31,402.4297790527344,406.3354801831012,392.9650715370553,405.9041653559583,332196.0,,,-0.6671432715108293,0.0041253694420361,0.0086335218815123,0.0097052984984369,-0.023518904435844,Consumer Durables,5.0
2020-02-03,385.1776428222656,399.1949940540557,380.69689438477,399.1949940540557,351136.0,,,-0.7017839340421904,-0.0428699294348394,0.0363919129082426,0.0363919129082426,-0.0116329400758165,Consumer Durables,5.0
2020-02-04,384.722412109375,390.5450164577092,382.94927104962414,386.6393150389181,535264.0,,,-0.7026979943816459,-0.001181872108555,0.0049825611121354,0.0151345597892509,-0.004608884234295,Consumer Durables,5.0
2020-02-05,391.2398681640625,394.4027460436675,383.9316763327552,383.9316763327552,83958.0,,,-0.6896115572739514,0.0169406716363449,-0.0186795682802007,0.008084242269192,-0.0186795682802007,Consumer Durables,5.0
2020-02-06,387.1424865722656,394.5465298032673,385.3933302423634,392.96509077567873,876442.0,400.6278854370117,,-0.6978387130932392,-0.0104728120143386,0.0150399514529291,0.0191248532202099,-0.0045181203060122,Consumer Durables,5.0
2020-02-07,388.48431396484375,390.5210231298672,384.3390000820679,389.346914349519,68942.0,400.3415496826172,,-0.6951444502343856,0.0034659781323888,0.0022204252621467,0.0052427063122237,-0.0106704794344696,Consumer Durables,5.0
2020-02-10,383.6920471191406,390.4251619806912,382.1105789971818,388.2207063332163,61616.0,399.5196762084961,,-0.704766870110079,-0.0123358052653235,0.0118028487900074,0.0175482262718356,-0.0041217120183566,Consumer Durables,5.0
2020-02-11,381.6314086914063,387.1425047352305,378.7560542337589,383.7160582229715,526314.0,398.38990478515626,,-0.7089044377376887,-0.0053705528775125,0.0054624684553963,0.0144408869875818,-0.0075343758196078,Consumer Durables,5.0
2020-02-12,382.0387268066406,384.8182299651835,381.4636501273799,384.1952424166572,36936.0,397.0983932495117,,-0.708086581375772,0.0010673076323331,0.0056447565618342,0.0072754487006487,-0.0015052837288712,Consumer Durables,5.0
2020-02-13,383.90771484375,388.17283547661134,378.5883210203987,383.38057824850506,110660.0,395.85480346679685,,-0.7043338296583171,0.0048921428796806,-0.0013730815372112,0.0111097549435734,-0.0138559180179962,Consumer Durables,5.0
2020-02-14,401.5911254882813,404.2268667653523,386.2559035125951,387.43001229503153,193268.0,395.36958770751954,,-0.6688272087762698,0.0460616183546308,-0.0352625152660723,0.006563245823389,-0.0381861575178996,Consumer Durables,5.0
2020-02-17,409.30670166015625,414.0031374131213,399.91388865346335,401.59117877963126,266064.0,395.2318115234375,,-0.6533350594659191,0.0192125166174772,-0.0188502236812411,0.0114741237656654,-0.0229481046085868,Consumer Durables,5.0
