Date_Ticker,Close_VIJAYA.NS,High_VIJAYA.NS,Low_VIJAYA.NS,Open_VIJAYA.NS,Volume_VIJAYA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2021-09-14,616.55517578125,644.2957097824959,529.4559652147825,536.9130914854134,22194857.0,,,0.2077676365612567,,-0.1291726797928838,0.0449927842485391,-0.1412675036846495,Healthcare,11.0
2021-09-15,636.8385620117188,654.2385227224215,587.8203991182457,614.9643256896925,7226253.0,,,0.3057083293054151,0.0328979254853667,-0.0343481654957065,0.0273224043715847,-0.0769710972567816,Healthcare,11.0
2021-09-16,640.3682250976562,668.1584588492449,632.3642556966068,640.2688210300632,1756036.0,,,0.3227517186025587,0.0055424770051417,-0.0001552295440296,0.0433972715422452,-0.0124990108618034,Healthcare,11.0
2021-09-17,623.4157104492188,645.5882187952515,589.1129321230655,640.3682307890977,1823087.0,,,0.2408945272264277,-0.0264730728103385,0.0271929629871907,0.0355661687288177,-0.055023923444976,Healthcare,11.0
2021-09-20,581.15869140625,614.2683190018117,572.2598421636353,609.992912194584,873363.0,,,0.0368515892600581,-0.0677830512364202,0.0496150556030796,0.0569717498596558,-0.0153122535620724,Healthcare,11.0
2021-09-21,572.1107177734375,590.703769621435,532.0410464437543,580.1643893928243,1333438.0,,,-0.0068376052097183,-0.0155688519617917,0.014077120685189,0.0324990448009061,-0.0700383161595501,Healthcare,11.0
2021-09-22,575.3917846679688,611.38485394296,571.0169136695483,576.6843408809714,1007133.0,,,0.009005408424149,0.005735020849287,0.0022463932357819,0.0625540201199799,-0.0076032906881785,Healthcare,11.0
2021-09-23,576.0380859375,596.5700632211941,573.7015441310483,582.6500950793662,480924.0,,,0.0121261493763789,0.0011232368739922,0.0114784235683049,0.0356434371006535,-0.0040562279882049,Healthcare,11.0
2021-09-24,576.4358520507812,587.6215412885066,565.2501628130558,581.6558403617197,378162.0,,,0.014046809380693,0.0006905205106948,0.0090556274256143,0.019404915912031,-0.0194049159120311,Healthcare,11.0
2021-09-27,574.994140625,582.3518628597983,570.1221878468222,577.7781223105658,428695.0,,,0.0070853378505559,-0.0025010786901128,0.0048417566177973,0.0127961690649589,-0.0084730476955507,Healthcare,11.0
