Date_Ticker,Close_DRREDDY.NS,High_DRREDDY.NS,Low_DRREDDY.NS,Open_DRREDDY.NS,Volume_DRREDDY.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,509.3558654785156,522.3806494883445,507.9926513903776,508.8348953173152,5635735.0,,,-2.002360403632946,,-0.0010228019279036,0.0255710886878521,-0.002676349052852,Healthcare,11.0
2020-01-13,513.1243896484375,515.1736095998654,506.3515126067801,509.3385318402779,2209320.0,,,-1.984193821587094,0.0073986075852518,-0.0073780507895043,0.0039936124510313,-0.0131992888630723,Healthcare,11.0
2020-01-14,511.9260864257813,515.573036390144,509.18222203235337,513.1417540798953,1785850.0,,,-1.9899703730509115,-0.0023353074748157,0.0023746937035418,0.0071239775840012,-0.0053598839093847,Healthcare,11.0
2020-01-15,506.8638000488281,511.70034292501583,503.6249873481676,511.6395542391987,1924335.0,,,-2.014373677012851,-0.0098887056377562,0.0094221646720686,0.0095420956788032,-0.0063899073091204,Healthcare,11.0
2020-01-16,510.1286926269531,512.5686667621354,507.3848280577663,508.4875570881696,1917310.0,,,-1.998634906020006,0.0064413607320358,-0.0032171010227485,0.0047830560610448,-0.0053787693357475,Healthcare,11.0
2020-01-17,526.9566650390625,529.5008329521926,510.5714923064143,511.3356171469832,5585585.0,,,-1.9175138284560376,0.0329877002711849,-0.0296438947041715,0.0048280401063747,-0.0310939662020094,Healthcare,11.0
2020-01-20,531.3416748046875,534.8844306784855,526.5572292908577,528.4588497601045,4373565.0,,,-1.8963754103148207,0.0083213859061825,-0.0054255579437518,0.0066675663547381,-0.0090044612359617,Healthcare,11.0
2020-01-21,531.4893798828125,534.8497700455969,527.2172124062008,530.6383912564391,2853930.0,,,-1.895663381865657,0.0002779851179173,-0.0016011394744349,0.0063225913630209,-0.0080381050653423,Healthcare,11.0
2020-01-22,531.7671508789062,539.2347251706365,529.2229828776962,531.5066658101437,2798990.0,,,-1.894324356463944,0.0005226275568384,-0.0004898479876616,0.0140429401842288,-0.0047843647299482,Healthcare,11.0
