Date_Ticker,Close_MOTILALOFS.NS,High_MOTILALOFS.NS,Low_MOTILALOFS.NS,Open_MOTILALOFS.NS,Volume_MOTILALOFS.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,871.8466796875,878.1260406920285,834.170693313603,837.899037710606,280590.0,,,0.8513013095745346,,-0.0389376283328417,0.0072023684333801,-0.0432140045396529,Financial Services,9.0
2020-01-13,868.5108032226562,888.3299724331206,853.5973660007019,871.8466650441887,212499.0,,,0.8316434722611921,-0.0038262191536239,0.0038408984772033,0.0228197152377658,-0.0171712742853827,Financial Services,9.0
2020-01-14,863.4088745117188,876.7033969094173,854.6276018224698,875.182631891424,78909.0,,,0.8015785446054917,-0.0058743411043438,0.0136363636363636,0.0153977134011009,-0.010170468417081,Financial Services,9.0
2020-01-15,855.8539428710938,873.1711997757582,843.7858548312059,864.3899280305726,68952.0,,,0.7570584256292674,-0.0087501204396324,0.0099736470580991,0.0202338927674634,-0.0141006396481665,Financial Services,9.0
2020-01-16,838.8801879882812,853.5973842687774,827.9403814660092,848.6916521752787,67500.0,,,0.657034544169823,-0.0198325368764107,0.0116959064327486,0.0175438596491228,-0.0130409642269736,Financial Services,9.0
2020-01-17,861.5936889648438,875.1825419232242,830.0498099406365,838.8801270676645,112385.0,,,0.7908819188311105,0.0270759773586163,-0.0263622658662557,0.0157717647336841,-0.0366110841202951,Financial Services,9.0
2020-01-20,844.5708618164062,868.3146181541161,838.3406057416138,865.3711787705429,44972.0,,,0.6905688616109867,-0.0197573721424183,0.024628267318389,0.0281133974793359,-0.0073768304786091,Financial Services,9.0
2020-01-21,840.7935180664062,852.8125628760178,830.5405250070351,844.5709081956546,46967.0,,,0.6683095214655629,-0.0044725006755219,0.0044926489656287,0.0142948828117182,-0.0121944244800438,Financial Services,9.0
2020-01-22,856.8842163085938,867.2353591205463,833.9744709715573,848.4954262539416,370951.0,,,0.7631296779181563,0.019137514617372,-0.0097898758023465,0.01207997838558,-0.0267361037827611,Financial Services,9.0
2020-01-23,830.3442993164062,873.2204148068421,823.7706055651313,863.4089494719337,225688.0,,,0.6067337873507656,-0.0309725823945268,0.0398204096574739,0.051636550676309,-0.0079168289066196,Financial Services,9.0
2020-01-24,810.966552734375,837.5065511324699,805.7664887413008,832.993301602879,106056.0,,,0.4925435306601323,-0.0233370020098702,0.0271611064528312,0.032726378552369,-0.0064121805955386,Financial Services,9.0
2020-01-27,797.0342407226562,818.177993195686,794.9738572709715,804.540034510579,113727.0,,,0.4104424319499546,-0.0171798848728625,0.0094171534978437,0.0265280352997872,-0.0025850626565511,Financial Services,9.0
2020-01-28,800.0758666992188,806.0117906118058,791.0002622401083,800.5664399132247,78409.0,,,0.4283662937132537,0.0038161798090439,0.0006131583696304,0.0074192013028417,-0.0113434298381634,Financial Services,9.0
2020-01-29,795.6116333007812,819.0609961411145,790.3624641724376,804.5400415150448,110464.0,,,0.4020592122610078,-0.0055797626003332,0.0112220684572219,0.0294733785415481,-0.0065976525589076,Financial Services,9.0
2020-01-30,781.2379150390625,801.4004640091813,777.6567062942162,795.7098261810734,94710.0,,,0.3173569703900928,-0.0180662494866823,0.018524332810047,0.0258084619063971,-0.0045840181024333,Financial Services,9.0
2020-01-31,778.2416381835938,786.9356793244121,758.5449263619291,786.8865723043544,210341.0,,,0.2997003444354812,-0.0038352937021994,0.0111082904031425,0.0111713903680483,-0.0253092495380181,Financial Services,9.0
2020-02-03,758.9868774414062,767.2388946584994,742.1390938994526,744.7423653126633,142514.0,,,0.1862348255032669,-0.0247413654030743,-0.0187677976419857,0.0108724109235078,-0.0221977270526053,Financial Services,9.0
2020-02-04,777.2100830078125,791.7001902827956,761.4428335645415,763.8005699185986,89621.0,,,0.2936215390483656,0.0240099086137534,-0.0172533956807648,0.0186437458697219,-0.0202869851897077,Financial Services,9.0
