Date_Ticker,Close_ICICIGI.NS,High_ICICIGI.NS,Low_ICICIGI.NS,Open_ICICIGI.NS,Volume_ICICIGI.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1332.81591796875,1353.4653800185802,1327.871568901233,1340.6685336311498,246516.0,,,-0.2399106132985775,,0.0058917481075462,0.0154931088167828,-0.0037097013930115,Financial Services,9.0
2020-01-13,1312.4085693359375,1339.7958580404547,1310.712011628578,1336.208897653313,230062.0,,,-0.3185704303137889,-0.0153114532604876,0.0181348467797783,0.0208679593721143,-0.0012927054478301,Financial Services,9.0
2020-01-14,1327.6290283203125,1335.9179716351532,1315.6078001726082,1317.4982027954811,425319.0,,,-0.2599034010911168,0.0115973480667505,-0.0076307653032027,0.0062434182576798,-0.009054659013379,Financial Services,9.0
2020-01-15,1317.983154296875,1333.0583307617244,1306.4950570544368,1332.040348660468,407094.0,,,-0.2970832767960583,-0.0072654889413206,0.0106656859139389,0.011438064603255,-0.0087164219094795,Financial Services,9.0
2020-01-16,1371.400390625,1381.2404497841503,1323.3151177086263,1325.2540409580165,982078.0,,,-0.0911873463334084,0.0405295288896331,-0.0336490714035401,0.0071751905763028,-0.0350628986582534,Financial Services,9.0
2020-01-17,1369.364501953125,1391.322830732586,1353.368385647124,1371.7881559388827,570066.0,,,-0.0990346484633647,-0.0014845326614987,0.0017699115044247,0.0160354155143804,-0.0116814159292035,Financial Services,9.0
2020-01-20,1313.378173828125,1383.9065090530712,1308.7732309783862,1369.3645842644223,508235.0,,,-0.3148331044462843,-0.0408848981006493,0.0426277911053698,0.0536999446392321,-0.0035061819523897,Financial Services,9.0
2020-01-21,1289.3355712890625,1327.193098912799,1282.597859650572,1316.1897320242051,484563.0,,,-0.4075049527260416,-0.0183059251464375,0.020827906507143,0.0293620438827162,-0.0052257238445335,Financial Services,9.0
2020-01-22,1273.484619140625,1301.8898887936202,1268.3949462000437,1284.5365040515246,528752.0,,,-0.4686022083248513,-0.0122938919094506,0.0086784596726088,0.0223051532983284,-0.0039966505005896,Financial Services,9.0
