Date_Ticker,Close_INDIAMART.NS,High_INDIAMART.NS,Low_INDIAMART.NS,Open_INDIAMART.NS,Volume_INDIAMART.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1004.1653442382812,1026.0468361729131,990.1916810553342,992.1563470891742,50532.0,,,-1.9958287154360568,,-0.0119591830349577,0.0217907260593925,-0.0139156995041955,Consumer Services,6.0
2020-01-13,1012.2205200195312,1024.0821429180685,1002.0042329323816,1011.8029805329596,23258.0,,,-1.9858708270084928,0.0080217623795415,-0.0004124985399067,0.0117184177399487,-0.0100929460380356,Consumer Services,6.0
2020-01-14,987.39208984375,1020.594875007504,985.8203209885992,1013.1045854962964,49316.0,,,-2.0165639793661985,-0.0245286769876016,0.026040815920062,0.0336267481837009,-0.0015918386133715,Consumer Services,6.0
2020-01-15,995.741943359375,1003.9689828451732,987.269320605344,991.5670277994176,21666.0,,,-2.006241807392169,0.0084564719542631,-0.0041927686061633,0.008262220488616,-0.0085088539360373,Consumer Services,6.0
2020-01-16,986.8026733398438,999.4256892616992,984.7889025379944,997.2890668692644,20072.0,,,-2.017292621911396,-0.0089774967090092,0.0106266367255869,0.0127918339328496,-0.0020407026209544,Consumer Services,6.0
2020-01-17,1050.948974609375,1070.6938446507518,983.1679951236003,994.61219897604,193890.0,,,-1.9379943262032155,0.0650041827029384,-0.0536056240544643,0.018787658124616,-0.0644950241385106,Consumer Services,6.0
2020-01-20,1047.830078125,1085.4779415719618,1036.8524591214532,1078.0612796165583,92838.0,,,-1.941849937061618,-0.0029676954445236,0.0288512442262149,0.035929359380797,-0.0104765259489308,Consumer Services,6.0
2020-01-21,1027.888671875,1063.1544498372514,1012.3923451338544,1031.4496289272488,51792.0,,,-1.9665017018298632,-0.0190311450933756,0.0034643411778758,0.0343089469970732,-0.0150758804578305,Consumer Services,6.0
2020-01-22,1168.6815185546875,1217.110583271821,1096.7747911404265,1096.7747911404265,1631456.0,,,-1.7924521842639072,0.1369728556526101,-0.0615280778147228,0.0414390609830348,-0.0615280778147228,Consumer Services,6.0
2020-01-23,1150.508544921875,1200.5093265702317,1137.7873785107463,1182.729120420409,378070.0,,,-1.8149177950397577,-0.0155499794805406,0.0280055073391234,0.0434597221107575,-0.0110569942894187,Consumer Services,6.0
2020-01-24,1159.44775390625,1176.2946698848734,1142.7235096459176,1154.2413407442205,151344.0,,,-1.8038670559727976,0.0077697893021576,-0.0044904249842123,0.0145301208457777,-0.0144243189949588,Consumer Services,6.0
2020-01-27,1143.5338134765625,1178.7995919175,1131.0582324275804,1159.447679915666,177060.0,,,-1.823540027431795,-0.0137254484956932,0.0139163934214785,0.0308392965956316,-0.0109096739440122,Consumer Services,6.0
2020-01-28,1147.5614013671875,1172.3898927629418,1135.5769863281662,1154.2413139581274,79048.0,,,-1.8185610832180128,0.0035220540426175,0.0058209631162058,0.0216358718288833,-0.0104433758618434,Consumer Services,6.0
2020-01-29,1148.4207763671875,1158.3914791917234,1139.5061533484904,1154.2411467107554,41170.0,,,-1.8174987152946016,0.0007488706042013,0.0050681513808723,0.0086820989568616,-0.0077625058707982,Consumer Services,6.0
2020-01-30,1139.0643310546875,1154.2413286445758,1121.3823362328983,1153.7501621217484,84078.0,,,-1.8290652460607404,-0.0081472274840736,0.0128928899507045,0.0133240916918497,-0.0155232626812368,Consumer Services,6.0
