Date_Ticker,Close_BRITANNIA.NS,High_BRITANNIA.NS,Low_BRITANNIA.NS,Open_BRITANNIA.NS,Volume_BRITANNIA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,2706.045654296875,2728.899622946761,2695.455938760748,2728.854323368585,526254.0,,,-1.4640027505929574,,0.0084287820626725,0.008445522200853,-0.0039133543513253,Fast Moving Consumer Goods,8.0
2020-01-13,2756.143310546875,2766.235172151566,2703.828045754912,2710.797330255686,420792.0,,,-1.4069551176597836,0.0185132339398823,-0.0164526931954751,0.003661588120644,-0.0189813296688053,Fast Moving Consumer Goods,8.0
2020-01-14,2810.4951171875,2823.030947359847,2748.9477929103373,2767.819377052392,653300.0,,,-1.3450631620957103,0.0197202396670151,-0.0151844206645745,0.0044603636190947,-0.0218991037916315,Fast Moving Consumer Goods,8.0
2020-01-15,2818.68603515625,2836.561910201906,2799.407199140152,2823.935703414997,438959.0,,,-1.3357359297131182,0.0029144039136231,0.0018624522892123,0.0063419177668948,-0.0068396535746235,Fast Moving Consumer Goods,8.0
2020-01-16,2851.315673828125,2860.140474342314,2819.4106258152874,2820.3157335603323,768872.0,,,-1.298579627621736,0.0115761877218319,-0.0108721530037299,0.0030949924609158,-0.0111895881279263,Fast Moving Consumer Goods,8.0
2020-01-17,2827.96337890625,2868.2859664283096,2818.821924787648,2855.614460107705,294064.0,,,-1.3251715532440118,-0.0081900068576141,0.0097777366594291,0.0142585253482507,-0.0032325220993977,Fast Moving Consumer Goods,8.0
2020-01-20,2815.292236328125,2844.753536524708,2809.816290480223,2844.753536524708,203111.0,,,-1.3396005454314617,-0.0044806600653455,0.0104647396161643,0.0104647396161643,-0.0019450719102056,Fast Moving Consumer Goods,8.0
2020-01-21,2816.016357421875,2832.9871269523405,2785.242695339965,2805.833895703596,220943.0,,,-1.338775968047057,0.0002572099210185,-0.0036159100040177,0.0060265166733628,-0.0109280835676977,Fast Moving Consumer Goods,8.0
2020-01-22,2811.581298828125,2840.861399365726,2795.7869932092763,2828.914022317565,248578.0,,,-1.343826296019104,-0.001574940636286,0.0061647598441008,0.0104141041732654,-0.0056175880901725,Fast Moving Consumer Goods,8.0
2020-01-23,2817.55517578125,2826.5609538576155,2776.9612250630867,2809.318827695362,203032.0,,,-1.3370236716027208,0.0021247391834676,-0.0029232251267641,0.0031963093939653,-0.0144075087036786,Fast Moving Consumer Goods,8.0
2020-01-24,2889.556396484375,2908.0658051661244,2816.740524595402,2817.736010503396,580192.0,,,-1.2550338238358945,0.0255545024715125,-0.0248551597983553,0.0064056229199296,-0.0251996714712215,Fast Moving Consumer Goods,8.0
2020-01-27,2872.992919921875,2905.395820935747,2855.6148956549164,2884.578343091036,322446.0,,,-1.273895127971948,-0.0057321866369011,0.0040325275738848,0.0112784479172169,-0.0060487529037945,Fast Moving Consumer Goods,8.0
2020-01-28,2879.3740234375,2905.3052720292844,2838.870451712917,2880.86736283233,292577.0,,,-1.2666287830305527,0.0022210648245518,0.0005186333497053,0.0090058632121807,-0.0140667976424362,Fast Moving Consumer Goods,8.0
2020-01-29,2909.197021484375,2937.526935679631,2887.3387596976554,2896.3445367970485,434882.0,,,-1.2326684828309824,0.010357458879646,-0.0044178804640631,0.0097380527980883,-0.0075135034256176,Fast Moving Consumer Goods,8.0
