Date_Ticker,Close_CROMPTON.NS,High_CROMPTON.NS,Low_CROMPTON.NS,Open_CROMPTON.NS,Volume_CROMPTON.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,225.44224548339844,227.28509471866803,224.59168969918224,225.8202606628136,746064.0,,,-1.5766959420837805,,0.0016767717097769,0.0081743740234583,-0.0037728322941089,Consumer Durables,5.0
2020-01-13,226.95431518554688,227.7103599466236,225.3949845823641,225.3949845823641,563247.0,,,-1.5556896643721134,0.0067071266918328,-0.0068706805680602,0.0033312640936506,-0.0068706805680602,Consumer Durables,5.0
2020-01-14,229.26971435546875,231.96310500034517,227.2850985789451,228.3719030534883,3935343.0,,,-1.5235232120533917,0.0102020495535804,-0.0039159611835536,0.0117476948599519,-0.0086562491784092,Consumer Durables,5.0
2020-01-15,232.6246337890625,234.1367233406353,228.2301460616082,229.4587170197168,418612.0,,,-1.4769153280238363,0.01463306849326,-0.0136095507933888,0.0065001265211832,-0.018890895843125,Consumer Durables,5.0
2020-01-16,232.81365966796875,236.26309508811323,232.43563006361484,234.042216226143,714170.0,,,-1.4742893048310202,0.0008125789424247,0.0052769951725615,0.0148162931035229,-0.0016237432326481,Consumer Durables,5.0
2020-01-17,240.2322998046875,244.2015167132712,233.42792590135053,233.90045206714277,816700.0,,,-1.37122658574247,0.0318651411918827,-0.0263571873669471,0.0165224114817645,-0.0283241425439835,Consumer Durables,5.0
2020-01-20,241.130126953125,244.1070364037637,239.19278096607607,241.46090107890973,585793.0,,,-1.358753611520214,0.0037373290318056,0.0013717660665812,0.0123456553863856,-0.008034441865597,Consumer Durables,5.0
2020-01-21,241.08287048339844,243.8235166465549,239.19276570319255,240.98835947624613,274560.0,,,-1.359410117318418,-0.0001959791185103,-0.000392027052618,0.0113680667467628,-0.0078400625329206,Consumer Durables,5.0
2020-01-22,246.61143493652344,248.1707656259801,238.29495652490385,241.13011372053796,916653.0,,,-1.2826050863835463,0.0229322159722074,-0.0222265492976688,0.0063230267074112,-0.0337230040195023,Consumer Durables,5.0
