Date_Ticker,Close_SOLARINDS.NS,High_SOLARINDS.NS,Low_SOLARINDS.NS,Open_SOLARINDS.NS,Volume_SOLARINDS.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1083.657958984375,1107.453079715558,1076.676791011655,1095.1622487679365,23743.0,,,-0.91861735672298,,0.0106161632350705,0.0219581469723937,-0.0064422246104876,Chemicals,2.0
2020-01-13,1078.5447998046875,1092.8021607756857,1071.7602385095158,1083.5594337958591,12201.0,,,-0.9202343483820288,-0.0047184253456502,0.0046494443180105,0.0132190716357634,-0.0062904770357247,Chemicals,2.0
2020-01-14,1078.151611328125,1082.6746127782376,1064.828303551,1077.659978126425,50716.0,,,-0.9203586907826256,-0.0003645546078695,-0.0004559963520293,0.0041951441732215,-0.0123575456708846,Chemicals,2.0
2020-01-15,1101.012451171875,1105.1421216648853,1078.643142608213,1082.1828773204545,5563.0,,,-0.9131291510700648,0.0212037338752281,-0.0171020535066421,0.0037507936341816,-0.020317035052467,Chemicals,2.0
2020-01-16,1101.7498779296875,1106.174576234626,1075.2016881000566,1092.9987839432845,5685.0,,,-0.9128959463379924,0.0006697714971593,-0.0079429044302208,0.0040160642570281,-0.0240963855421686,Chemicals,2.0
2020-01-17,1115.908935546875,1120.923569615948,1091.9664254119186,1106.174575278896,5865.0,,,-0.9084182687882816,0.0128514265359338,-0.0087232568517863,0.0044937663901898,-0.0214556128840592,Chemicals,2.0
2020-01-20,1126.0364990234375,1140.3430714488698,1099.340915468181,1115.9089283274234,10531.0,,,-0.9052155158340718,0.0090756182282914,-0.0089939986002206,0.0127052475100404,-0.0237075650553142,Chemicals,2.0
2020-01-21,1141.4248046875,1145.5053843540315,1106.1747273805026,1108.3378655029908,6681.0,,,-0.9003490993914676,0.013665903083433,-0.0289874015779495,0.0035749877256685,-0.0308825225825087,Chemicals,2.0
2020-01-22,1142.2113037109375,1160.205004705692,1135.672558911679,1153.3713520375754,4375.0,,,-0.9001003759866104,0.000689050229334,0.0097705637217737,0.0157533907572919,-0.0057246367445451,Chemicals,2.0
2020-01-23,1131.7396240234375,1164.1874151552995,1129.084852760067,1164.1874151552995,2620.0,,,-0.9034119526686324,-0.0091679005920169,0.0286707211120764,0.0286707211120764,-0.0023457438504561,Chemicals,2.0
2020-01-24,1160.2052001953125,1170.726223231694,1132.0838037180222,1132.0838037180222,67932.0,,,-0.8944099643435288,0.0251520540304821,-0.024238295495104,0.0090682433026592,-0.024238295495104,Chemicals,2.0
