Date_Ticker,Close_UBL.NS,High_UBL.NS,Low_UBL.NS,Open_UBL.NS,Volume_UBL.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1245.240478515625,1260.984938962807,1238.324608019762,1242.8861319799882,169874.0,,,-0.7594890263928418,,-0.0018906761997034,0.0126437107681802,-0.0055538433059186,Fast Moving Consumer Goods,8.0
2020-01-13,1268.7838134765625,1271.628644128948,1244.8481745090123,1244.995343632714,376452.0,,,-0.6862963331812435,0.018906657281975,-0.0187490332010669,0.0022421712999243,-0.0188650254781898,Fast Moving Consumer Goods,8.0
2020-01-14,1278.8878173828125,1284.136091503124,1261.2303949888037,1274.9149691923965,424847.0,,,-0.6548845022173647,0.0079635346848918,-0.0031064868524172,0.004103779900767,-0.0138068579229598,Fast Moving Consumer Goods,8.0
2020-01-15,1285.5584716796875,1292.915731151338,1268.440629207806,1271.1382910140778,211818.0,,,-0.6341464396496833,0.0052159807969132,-0.0112170554535481,0.005723006486074,-0.0133154911651086,Fast Moving Consumer Goods,8.0
2020-01-16,1270.9417724609375,1291.7383602738864,1267.9498927198954,1282.615312447149,239520.0,,,-0.6795875627301314,-0.0113699217427676,0.0091849526383951,0.0163631318629808,-0.0023540651553602,Fast Moving Consumer Goods,8.0
2020-01-17,1275.4052734375,1289.5802098521108,1264.3693859962502,1268.8818138005972,581521.0,,,-0.6657112084171484,0.003511963390675,-0.0051148131286306,0.0111140644545135,-0.0086528475858544,Fast Moving Consumer Goods,8.0
2020-01-20,1278.6424560546875,1285.1169394591336,1264.5655917983872,1264.5655917983872,131330.0,,,-0.6556472937439364,0.0025381599751917,-0.0110092263788386,0.0050635604768072,-0.0110092263788386,Fast Moving Consumer Goods,8.0
2020-01-21,1247.6436767578125,1280.4571163684666,1232.0953635163469,1275.6503509531135,384005.0,,,-0.75201784391343,-0.0242435085352344,0.022447654500266,0.0263003293503836,-0.0124621424619169,Fast Moving Consumer Goods,8.0
2020-01-22,1243.9652099609375,1252.646750809342,1238.9622982641488,1248.3305884024137,161744.0,,,-0.7634536448396553,-0.0029483312145932,0.0035092447976203,0.0069789257600516,-0.0040217456699981,Fast Moving Consumer Goods,8.0
2020-01-23,1237.0003662109375,1248.036253696959,1233.1745679330415,1244.3576245349518,90476.0,,,-0.7851062982426789,-0.0055989055756782,0.0059476605868358,0.0089214908802537,-0.0030928028660288,Fast Moving Consumer Goods,8.0
2020-01-24,1250.8319091796875,1255.638674931567,1236.0193206357612,1240.8260863876408,114282.0,,,-0.7421061080472603,0.0111815188956794,-0.0079993344578238,0.0038428550763722,-0.0118421895341961,Fast Moving Consumer Goods,8.0
2020-01-27,1237.24560546875,1261.8188961164212,1232.193597481154,1250.8319851948556,162784.0,,,-0.784343886214379,-0.0108618141344408,0.0109811501176908,0.019861287475223,-0.0040832701003468,Fast Moving Consumer Goods,8.0
2020-01-28,1252.303466796875,1275.7486211151045,1237.9813608975485,1243.3766837857709,776280.0,,,-0.7375312563791895,0.0121704706499402,-0.0071282905843397,0.0187216237436418,-0.0114366096390033,Fast Moving Consumer Goods,8.0
2020-01-29,1249.802001953125,1272.3151637757069,1245.82903469171,1255.54063930525,320076.0,,,-0.745307934967502,-0.0019974909517325,0.0045916371898564,0.018013382749747,-0.0031788773383354,Fast Moving Consumer Goods,8.0
2020-01-30,1232.14453125,1256.0310708686052,1226.700112599545,1255.4425141962129,238333.0,,,-0.8002023600016328,-0.0141282144495934,0.0189084822075031,0.0193861507418877,-0.0044186526112579,Fast Moving Consumer Goods,8.0
2020-01-31,1239.943359375,1266.919975184187,1234.1066485805602,1239.8452865396496,317811.0,,,-0.7759569744048092,0.0063294750958218,-7.909460912780553e-05,0.021756329113924,-0.0047072398511669,Fast Moving Consumer Goods,8.0
