Date_Ticker,Close_BANDHANBNK.NS,High_BANDHANBNK.NS,Low_BANDHANBNK.NS,Open_BANDHANBNK.NS,Volume_BANDHANBNK.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,483.562744140625,488.1807484655514,475.55495492557066,480.46771272438855,2057855.0,,,3.449820211573542,,-0.0064004753338408,0.0095499588851357,-0.0165599796760306,Financial Services,9.0
2020-01-13,505.031494140625,508.8634691542805,483.61188245321176,487.14904402721135,2760791.0,,,3.7893407069062346,0.0443970307062296,-0.0354085840603721,0.0075875961363083,-0.0424124276127797,Financial Services,9.0
2020-01-14,509.5021667480469,515.83963714125,489.5072638488406,512.0076615629795,8854312.0,,,3.8600427728458993,0.0088522649761264,0.0049175351518604,0.0124385543513048,-0.0392439997396398,Financial Services,9.0
2020-01-15,483.7101135253906,516.822112580173,482.43280851115,510.435527538783,3792641.0,,,3.452150804948215,-0.0506220677868297,0.0552508894606553,0.0684542210900955,-0.0026406415299677,Financial Services,9.0
2020-01-16,467.5471801757813,489.3106919008586,465.5329314248914,486.8543129254528,3387070.0,,,3.196539875719048,-0.0334145036410551,0.0412945122295735,0.0465482685980378,-0.0043081187018014,Financial Services,9.0
2020-01-17,472.6073303222656,476.4392756521837,466.8593973348405,468.6771238330992,2620773.0,,,3.2765643151574024,0.0108227583461885,-0.0083160083160083,0.0081080954188863,-0.0121621748513838,Financial Services,9.0
2020-01-20,475.2602233886719,478.0604714751763,470.0035663042819,473.5898736659364,1033438.0,,,3.3185188568969504,0.0056133134130553,-0.0035146002979707,0.0058920312466679,-0.0110605870756641,Financial Services,9.0
2020-01-21,468.4314575195313,475.456695195852,467.6945438475026,472.6073016610269,1253858.0,,,3.210524401215944,-0.0143684775899202,0.0089145254326168,0.0149973652784149,-0.0015731515469322,Financial Services,9.0
2020-01-22,467.2032775878906,478.99389658064496,465.2381744224316,471.4282373995897,2611708.0,,,3.1911011810122387,-0.0026218989180277,0.0090430868411539,0.0252365930599369,-0.0042060988433227,Financial Services,9.0
2020-01-23,466.8102722167969,471.9195225573391,465.72945945732414,468.4805919495318,1265094.0,,,3.184885943596825,-0.0008411871019458,0.0035781554780336,0.0109450255159966,-0.0023153148587329,Financial Services,9.0
2020-01-24,473.4425048828125,476.4392753347671,462.0940156618476,468.1858477100353,1325867.0,,,3.2897722979456945,0.0142075551048188,-0.0111030528914557,0.0063297452616686,-0.0239701528779592,Financial Services,9.0
2020-01-27,466.3190002441406,475.9479940310165,465.6312021228943,470.05268436923234,943592.0,,,3.1771166555153427,-0.0150461873727098,0.008006716696375,0.0206489415653974,-0.0014749519553914,Financial Services,9.0
2020-01-28,454.2335815429688,468.67710170268685,451.9737249124443,466.7119985508936,1204858.0,,,2.985990141688275,-0.0259166336667486,0.0274713660877679,0.0317975613134005,-0.0049750981044774,Financial Services,9.0
