Date_Ticker,Close_KEC.NS,High_KEC.NS,Low_KEC.NS,Open_KEC.NS,Volume_KEC.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,305.3002014160156,308.0389426403957,298.9577931209943,298.9577931209943,399239.0,,,-0.9394080783064692,,-0.0207743338052334,0.0089706499100803,-0.0207743338052334,Construction,3.0
2020-01-13,309.432373046875,320.0030441758055,302.9938616286616,302.9938616286616,442626.0,,,-0.9203660136130896,0.0135347818694318,-0.020807491326184,0.0341614906832297,-0.020807491326184,Construction,3.0
2020-01-14,316.2552490234375,317.12011620232994,309.52845867975174,310.77770801298766,664464.0,,,-0.8889245205322248,0.0220496514614161,-0.0173200003078649,0.0027347124879761,-0.0212701302648964,Construction,3.0
2020-01-15,312.60357666015625,317.21625095532454,308.95190183715266,317.12014807545995,160115.0,,,-0.905752326246134,-0.0115465984345152,0.0144482397276402,0.0147556670478627,-0.0116814876592837,Construction,3.0
2020-01-16,317.8408508300781,320.4835185240546,314.0450073208657,314.0450073208657,278125.0,,,-0.8816176768487471,0.0167537244003305,-0.0119425917068216,0.0083144368858654,-0.0119425917068216,Construction,3.0
2020-01-17,331.3905639648437,336.05127508396873,313.4204103277365,317.1201512914329,750466.0,,,-0.8191772612178783,0.0426304960466188,-0.0430622178938226,0.0140641032845443,-0.0542265097174392,Construction,3.0
2020-01-20,326.585693359375,339.2224442707368,323.9430255923933,334.41759378531555,452578.0,,,-0.8413192884825169,-0.0144991171383458,0.0239811497722968,0.0386935226138527,-0.0080918050628557,Construction,3.0
2020-01-21,324.75982666015625,329.99709561957724,320.9639833894801,325.6246938039941,554754.0,,,-0.8497333319719884,-0.005590773681594,0.0026630976889356,0.0161265911898071,-0.0116881552429459,Construction,3.0
2020-01-22,317.7928466796875,331.1983629439127,315.6787005768901,326.7778943003706,178426.0,,,-0.8818388917979187,-0.0214527149251108,0.0282732846713171,0.0421831907303345,-0.0066525918531081,Construction,3.0
