Date_Ticker,Close_RELIANCE.NS,High_RELIANCE.NS,Low_RELIANCE.NS,Open_RELIANCE.NS,Volume_RELIANCE.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,682.8636474609375,687.4082650265466,679.3338211019901,684.7388345789304,12478359.0,,,-1.786964876553838,,0.0027460637639231,0.0066552342953196,-0.0051691525417587,Oil Gas & Consumable Fuels,15.0
2020-01-13,681.1209716796875,687.7393533534214,678.7824803560567,681.7166395789408,18282382.0,,,-1.7944471496889582,-0.0025520113535545,0.0008745405354122,0.0097168960418478,-0.0034332980789946,Oil Gas & Consumable Fuels,15.0
2020-01-14,674.8113403320312,683.9005760917773,671.4800893018856,679.4883222914915,15816535.0,,,-1.8215378946416525,-0.0092635986997967,0.0069307992914864,0.0134692990714617,-0.0049365664609407,Oil Gas & Consumable Fuels,15.0
2020-01-15,672.362548828125,679.4442336011267,669.8916936500024,677.6572889872668,15817859.0,,,-1.8320519139907048,-0.0036288535143783,0.0078748290908976,0.0105325390079273,-0.0036748851976201,Oil Gas & Consumable Fuels,15.0
2020-01-16,678.5617065429688,680.9664089866453,674.1935741558748,674.634846656134,12847975.0,,,-1.8054354935818109,0.0092199628394656,-0.0057870343241748,0.0035438227953175,-0.006437339957405,Oil Gas & Consumable Fuels,15.0
2020-01-17,697.5786743164062,699.3214976451743,685.3125817015639,685.4449457933554,29463471.0,,,-1.7237851093774836,0.0280254066654043,-0.0173940645977191,0.0024983896339376,-0.0175838125023855,Oil Gas & Consumable Fuels,15.0
2020-01-20,676.113037109375,709.9330357720273,673.4877274984045,709.9330357720273,32545850.0,,,-1.8159489888153455,-0.0307716362287974,0.0500212195393316,0.0500212195393316,-0.0038829448137763,Oil Gas & Consumable Fuels,15.0
2020-01-21,676.796875,682.0695248846007,671.5462563422934,674.458383969937,18922720.0,,,-1.81301289368345,0.0010114253876077,-0.0034552331969071,0.0077905943117728,-0.0077580421122757,Oil Gas & Consumable Fuels,15.0
2020-01-22,676.5541381835938,682.4665769049817,675.5613781703272,681.2532101006582,10322817.0,,,-1.814055097391014,-0.0003586553445688,0.0069455962972608,0.0087390474578452,-0.001467377046768,Oil Gas & Consumable Fuels,15.0
2020-01-23,673.686279296875,680.3487819811503,670.9727270506623,677.9440792829002,11247739.0,,,-1.8263684053133973,-0.0042389200285114,0.0063201524461342,0.0098896220526101,-0.0040279167464191,Oil Gas & Consumable Fuels,15.0
2020-01-24,671.3477783203125,677.8779168174959,670.0240785127241,673.7524220765123,14628445.0,,,-1.836408886291928,-0.00347120172761,0.003581815318159,0.009726908627778,-0.0019717050541229,Oil Gas & Consumable Fuels,15.0
