Date_Ticker,Close_TITAN.NS,High_TITAN.NS,Low_TITAN.NS,Open_TITAN.NS,Volume_TITAN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1127.3607177734375,1143.6255633719177,1124.1369880752843,1140.011179738307,1517311.0,,,-1.4009033784071738,,0.0112213081096654,0.0144273659194045,-0.0028595370118271,Consumer Durables,5.0
2020-01-13,1132.147216796875,1135.5662732063277,1121.9389389303988,1128.2886151193825,1135936.0,,,-1.3954407683964445,0.0042457564362282,-0.0034082154866834,0.0030199751045858,-0.0090167406809142,Consumer Durables,5.0
2020-01-14,1140.108642578125,1141.622843676858,1130.388802323146,1135.126613305487,1324743.0,,,-1.3863547612836502,0.0070321471122588,-0.004369784673654,0.0013281200073256,-0.0085253631908266,Consumer Durables,5.0
2020-01-15,1157.4481201171875,1163.9443503702907,1143.5276778236275,1146.360633788952,2665214.0,,,-1.36656601733491,0.0152086186276535,-0.0095792512299497,0.005612545513008,-0.0120268390881749,Consumer Durables,5.0
2020-01-16,1165.3118896484375,1167.8517357387054,1146.9466285393632,1157.4480138670012,1644541.0,,,-1.3575914607846769,0.0067940578887059,-0.0067483013357125,0.0021795419001811,-0.015759953427245,Consumer Durables,5.0
2020-01-17,1161.258056640625,1169.1707059846942,1156.6179087802311,1167.1681874038045,1034774.0,,,-1.3622179129497916,-0.0034787536657121,0.0050894206756046,0.0068138595885909,-0.0039957939011566,Consumer Durables,5.0
2020-01-20,1160.37890625,1167.36357407824,1151.8312650172095,1162.4792076595024,1139858.0,,,-1.363221246639248,-0.0007570672044836,0.0018100134345684,0.006019299205302,-0.0073662500987836,Consumer Durables,5.0
2020-01-21,1148.998291015625,1156.5202867334056,1134.149865029376,1156.0806222141289,925998.0,,,-1.3762094165737129,-0.0098076715916473,0.0061639179569568,0.0065465682382623,-0.0129229313066464,Consumer Durables,5.0
2020-01-22,1150.414794921875,1158.5227712654464,1144.8954372664955,1154.4688427172716,902471.0,,,-1.374592826163764,0.0012328163734672,0.0035239878809729,0.0070478721060971,-0.0047977109471667,Consumer Durables,5.0
