Date_Ticker,Close_ACI.NS,High_ACI.NS,Low_ACI.NS,Open_ACI.NS,Volume_ACI.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,Chemicals,2.0
2020-01-13,,,,,,,,,,,,,Chemicals,2.0
2020-01-14,,,,,,,,,,,,,Chemicals,2.0
2020-01-15,,,,,,,,,,,,,Chemicals,2.0
2020-01-16,,,,,,,,,,,,,Chemicals,2.0
2020-01-17,,,,,,,,,,,,,Chemicals,2.0
2020-01-20,,,,,,,,,,,,,Chemicals,2.0
2020-01-21,,,,,,,,,,,,,Chemicals,2.0
2020-01-22,,,,,,,,,,,,,Chemicals,2.0
2020-01-23,,,,,,,,,,,,,Chemicals,2.0
2020-01-24,,,,,,,,,,,,,Chemicals,2.0
2020-01-27,,,,,,,,,,,,,Chemicals,2.0
2020-01-28,,,,,,,,,,,,,Chemicals,2.0
2020-01-29,,,,,,,,,,,,,Chemicals,2.0
2020-01-30,,,,,,,,,,,,,Chemicals,2.0
2020-01-31,,,,,,,,,,,,,Chemicals,2.0
2020-02-03,,,,,,,,,,,,,Chemicals,2.0
2020-02-04,,,,,,,,,,,,,Chemicals,2.0
2020-02-05,,,,,,,,,,,,,Chemicals,2.0
2020-02-06,,,,,,,,,,,,,Chemicals,2.0
2020-02-07,,,,,,,,,,,,,Chemicals,2.0
2020-02-10,,,,,,,,,,,,,Chemicals,2.0
2020-02-11,,,,,,,,,,,,,Chemicals,2.0
2020-02-12,,,,,,,,,,,,,Chemicals,2.0
2020-02-13,,,,,,,,,,,,,Chemicals,2.0
2020-02-14,,,,,,,,,,,,,Chemicals,2.0
2020-02-17,,,,,,,,,,,,,Chemicals,2.0
2020-02-18,,,,,,,,,,,,,Chemicals,2.0
2020-02-19,,,,,,,,,,,,,Chemicals,2.0
2020-02-20,,,,,,,,,,,,,Chemicals,2.0
2020-02-24,,,,,,,,,,,,,Chemicals,2.0
2020-02-25,,,,,,,,,,,,,Chemicals,2.0
2020-02-26,,,,,,,,,,,,,Chemicals,2.0
2020-02-27,,,,,,,,,,,,,Chemicals,2.0
2020-02-28,,,,,,,,,,,,,Chemicals,2.0
2020-03-02,,,,,,,,,,,,,Chemicals,2.0
2020-03-03,,,,,,,,,,,,,Chemicals,2.0
2020-03-04,,,,,,,,,,,,,Chemicals,2.0
2020-03-05,,,,,,,,,,,,,Chemicals,2.0
2020-03-06,,,,,,,,,,,,,Chemicals,2.0
2020-03-09,,,,,,,,,,,,,Chemicals,2.0
2020-03-11,,,,,,,,,,,,,Chemicals,2.0
