Date_Ticker,Close_CERA.NS,High_CERA.NS,Low_CERA.NS,Open_CERA.NS,Volume_CERA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,2597.643310546875,2630.623631593647,2581.908379156728,2627.457140185247,3183.0,,,-1.275705449642777,,0.0114772607606761,0.0126962469838973,-0.0060573872195081,Consumer Durables,5.0
2020-01-13,2588.43603515625,2650.1095889731178,2581.908239256898,2611.1373891352778,13471.0,,,-1.2799673715935191,-0.0035444725429553,0.0087702974578847,0.0238265705542708,-0.002521907364405,Consumer Durables,5.0
2020-01-14,2599.202392578125,2626.7265112512887,2557.550850161214,2573.139731533625,2110.0,,,-1.2749837718770878,0.0041594064043483,-0.0100271764595634,0.0105894480367352,-0.0160247399493954,Consumer Durables,5.0
2020-01-15,2583.95458984375,2618.4936572497104,2581.9084540350814,2618.4936572497104,3529.0,,,-1.2820417713847798,-0.0058663391423131,0.0133667470557401,0.0133667470557401,-0.0007918621390294,Consumer Durables,5.0
2020-01-16,2586.487548828125,2620.783038751656,2581.908362701727,2601.345700726692,1983.0,,,-1.2808692992865924,0.0009802645117413,0.0057445286776263,0.0132594838660904,-0.001770426510838,Consumer Durables,5.0
2020-01-17,2593.11279296875,2625.752010915191,2581.908285315494,2618.883112997752,2799.0,,,-1.2778025643151691,0.0025614830984308,0.0099379865383713,0.012586887093744,-0.0043208716888971,Consumer Durables,5.0
2020-01-20,2591.261474609375,2619.613605216629,2581.9080521790443,2619.613605216629,1591.0,,,-1.2786595142834154,-0.0007139366881359,0.0109414394822999,0.0109414394822999,-0.0036096019340312,Consumer Durables,5.0
2020-01-21,2583.07763671875,2615.034891611488,2581.9085181708056,2615.034891611488,1788.0,,,-1.2824477010018105,-0.0031582447278342,0.0123717748311011,0.0123717748311011,-0.0004526068172807,Consumer Durables,5.0
2020-01-22,2621.708740234375,2630.623535959263,2581.9082852933507,2583.0774037358456,8423.0,,,-1.264565891121086,0.0149554558355038,-0.0147351747757745,0.0034003760936811,-0.015181112352498,Consumer Durables,5.0
