Date_Ticker,Close_NEWGEN.NS,High_NEWGEN.NS,Low_NEWGEN.NS,Open_NEWGEN.NS,Volume_NEWGEN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,96.0606689453125,97.57286540528364,95.052533088542,95.07653771850028,47824.0,,,-0.8117830475205167,,-0.0102448924998896,0.0157420979530347,-0.0104947828058997,Information Technology,12.0
2020-01-13,95.70062255859376,96.49272407992224,95.5325974721618,96.49272407992224,16692.0,,,-0.8127633479900322,-0.0037481145058829,0.0082768690542582,0.0082768690542582,-0.0017557366079732,Information Technology,12.0
2020-01-14,95.9646453857422,97.4528444627845,95.05252809670608,96.03665927183506,23348.0,,,-0.8120444914455319,0.002758841270722,0.000750421009773,0.0155077848832796,-0.0095047221335498,Information Technology,12.0
2020-01-15,97.88489532470705,101.29334738479017,95.2205501043538,97.4048320669592,69554.0,,,-0.8068162153505823,0.0200099727482569,-0.0049043650315541,0.0348210216579023,-0.0272191660573878,Information Technology,12.0
2020-01-16,96.75675964355467,98.89303986492015,96.30070097329222,98.41297656460502,22578.0,,,-0.8098877971764399,-0.0115251252750493,0.0171173252096465,0.0220788731374985,-0.0047134553900166,Information Technology,12.0
2020-01-17,98.77301788330078,99.6371332350445,96.01265407854268,98.14893416675342,58116.0,,,-0.8043981187016719,0.0208384225264865,-0.0063183623414717,0.0087484959988228,-0.0279465370595382,Information Technology,12.0
2020-01-20,98.17294311523438,100.33322792706105,96.73275324068328,98.89303805250994,33554.0,,,-0.8060319458933318,-0.0060752904075016,0.0073349633251833,0.02200488997555,-0.0146699266503667,Information Technology,12.0
2020-01-21,114.87914276123048,116.9914182335941,94.38044245715965,97.04478776372297,989384.0,,,-0.7605458753176946,0.1701711196168024,-0.1552444992958831,0.0183869362322268,-0.1784370932039088,Information Technology,12.0
2020-01-22,111.23065185546876,117.61549444766445,107.53416635215034,114.11103131132992,251136.0,,,-0.7704796435205559,-0.0317593848462544,0.0258955549375354,0.0574018266160305,-0.0332326156653434,Information Technology,12.0
2020-01-23,115.33521270751952,119.94382351269108,109.45443703356692,111.32668105275134,276996.0,,,-0.7593041309231636,0.0369013467383449,-0.0347554884641648,0.0399584020957985,-0.0509885535900103,Information Technology,12.0
2020-01-24,115.4072036743164,118.33559246248808,114.01502316365485,115.69524455764554,61596.0,,,-0.759108120683497,0.0006241889628229,0.0024958657185905,0.0253744020731643,-0.0120632028706835,Information Technology,12.0
2020-01-27,112.55083465576172,117.47148328121784,111.37468108349444,111.6147127237606,36108.0,,,-0.7668851738446676,-0.0247503529035801,-0.0083173255432913,0.0437193437126075,-0.0104499764561014,Information Technology,12.0
2020-01-28,110.24652862548828,113.72698738350188,106.7180679348885,112.59884307773908,25700.0,,,-0.773159121776686,-0.0204734690535275,0.0213368573285577,0.0315697809391972,-0.0320051863273274,Information Technology,12.0
