Date_Ticker,Close_APOLLOHOSP.NS,High_APOLLOHOSP.NS,Low_APOLLOHOSP.NS,Open_APOLLOHOSP.NS,Volume_APOLLOHOSP.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1464.9007568359375,1480.7732018412332,1455.1406430876566,1463.027584242603,364434.0,,,-1.6738801799364411,,-0.0012787027275349,0.0108351674550151,-0.0066626450308906,Healthcare,11.0
2020-01-13,1462.485107421875,1482.7447328606595,1458.5416373876712,1472.195998657226,374704.0,,,-1.675333631523036,-0.0016490191590043,0.006639993245791,0.0138528764060366,-0.0026964172244841,Healthcare,11.0
2020-01-14,1472.1962890625,1480.7732899407297,1462.9291085850468,1464.1121016906031,308514.0,,,-1.669490593091585,0.0066401918155216,-0.0054912428675152,0.0058259900136627,-0.0062947995089395,Healthcare,11.0
2020-01-15,1490.58251953125,1507.3916108114602,1466.9710378596812,1467.2668462876404,932167.0,,,-1.658427938183659,0.0124889803114898,-0.0156419875706993,0.011276860596417,-0.0158404391318059,Healthcare,11.0
2020-01-16,1569.0574951171875,1584.2891001196658,1496.5962326039355,1498.2228177311697,2305288.0,,,-1.6112109963917745,0.0526471862897036,-0.0451447302641561,0.0097074868511053,-0.0461813940781309,Healthcare,11.0
2020-01-17,1595.7252197265625,1601.0489286568925,1557.6707557129864,1573.0010445164544,893254.0,,,-1.5951655195859362,0.0169960149276641,-0.0142406568055633,0.0033362316171465,-0.0238477549537613,Healthcare,11.0
2020-01-20,1606.520751953125,1635.5545074586078,1593.6551303838694,1597.1056673194362,1047368.0,,,-1.5886700474567883,0.0067652827022514,-0.0058605434273055,0.0180724434901853,-0.0080083755865676,Healthcare,11.0
2020-01-21,1603.2178955078125,1619.2875860523666,1598.0914319579217,1606.8163364347406,317357.0,,,-1.5906573151094492,-0.0020559064931449,0.0022445114522553,0.0100233976863537,-0.0031976087369377,Healthcare,11.0
2020-01-22,1611.351318359375,1640.483755301016,1603.513718748259,1620.4213728674208,736367.0,,,-1.5857635849682978,0.0050731861678641,0.0056288497763981,0.0180795066908827,-0.004863991807259,Healthcare,11.0
