Date_Ticker,Close_MAPMYINDIA.NS,High_MAPMYINDIA.NS,Low_MAPMYINDIA.NS,Open_MAPMYINDIA.NS,Volume_MAPMYINDIA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2021-12-21,1384.9139404296875,1580.033097770729,1274.560007940698,1555.1898100699314,13396843.0,,,-0.5736219421658523,,0.1229505059263202,0.1408890124107662,-0.0796828808400547,Information Technology,12.0
2021-12-22,1483.9393310546875,1495.5659413457604,1382.8767624344982,1385.2617423494949,2966238.0,,,-0.3204581924950248,0.0715029199534781,-0.0664970505465739,0.0078349633625582,-0.0681042455747571,Information Technology,12.0
2021-12-23,1448.9598388671875,1504.5094525588847,1433.9047827658303,1495.5658692873983,1123807.0,,,-0.409885150044771,-0.0235720500531776,0.0321651637057436,0.038337579967107,-0.0103902507837121,Information Technology,12.0
2021-12-24,1421.7813720703125,1443.8918983876736,1381.3365477331863,1431.967120149097,837499.0,,,-0.479368365623866,-0.0187572257476255,0.0071640747859513,0.0155512842914555,-0.0284465847785251,Information Technology,12.0
2021-12-27,1442.947998046875,1460.5867336992735,1393.807898333596,1410.1051206058514,461438.0,,,-0.4252547452050472,0.0148873985778424,-0.0227609570722427,0.0122240965552977,-0.0340553504213549,Information Technology,12.0
2021-12-28,1607.0626220703125,1630.2166158216476,1445.8794123867706,1450.8480701612957,2807900.0,,,-0.0056868613384796,0.1137356469156043,-0.0972050185000084,0.0144076487333808,-0.1002967821352824,Information Technology,12.0
2021-12-29,1664.301513671875,1765.8608213346365,1611.832443559246,1619.7822953153952,4256134.0,,,0.1406474508353441,0.035617088478994,-0.0267494909971324,0.0610221806736781,-0.0315261806118705,Information Technology,12.0
2021-12-30,1629.4215087890625,1724.1241702352709,1614.962788098401,1653.5692330095048,1432500.0,,,0.0514748379434716,-0.0209577438921258,0.0148198143268578,0.0581204193852753,-0.0088735300305485,Information Technology,12.0
2021-12-31,1665.742431640625,1707.1809867871332,1639.6569796909955,1640.153845442417,928755.0,,,0.1443312353034937,0.0222906857775279,-0.0153616703952275,0.024876928365026,-0.0156599552572707,Information Technology,12.0
2022-01-03,1809.08837890625,1835.4222663223527,1670.711253521633,1679.3070561279146,2137954.0,,,0.5108028773827376,0.0860552895470403,-0.0717385199593174,0.0145564405383136,-0.0764899752815161,Information Technology,12.0
2022-01-04,1749.2159423828125,1864.6378849553057,1734.0615364056289,1823.4973749595008,1862096.0,,,0.3577357656396271,-0.0330953629582406,0.0424655588694786,0.0659849591899233,-0.0086635421104956,Information Technology,12.0
2022-01-05,1755.2777099609375,1795.6231868799805,1735.105032153977,1759.1035521911265,671339.0,,,0.3732330012478424,0.0034654198096705,0.0021796221808536,0.0229852385694231,-0.0114925847303156,Information Technology,12.0
2022-01-06,1716.074951171875,1752.9423655514177,1702.262059064387,1752.9423655514177,513999.0,,,0.2730090349515211,-0.0223342201445348,0.0214835688583221,0.0214835688583221,-0.0080491193569695,Information Technology,12.0
