Date_Ticker,Close_AIAENG.NS,High_AIAENG.NS,Low_AIAENG.NS,Open_AIAENG.NS,Volume_AIAENG.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1586.5968017578125,1624.9953895461738,1577.5902539417093,1610.5172451228132,7608.0,,,-1.1111066590522831,,0.0150765735431326,0.0242018562912889,-0.0056766456393487,Capital Goods,1.0
2020-01-13,1603.1085205078125,1617.1993820139514,1582.8680833125632,1601.7043285772631,15356.0,,,-1.0926971282743967,0.0104070036771197,-0.0008759182005373,0.0087897115671715,-0.0126257436326505,Capital Goods,1.0
2020-01-14,1611.146728515625,1617.296304593106,1598.4601763567048,1610.614038732947,10623.0,,,-1.0837350305085975,0.0050141384098353,-0.0003306277282199,0.003816893873562,-0.0078742376062846,Capital Goods,1.0
2020-01-15,1591.051513671875,1610.275041113004,1580.6891255317605,1610.275041113004,31187.0,,,-1.10613993467124,-0.0124726162354337,0.0120822784654939,0.0120822784654939,-0.0065129180614649,Capital Goods,1.0
2020-01-16,1593.3758544921875,1613.4225337650198,1576.621779693549,1591.0515726967285,21548.0,,,-1.1035484404411289,0.0014608834474179,-0.0014587153363132,0.0125812621148455,-0.0105148290978578,Capital Goods,1.0
2020-01-17,1615.795166015625,1622.9616522912495,1589.5020902574847,1600.6875116781273,44600.0,,,-1.0785523142498596,0.0140703221152943,-0.0093499811456618,0.0044352690405036,-0.0162725302755893,Capital Goods,1.0
2020-01-20,1621.5574951171875,1646.3495589495567,1600.348615390672,1622.138536023828,10747.0,,,-1.0721276787195624,0.0035662497467248,0.0003583227288517,0.0152890439636106,-0.0130793263824313,Capital Goods,1.0
2020-01-21,1733.364013671875,1743.193712974727,1610.5173025983172,1619.1848018284525,190310.0,,,-0.9474704231264188,0.0689500797174061,-0.0658714562797174,0.0056708799913465,-0.0708718480968837,Capital Goods,1.0
2020-01-22,1682.95654296875,1829.3847510315004,1671.044673321786,1743.1935160702492,140861.0,,,-1.003671591363044,-0.0290807183635618,0.0357923520682481,0.0870065294760671,-0.0070779425034654,Capital Goods,1.0
2020-01-23,1712.3001708984375,1734.4774890700432,1664.265530411429,1691.3818730657904,105004.0,,,-0.9709552866775352,0.0174357609245958,-0.0122164899520341,0.0129517701093082,-0.0280526985299575,Capital Goods,1.0
2020-01-24,1690.17138671875,1752.8779315060522,1680.5837986984288,1720.8709142541086,9569.0,,,-0.9956274931026334,-0.0129234257846722,0.0181635589009454,0.0371007019051712,-0.0056725537396147,Capital Goods,1.0
2020-01-27,1678.6954345703125,1723.970045428063,1667.7520054073832,1689.9293250647024,28595.0,,,-1.0084224599671343,-0.0067898156592962,0.006692036127009,0.0269701161541189,-0.006519008116401,Capital Goods,1.0
2020-01-28,1674.33740234375,1689.9292763212477,1644.5093769988948,1675.402663630807,23443.0,,,-1.0132813925604434,-0.002596082729967,0.0006362285675312,0.0093122652314114,-0.0178148235254744,Capital Goods,1.0
2020-01-29,1751.522216796875,1778.0090522023118,1674.3375230892796,1674.3375230892796,26653.0,,,-0.9272251655392402,0.0460987220049442,-0.0440672079220029,0.0151221806674397,-0.0440672079220029,Capital Goods,1.0
2020-01-30,1743.3389892578125,1760.3350568969372,1702.5191798182511,1756.7518726907324,19008.0,,,-0.9363489509866404,-0.0046720660809131,0.007693789627587,0.0097491467487687,-0.0234147286850616,Capital Goods,1.0
2020-01-31,1720.1446533203125,1752.0548514242291,1671.9163681592431,1751.9095616478462,25429.0,,,-0.962209180789431,-0.0133045472397622,0.0184664169180304,0.0185508806147913,-0.0280373427129959,Capital Goods,1.0
2020-02-03,1713.4141845703125,1790.647351855593,1705.424546575283,1728.6671298335496,18023.0,,,-0.9697132313052338,-0.0039127341627975,0.0089020771513352,0.0450755970043803,-0.0046629927935566,Capital Goods,1.0
2020-02-04,1719.612060546875,1762.174989646905,1709.2981416012856,1721.9846933996228,9513.0,,,-0.962802988327164,0.0036172666436263,0.0013797489021989,0.0247514716118553,-0.0059978172881093,Capital Goods,1.0
2020-02-05,1719.41845703125,1746.5348039409998,1699.6138866646784,1728.182895016022,24961.0,,,-0.9630188441041166,-0.0001125855767512,0.0050973269182561,0.0157706501281653,-0.0115181794667751,Capital Goods,1.0
2020-02-06,1760.1898193359375,1785.8050340612128,1711.42872505177,1718.0141705122514,22162.0,1676.1048706054687,,-0.9175613323472316,0.0237122976887682,-0.0239608526082701,0.014552529757807,-0.0277021794743498,Capital Goods,1.0
2020-02-07,1862.1181640625,1898.144117370336,1731.5722866623269,1768.9540808404315,61170.0,1689.8809387207032,,-0.8039176210053903,0.0579075867880071,-0.0500312413143623,0.0193467600515961,-0.0701061188917071,Capital Goods,1.0
2020-02-10,1858.2445068359373,1927.1489845447716,1821.637392334407,1882.649171025033,29005.0,1702.637738037109,,-0.8082365058540911,-0.0020802424364474,0.0131331824737368,0.0370804151204831,-0.0196998373286527,Capital Goods,1.0
2020-02-11,1828.0289306640625,1907.1989704048176,1811.5170850494696,1867.4445443158745,25888.0,1713.481848144531,,-0.8419249781403396,-0.0162602800980822,0.0215618106424024,0.0433089643236637,-0.0090325953477085,Capital Goods,1.0
2020-02-12,1766.9202880859375,1843.8145133595608,1735.736540757375,1828.4162805734447,72867.0,1722.2752868652344,,-0.910057281831429,-0.0334287064898509,0.0348040559057276,0.0435187856476089,-0.0176486441062618,Capital Goods,1.0
2020-02-13,1780.0911865234375,1806.1422702581367,1723.921614579753,1743.435722269282,35626.0,1731.6110534667969,,-0.8953725561630261,0.0074541554173718,-0.0205919025562643,0.0146346905888443,-0.0315543228172401,Capital Goods,1.0
2020-02-14,1814.90673828125,1830.3533235393088,1782.124918838262,1803.4306189006245,24894.0,1741.566632080078,,-0.856555399612649,0.0195582968004061,-0.0063232557015538,0.0085109526193545,-0.0180625366315146,Capital Goods,1.0
2020-02-17,1767.0172119140625,1827.2058364509344,1752.9264679936657,1814.9066845209531,8037.0,1748.839617919922,,-0.9099492178422104,-0.0263867698306854,0.0271018710423405,0.0340622740576899,-0.0079743105077813,Capital Goods,1.0
2020-02-18,1747.9871826171875,1770.4066108826546,1714.1886931178751,1755.7831783797676,111837.0,1749.5707763671876,,-0.9311665069293869,-0.0107695777769257,0.0044599845125337,0.0128258539241115,-0.0193356620891848,Capital Goods,1.0
2020-02-19,1760.238037109375,1786.19229876062,1724.308905793699,1757.8169350231722,11825.0,1753.4348510742188,,-0.9175075725541066,0.0070085493841235,-0.00137544015932,0.0147447453719762,-0.0204115185322764,Capital Goods,1.0
2020-02-20,1830.353271484375,1839.069239443824,1758.7371153713848,1770.890977539666,27981.0,1759.3375061035156,,-0.8393334839102287,0.0398328140267561,-0.0324867854042659,0.0047619047619047,-0.0391269582919974,Capital Goods,1.0
2020-02-24,1757.526611328125,1859.4065478061848,1735.4461112857728,1840.0377295998708,40844.0,1762.7052673339845,,-0.920530642237381,-0.0397883082412769,0.0469472938503012,0.0579677916803045,-0.0125633944317158,Capital Goods,1.0
2020-02-25,1706.82861328125,1795.4894247745012,1694.7715713890923,1773.360573900226,46916.0,1764.1119262695313,,-0.9770557302401772,-0.0288462192948325,0.0389798718519682,0.0519447651646802,-0.0070640026762728,Capital Goods,1.0
2020-02-26,1689.5904541015625,1716.9489097576757,1677.339652969496,1704.6496392930464,58662.0,1764.874578857422,,-0.9962751965342336,-0.0100995255443652,0.0089129203795672,0.0161923592724493,-0.0072507518625754,Capital Goods,1.0
2020-02-27,1779.219482421875,1898.047245653547,1674.3374092923534,1690.4135037595822,152677.0,1766.2594421386718,,-0.8963444515622816,0.053047783326861,-0.0499128857005376,0.0667864557496433,-0.0589483614392284,Capital Goods,1.0
2020-02-28,1732.2017822265625,1766.4846125980268,1685.329220570845,1732.2017822265625,33646.0,1765.7025817871097,,-0.9487662382918456,-0.0264260259399318,0.0,0.019791476214392,-0.0270595274388111,Capital Goods,1.0
2020-03-02,1682.2303466796875,1757.1392281672306,1665.7668510464744,1723.8248368893867,261838.0,1763.806866455078,,-1.0044812546777298,-0.028848507177173,0.0247257994672349,0.0445295031298151,-0.0097867070735634,Capital Goods,1.0
2020-03-03,1734.2840576171875,1791.6157131508603,1676.3712429535888,1682.2303578432095,91970.0,1764.850360107422,,-0.9464446318332964,0.0309432718534898,-0.0300145178325036,0.0330578230722153,-0.0333929233848622,Capital Goods,1.0
2020-03-04,1728.473388671875,1786.7734843426772,1644.461139475817,1743.1936432611485,139914.0,1765.293426513672,,-0.9529231632574608,-0.0033504712909003,0.0085163327857678,0.0337292411054119,-0.0486048843717584,Capital Goods,1.0
2020-03-05,1727.45654296875,1776.9438518245151,1707.4582137261225,1752.7812974314631,26194.0,1765.695330810547,,-0.9540568824390596,-0.0005882912110705,0.0146601398256831,0.0286474985765592,-0.0115767480947792,Capital Goods,1.0
