Date_Ticker,Close_ITI.NS,High_ITI.NS,Low_ITI.NS,Open_ITI.NS,Volume_ITI.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,98.6500015258789,102.0,97.9000015258789,102.0,1525671.0,,,-0.6995320762586277,,0.033958422932637,0.033958422932637,-0.0076026354627399,Telecommunication,19.0
2020-01-13,98.3499984741211,101.25,97.5,98.8499984741211,996258.0,,,-0.7031091473701071,-0.0030410851202988,0.0050838841663181,0.0294865436794284,-0.0086425875679576,Telecommunication,19.0
2020-01-14,97.3499984741211,98.9499969482422,97.0,98.3000030517578,637329.0,,,-0.7150325964501089,-0.0101677683326363,0.0097586501543629,0.0164355264427296,-0.003595259163914,Telecommunication,19.0
2020-01-15,99.5500030517578,100.8000030517578,98.5999984741211,98.8000030517578,1359355.0,,,-0.6888009538928866,0.0225989174331785,-0.0075339023305711,0.0125565038842851,-0.0095429889353473,Telecommunication,19.0
2020-01-16,103.5,104.5,99.8499984741211,100.6999969482422,1980269.0,,,-0.6417033664143584,0.0396785216188141,-0.027053169582201,0.0096618357487923,-0.0352657152258831,Telecommunication,19.0
2020-01-17,103.1999969482422,105.5,102.4000015258789,104.8499984741211,1791576.0,,,-0.6452804375258379,-0.0028985802102204,0.015988387351469,0.0222868519357741,-0.0077518938567847,Telecommunication,19.0
2020-01-20,102.9000015258789,104.9000015258789,101.4000015258789,103.5,1606464.0,,,-0.6488574176686202,-0.0029069324732028,0.0058308888748674,0.0194363456787414,-0.014577259259056,Telecommunication,19.0
2020-01-21,99.3499984741211,102.0,98.5999984741211,101.1500015258789,808063.0,,,-0.6911856982901053,-0.0344995432372758,0.0181177964710959,0.0266733927184628,-0.0075490690641063,Telecommunication,19.0
2020-01-22,99.75,103.1500015258789,99.0,100.1999969482422,1911681.0,,,-0.6864163004643652,0.0040261855261437,0.0045112476014255,0.0340852283296131,-0.0075187969924812,Telecommunication,19.0
2020-01-23,92.9499969482422,95.8499984741211,92.1500015258789,94.4499969482422,2305738.0,,,-0.7674957905958562,-0.0681704566592261,0.0161377089752381,0.0311995871015866,-0.0086067288717475,Telecommunication,19.0
2020-01-24,91.0500030517578,93.0,90.0,92.0999984741211,1262004.0,,,-0.7901502710729018,-0.0204410323707956,0.0115320745433298,0.0214167697186533,-0.011532158336787,Telecommunication,19.0
2020-01-27,88.69999694824219,90.0,88.19999694824219,90.0,889556.0,,,-0.8181704491858638,-0.025810060678194,0.01465617921629,0.01465617921629,-0.0056369787734238,Telecommunication,19.0
2020-01-28,83.1500015258789,88.5999984741211,81.5999984741211,88.0,1511501.0,,,-0.8843455369986554,-0.0625704127769225,0.0583283028877832,0.0655441593292813,-0.0186410465822469,Telecommunication,19.0
