Date_Ticker,Close_TIMKEN.NS,High_TIMKEN.NS,Low_TIMKEN.NS,Open_TIMKEN.NS,Volume_TIMKEN.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,874.9296875,890.1611106988183,870.9913182656193,873.3638158954136,61132.0,,,-1.4416081417111453,,-0.0017897113641904,0.0174087397152338,-0.0045013551267577,Capital Goods,1.0
2020-01-13,900.1256103515625,909.9952237657736,875.4516347383409,887.3141230139282,51644.0,,,-1.416861884522579,0.0287976544990222,-0.0142329994728518,0.0109647068150369,-0.0274117026884554,Capital Goods,1.0
2020-01-14,880.6710815429688,909.14105185147,877.8240845121187,909.14105185147,28798.0,,,-1.4359692129667911,-0.0216131266401756,0.0323275862068965,0.0323275862068965,-0.0032327586206896,Capital Goods,1.0
2020-01-15,859.4610595703125,891.3948445871551,854.0991914771162,890.1611573394832,31963.0,,,-1.4568007047046674,-0.0240839314667804,0.0357201730402063,0.0371555926370974,-0.0062386399401003,Capital Goods,1.0
2020-01-16,877.6343994140625,881.5253306694972,860.0304768246248,860.0304768246248,53414.0,,,-1.4389517001495211,0.0211450415831937,-0.0200583780685792,0.0044334306609135,-0.0200583780685792,Capital Goods,1.0
2020-01-17,879.627197265625,882.5690710000375,874.0280799903597,881.6200719989622,20633.0,,,-1.4369944672888668,0.0022706469264342,0.0022655901722141,0.0033444551777814,-0.0063653298723259,Capital Goods,1.0
2020-01-20,886.697265625,890.8254463689162,877.8241474119748,887.3141381948069,23405.0,,,-1.4300505767636984,0.0080375736236359,0.0006956969348181,0.0046556822761898,-0.0100069308398857,Capital Goods,1.0
2020-01-21,877.2548217773438,892.0591850842865,865.4872093583716,882.5217553814113,17117.0,,,-1.4393245035541278,-0.010649005262242,0.0060038810540778,0.0168757844806697,-0.0134141325038608,Capital Goods,1.0
2020-01-22,881.0032348632812,890.1610987603883,866.1039962858391,880.054235824091,24788.0,,,-1.4356429875080567,0.0042728896928068,-0.0010771799712375,0.0103948130207811,-0.0169116729517505,Capital Goods,1.0
2020-01-23,910.9916381835938,915.7840717414066,879.7221082945947,888.2630996372607,34356.0,,,-1.4061897801137149,0.0340389253224095,-0.0249492285040628,0.0052606778777557,-0.0343247166915238,Capital Goods,1.0
2020-01-24,937.46875,946.5317378611182,887.6462965998194,915.7841434509404,85757.0,,,-1.3801851990360832,0.0290640558119703,-0.0231310180195977,0.0096675093021696,-0.0531457218175865,Capital Goods,1.0
2020-01-27,947.10107421875,948.9990723634768,925.7485950905716,937.6110834951152,25637.0,,,-1.370724780624536,0.010274821660722,-0.0100200400801604,0.0020040080160319,-0.0225450901803607,Capital Goods,1.0
2020-01-28,937.1365356445312,977.468994140625,930.01904296875,948.9990234375,42363.0,,,-1.3805114844406938,-0.0105210930970998,0.0126582278481013,0.0430379746835443,-0.0075949367088608,Capital Goods,1.0
2020-01-29,946.6740112304688,958.7263110107594,937.8008930898636,948.0500714672098,18341.0,,,-1.3711442219208911,0.0101772529649353,0.0014535734798006,0.0127312038117803,-0.0093729394018877,Capital Goods,1.0
