Date_Ticker,Close_ALKYLAMINE.NS,High_ALKYLAMINE.NS,Low_ALKYLAMINE.NS,Open_ALKYLAMINE.NS,Volume_ALKYLAMINE.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,489.6234130859375,496.9114585152043,479.7631355685877,496.9114585152043,52335.0,,,-2.07277990969717,,0.0148850018901927,0.0148850018901927,-0.0201384926737953,Chemicals,2.0
2020-01-13,485.4142761230469,494.1637956172896,483.2707247244689,491.10439560409657,16292.0,,,-2.077569376603869,-0.0085966823693372,0.0117221922818093,0.0180248499572863,-0.0044159216240987,Chemicals,2.0
2020-01-14,494.923828125,496.9114823801476,485.14151368454606,485.2194475006148,30990.0,,,-2.066748705997892,0.0195905898728503,-0.0196078266450615,0.0040160811466236,-0.0197652929290429,Chemicals,2.0
2020-01-15,499.2303466796875,500.0293094355492,489.5259672354065,496.9114219530725,31232.0,,,-2.061848431123826,0.0087013764744416,-0.004644999531855,0.0016003890011404,-0.0194386809792784,Chemicals,2.0
2020-01-16,505.2712707519531,506.6548114704849,497.6909067584088,497.6909067584088,49907.0,,,-2.0549746215554805,0.0121004744852611,-0.0150025628456238,0.0027382137054274,-0.0150025628456238,Chemicals,2.0
2020-01-17,501.5492858886719,506.6547977976312,498.0806515748077,504.6866197454144,34755.0,,,-2.059209770824103,-0.007366310096638,0.0062552852631094,0.0101794819624019,-0.0069158394029378,Chemicals,2.0
2020-01-20,495.9371032714844,506.2455964504626,495.0017488876006,496.911439427224,13210.0,,,-2.0655957266997005,-0.0111896931669308,0.0019646365422396,0.0207858881922273,-0.0018860342928843,Chemicals,2.0
2020-01-21,505.9922790527344,506.6548205279426,494.962786208067,494.962786208067,26200.0,,,-2.054154205060011,0.0202751028606658,-0.0217977492963246,0.0013093904840772,-0.0217977492963246,Chemicals,2.0
2020-01-22,504.0436706542969,506.654884847644,500.4775664315122,504.8426335705013,46805.0,,,-2.056371475612315,-0.0038510635025607,0.0015851065348508,0.0051805316590078,-0.0070749905819778,Chemicals,2.0
2020-01-23,509.9090881347656,519.9057267119781,504.2384448142813,505.4661178330856,83870.0,,,-2.0496973704063435,0.0116367247957996,-0.0087132596870009,0.0196047468261055,-0.0111208908655214,Chemicals,2.0
2020-01-24,507.8629760742188,516.7684229464555,500.80879171371976,516.3786646906916,40185.0,,,-2.0520255878266327,-0.0040126997305176,0.0167676893525476,0.0175351370187997,-0.0138899362482137,Chemicals,2.0
2020-01-27,511.7213745117188,516.3981762900271,496.9114526564412,499.63958207139103,61115.0,,,-2.047635217118293,0.0075973217565994,-0.0236100992495302,0.0091393520209526,-0.0289413782439889,Chemicals,2.0
2020-01-28,510.8445129394531,515.9890371760878,508.2332987776833,511.7214394016695,20312.0,,,-2.048632974976768,-0.0017135527573033,0.0017166210852896,0.0100706263967338,-0.005111563490708,Chemicals,2.0
2020-01-29,521.523193359375,526.1025853003351,513.2802878656466,515.6187184857679,81592.0,,,-2.0364819837095944,0.0209039740066417,-0.0113215959496904,0.0087808020798885,-0.0158054437437996,Chemicals,2.0
2020-01-30,516.6904296875,523.8030714304507,508.6424038657647,522.9456508920874,72615.0,,,-2.041981059144394,-0.0092666323059285,0.0121063229453866,0.0137657702451592,-0.0155761077800548,Chemicals,2.0
2020-01-31,511.6239318847656,522.9067621080724,509.7727287243229,514.469036501101,16950.0,,,-2.0477460945359702,-0.0098056737876849,0.0055609295011949,0.0220529758679233,-0.0036182888349711,Chemicals,2.0
