Date_Ticker,Close_UTIAMC.NS,High_UTIAMC.NS,Low_UTIAMC.NS,Open_UTIAMC.NS,Volume_UTIAMC.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-10-13,458.3289794921875,461.0014516758154,424.92307719683856,425.72481341476833,3544691.0,,,-1.609150216469691,,-0.0711370381020712,0.0058309037900874,-0.0728862973760933,Financial Services,9.0
2020-10-14,453.5185241699219,461.3577920328573,445.5901956516264,461.3577920328573,766445.0,,,-1.631427420427206,-0.0104956385860554,0.0172854413770278,0.0172854413770278,-0.0174818184831738,Financial Services,9.0
2020-10-15,444.5211791992188,458.2844209725892,441.1805891751765,453.874831266537,529121.0,,,-1.673094097604466,-0.0198389800883459,0.0210420841683367,0.0309619483106837,-0.0075150300601202,Financial Services,9.0
2020-10-16,447.772705078125,452.5386192017588,439.2653462410704,449.7770591986052,336219.0,,,-1.6580362911547812,0.0073146703263131,0.0044762757929395,0.0106436012503312,-0.0189992796357926,Financial Services,9.0
2020-10-19,441.9823303222656,450.8460401602147,436.5928558970871,448.0399499455698,494255.0,,,-1.6848514990270314,-0.0129315045115335,0.0137055696748946,0.0200544438767185,-0.012193868522411,Financial Services,9.0
2020-10-20,438.3744812011719,444.5211611587948,436.5037454264718,440.0670413075042,194721.0,,,-1.7015594373268703,-0.008162880897214,0.0038609914101173,0.014021527760422,-0.0042674376701264,Financial Services,9.0
2020-10-21,433.831298828125,439.2653308009128,432.1832689498331,434.8112106897411,223684.0,,,-1.7225989010699585,-0.0103637017387469,0.0022587394322701,0.0125256798840156,-0.0037987805000321,Financial Services,9.0
2020-10-22,440.37890625,443.9422027064608,432.5841952514921,433.6086375455657,323802.0,,,-1.6922769510259137,0.0150925196950094,-0.0153737352274335,0.0080914330952035,-0.0177000098957574,Financial Services,9.0
2020-10-23,443.942138671875,447.54996493932777,437.4836647761156,439.3989309080448,199486.0,,,-1.6757756325243722,0.0080912876872721,-0.0102337835678811,0.0081267939066251,-0.0145480082496358,Financial Services,9.0
2020-10-26,441.0024108886719,449.8215902485634,438.7308205600884,445.4120005686176,167538.0,,,-1.6893895029417667,-0.0066218714718044,0.0099990149057458,0.0199980298114919,-0.0051509703178401,Financial Services,9.0
2020-10-27,438.5081176757813,443.0513255510227,436.9046453366566,441.40329570005,101416.0,,,-1.700940567219657,-0.0056559627596237,0.0066023362112745,0.010360601530758,-0.0036566537185754,Financial Services,9.0
2020-10-28,444.65478515625,449.33161106151977,439.08713526902415,439.08713526902415,207064.0,,,-1.672475368824064,0.0140172262101961,-0.012521286339625,0.0105178805252852,-0.012521286339625,Financial Services,9.0
2020-10-29,446.65911865234375,456.0573275428844,439.4879968004519,439.6216149544656,289789.0,,,-1.6631933065035414,0.004507617061603,-0.0157558715449751,0.0210411217370796,-0.0160550217211025,Financial Services,9.0
2020-10-30,444.65478515625,454.2757004728506,442.9622250276914,449.8661108878516,149659.0,,,-1.672475368824064,-0.0044873896275558,0.0117199362417079,0.0216368194783282,-0.0038064588194273,Financial Services,9.0
2020-11-02,440.82427978515625,445.4120181347861,437.8400138264948,443.630370062247,109054.0,,,-1.6902144275400324,-0.0086145601013778,0.0063655529102397,0.010407181636787,-0.0067697404510385,Financial Services,9.0
2020-11-03,440.6015930175781,444.3875953370621,437.88456327682536,438.3745328296464,128700.0,,,-1.6912456892829728,-0.0005051599419311,-0.0050545895049519,0.0085928021584182,-0.0061666362169606,Financial Services,9.0
2020-11-04,435.74658203125,444.0757924011074,433.8313157459164,438.285436030782,127685.0,,,-1.7137292303851628,-0.0110190500063272,0.0058264461598231,0.0191148036802273,-0.0043953673174108,Financial Services,9.0
2020-11-05,446.4809875488281,448.7080474883458,438.2853960970869,438.2853960970869,255927.0,,,-1.664018231101807,0.0246345145555457,-0.0183559696387856,0.0049880286095591,-0.0183559696387856,Financial Services,9.0
2020-11-06,441.6705017089844,451.6477407820354,440.9578534262476,444.69932487508913,165281.0,,,-1.6862955763861334,-0.0107742232569705,0.0068576532831265,0.0225897791100955,-0.0016135292712085,Financial Services,9.0
2020-11-09,445.4120178222656,445.99104800827615,441.8487216796875,441.8487216796875,667759.0,443.4432861328125,,-1.6689686266522694,0.0084712836804902,-0.008,0.0012999877929686,-0.008,Financial Services,9.0
2020-11-10,442.02685546875,446.7927418591354,440.9578558529725,445.4119756090631,657706.0,442.6281799316406,,-1.6846453032091675,-0.0076000696390424,0.0076581775483377,0.0107818932977077,-0.0024184042271456,Financial Services,9.0
2020-11-11,440.913330078125,445.3228923706694,438.5971823439069,441.8932146859416,177344.0,441.9979202270508,,-1.689802035904305,-0.0025191351540036,0.0022223973306567,0.0100009729616545,-0.0052530680662516,Financial Services,9.0
2020-11-12,440.0670471191406,444.43207919389306,438.2853991550955,440.9578711011632,638121.0,441.77521362304685,,-1.6937211697118268,-0.0019193861950928,0.0020242914979757,0.0099190159847861,-0.0040485829959514,Financial Services,9.0
2020-11-13,433.8758239746094,440.957885741132,432.9849999630112,440.06706172953375,409114.0,441.0803695678711,,-1.7223927052520949,-0.0140688178882321,0.0142696075992625,0.0163227849425808,-0.0020531773433183,Financial Services,9.0
2020-11-14,438.4635925292969,440.957888905354,436.2365324843203,436.50376881540086,44438.0,440.9044326782226,,-1.7011467630375203,0.0105739206961574,-0.0044697524430493,0.005688719470797,-0.0050792359569232,Financial Services,9.0
2020-11-17,436.459228515625,440.8687909924441,433.8312868482851,440.8687909924441,356710.0,440.8086700439453,,-1.710428966684855,-0.004571335107003,0.0101030341180223,0.0101030341180223,-0.0060210473181593,Financial Services,9.0
2020-11-18,432.1387634277344,437.9736502339742,431.15885150987145,436.5037959500765,484828.0,440.72404327392576,,-1.7304370273581904,-0.0098988973210265,0.0101009973919454,0.0135023453113933,-0.0022675862495885,Financial Services,9.0
2020-11-19,446.0582580566406,447.4140582331046,436.65804901658896,438.8273237821662,336804.0,441.0080108642578,,-1.6659758900936137,0.0322107059281063,-0.0162107396149948,0.0030395136778116,-0.0210739491316804,Financial Services,9.0
2020-11-20,445.1092224121094,447.1881050452877,441.9908708785158,446.239055926625,132682.0,441.0663650512696,,-1.6703708712751906,-0.0021276046960008,0.0025383287014206,0.0046705000222475,-0.0070058120042869,Financial Services,9.0
2020-11-23,472.0444641113281,478.0552007525217,445.6515409628124,446.4198333048429,1540115.0,442.6184677124023,,-1.545633848939465,0.0605137803104885,-0.0542843582642712,0.0127334119943751,-0.0559119429526688,Financial Services,9.0
2020-11-24,493.6920166015625,497.1266991256284,474.6656330594655,475.4338977092373,1626681.0,445.3776626586914,,-1.4453840992382594,0.0458591385686263,-0.036982811709229,0.0069571360454829,-0.0385389734941822,Financial Services,9.0
2020-11-25,487.4101257324219,507.11440907249823,479.0493586243553,497.12669291206686,1430600.0,447.5154296875,,-1.4744755167352597,-0.0127243112262244,0.0199350950394066,0.0404264956754172,-0.0171534538711172,Financial Services,9.0
2020-11-26,494.6411437988281,502.0980454641371,479.13980493660847,486.2803752649969,497409.0,449.9145309448242,,-1.4409886940762482,0.0148355926244665,-0.0169026952946551,0.015075376884422,-0.0313385553477615,Financial Services,9.0
