Date_Ticker,Close_CANFINHOME.NS,High_CANFINHOME.NS,Low_CANFINHOME.NS,Open_CANFINHOME.NS,Volume_CANFINHOME.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,370.87841796875,378.3767553007234,369.6287097487133,372.5126788754913,272941.0,,,-1.3992174368658183,,0.0044064599813919,0.0202177774944165,-0.0033695900313671,Financial Services,9.0
2020-01-13,370.8303833007813,374.9160064479707,368.4751299869122,370.3016673342813,120210.0,,,-1.3995214434763663,-0.0001295159428036,-0.0014257622630426,0.0110174983797797,-0.0063512954168016,Financial Services,9.0
2020-01-14,371.5033264160156,374.9160117107895,370.01325799789015,372.7530347201504,151786.0,,,-1.3952624537881853,0.0018146924996934,0.003363922245841,0.0091861500345014,-0.0040109154135994,Financial Services,9.0
2020-01-15,360.976806640625,369.1480525965379,353.7668837383489,369.1480525965379,931365.0,,,-1.4618837448912396,-0.0283349273799041,0.0226364846870839,0.0226364846870839,-0.0199733688415445,Financial Services,9.0
2020-01-16,370.1093444824219,372.36845933567344,360.4480603418712,360.97677624194654,414665.0,,,-1.404084826060497,0.0252995141898102,-0.0246753246753246,0.0061039119571832,-0.0261038643973213,Financial Services,9.0
2020-01-17,373.71435546875,375.8773324457395,368.42707841388665,371.9359018646636,231417.0,,,-1.3812690719960476,0.0097403943998483,-0.0047588581440917,0.0057877813504823,-0.0141479099678456,Financial Services,9.0
2020-01-20,374.2430419921875,381.6932954378205,372.0800651853908,377.79994892048666,406361.0,,,-1.377923067853013,0.0014146808001912,0.0095042700309533,0.0199075269535364,-0.0057796045994138,Financial Services,9.0
2020-01-21,445.6693115234375,449.0819961541097,382.6065221119138,382.6065221119138,8414117.0,,,-0.9258733499613228,0.1908553039517594,-0.1415013055217001,0.0076574368986874,-0.1415013055217001,Financial Services,9.0
2020-01-22,437.49810791015625,485.4681202627261,429.8075238267864,452.062145650588,10128155.0,,,-0.9775880805843922,-0.0183346786552332,0.0332893730900949,0.1096462167155722,-0.0175785539281674,Financial Services,9.0
2020-01-23,458.7433471679688,466.2416548303403,433.8931417595615,438.747811172895,2636458.0,,,-0.8431290856506898,0.048560756889434,-0.0435876315558912,0.0163453218638744,-0.0541701706669293,Financial Services,9.0
2020-01-24,454.3693237304688,466.1455308341914,451.8218235713993,463.1654235772278,835841.0,,,-0.8708118426244168,-0.0095347942689585,0.0193589210084457,0.0259176984199493,-0.005606672867248,Financial Services,9.0
2020-01-27,451.91796875,456.6284457970882,444.70804592162494,452.7831536219548,353739.0,,,-0.8863262231827976,-0.0053950714813724,0.0019144732712175,0.0104233010696992,-0.015954052122153,Financial Services,9.0
