Date_Ticker,Close_LALPATHLAB.NS,High_LALPATHLAB.NS,Low_LALPATHLAB.NS,Open_LALPATHLAB.NS,Volume_LALPATHLAB.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1585.69384765625,1630.4912572390078,1574.4340593019228,1593.7641275560902,100920.0,,,-1.4406484627816312,,0.005089431299597,0.0282509827789085,-0.0071008589526722,Healthcare,11.0
2020-01-13,1570.27783203125,1614.0604778135869,1560.9027974065525,1593.763908930901,91022.0,,,-1.4658090456735604,-0.0097219369601425,0.0149566378767955,0.0278821014276824,-0.005970303110355,Healthcare,11.0
2020-01-14,1550.271728515625,1581.2964695610867,1528.4287713984045,1573.4678142290757,57071.0,,,-1.4984611419151534,-0.0127404864970588,0.0149625935162094,0.0200124536071928,-0.0140897603403599,Healthcare,11.0
2020-01-15,1566.84716796875,1579.2667143105953,1527.0755254655694,1553.1711198880823,56220.0,,,-1.4714082555873669,0.0106919575118588,-0.0087283867630798,0.0079264567698367,-0.0253832302959964,Healthcare,11.0
2020-01-16,1622.6143798828125,1672.051057580382,1570.0849381730236,1575.4007074312271,122435.0,,,-1.3803902135622856,0.0355919920296749,-0.0290972846271676,0.0304672991380368,-0.0323733367342539,Healthcare,11.0
2020-01-17,1613.964111328125,1643.0558411546467,1604.3957037157138,1624.6922758711537,67502.0,,,-1.3945083751094696,-0.0053310685902538,0.0066470898997874,0.0180250165554067,-0.005928513245897,Healthcare,11.0
2020-01-20,1595.64892578125,1624.015898240668,1577.3337314232706,1624.015898240668,48874.0,,,-1.4244007127499367,-0.0113479509354167,0.0177777028524801,0.0177777028524801,-0.0114782105650289,Healthcare,11.0
2020-01-21,1561.4346923828125,1595.165568328025,1557.2786803644633,1580.2331372511387,27457.0,,,-1.4802419934313842,-0.0214422062683279,0.0120392130135389,0.0216024891145065,-0.0026616624048534,Healthcare,11.0
2020-01-22,1541.8148193359375,1584.09935050406,1534.5660425642593,1577.140571995806,40378.0,,,-1.5122637203245826,-0.0125652857225391,0.0229117999236012,0.0274251684688919,-0.00470145745181,Healthcare,11.0
2020-01-23,1581.6827392578125,1589.8980177690812,1529.249932288832,1546.40536682707,79230.0,,,-1.4471950198040395,0.0258577874734958,-0.0223036969141461,0.0051940116101434,-0.0331500152765048,Healthcare,11.0
2020-01-24,1636.966796875,1662.820763385484,1587.965120625249,1587.965120625249,123282.0,,,-1.3569655371597882,0.034952684406943,-0.0299344350437016,0.0157938246272555,-0.0299344350437016,Healthcare,11.0
2020-01-27,1694.232177734375,1720.3761432841377,1643.0558671814797,1653.6874051455952,163298.0,,,-1.2635023235124414,0.0349826159997231,-0.0239310604069618,0.0154311586648789,-0.0302061967807335,Healthcare,11.0
2020-01-28,1707.4735107421875,1734.4872376224407,1696.7453449929133,1720.3763094669114,72258.0,,,-1.2418910547613626,0.0078155362540213,0.0075566611391326,0.0158208761133349,-0.0062830642360074,Healthcare,11.0
2020-01-29,1711.919189453125,1725.9818614623543,1698.1465156635938,1712.885692876952,71230.0,,,-1.2346352326061207,0.0026036589633563,0.0005645730416372,0.0082145653228653,-0.008045165843331,Healthcare,11.0
2020-01-30,1663.690673828125,1716.8967354240297,1638.223331765393,1712.9340949139698,71647.0,,,-1.313349317662552,-0.0281721917261799,0.0295989043278919,0.0319807416323842,-0.0153077386700332,Healthcare,11.0
2020-01-31,1711.870849609375,1725.0636451915054,1668.4749394402727,1676.88347219475,112001.0,,,-1.2347141283905596,0.0289598159917481,-0.0204380940434896,0.0077066535627619,-0.0253499907303197,Healthcare,11.0
2020-02-03,1682.392333984375,1768.701130323299,1652.7207283348855,1702.0123991799612,288901.0,,,-1.2828262122101326,-0.0172200581788787,0.0116620034454866,0.0513012301562978,-0.0176365554277215,Healthcare,11.0
