Date_Ticker,Close_J&KBANK.NS,High_J&KBANK.NS,Low_J&KBANK.NS,Open_J&KBANK.NS,Volume_J&KBANK.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,28.81203269958496,29.53838646512072,28.66676231592044,29.34469138875925,511891.0,,,-0.6749322160622534,,0.0184873693129594,0.0252100840336133,-0.0050420039842108,Financial Services,9.0
2020-01-13,29.05415153503418,30.16789364110118,28.666763217343032,28.95730399380809,937078.0,,,-0.6686957560349727,0.0084033930536496,-0.0033333460489909,0.0383333206176756,-0.0133333206176757,Financial Services,9.0
2020-01-14,29.05415153503418,29.34469231149924,28.95730399380809,29.05415153503418,454813.0,,,-0.6686957560349727,0.0,0.0,0.0099999745686849,-0.0033333460489909,Financial Services,9.0
2020-01-15,29.102575302124023,29.24784754216257,28.908882060761407,29.054152453586685,335428.0,,,-0.6674484640295165,0.0016666729032322,-0.0016638681640591,0.0049917314371812,-0.0066555361287383,Financial Services,9.0
2020-01-16,29.974201202392575,30.50685992247105,29.150999850914992,29.344693091301146,1381841.0,,,-0.6449972570605013,0.0299501295407674,-0.0210016642925979,0.0177705726495209,-0.0274636626984366,Financial Services,9.0
2020-01-17,29.05415153503418,30.21631833532083,28.95730399380809,30.21631833532083,877213.0,,,-0.6686957560349727,-0.0306947184729299,0.040000025431315,0.040000025431315,-0.0033333460489909,Financial Services,9.0
2020-01-20,28.666763305664062,29.538387484957884,28.521492916983963,29.19942201322884,989437.0,,,-0.6786740429494267,-0.0133333175777993,0.0185810550666363,0.0304053921260654,-0.0050675546147687,Financial Services,9.0
2020-01-21,28.279375076293945,28.957304174684715,28.230950381771823,28.81203378554478,927569.0,,,-0.6886523298638806,-0.0135134973292773,0.0188355898181551,0.0239725629212741,-0.0017123679144775,Financial Services,9.0
2020-01-22,27.988832473754883,28.52149303065578,27.89198493184443,28.52149303065578,644119.0,,,-0.6961360818966175,-0.010274010714707,0.0190311817186505,0.0190311817186505,-0.0034602208577748,Financial Services,9.0
2020-01-23,27.988832473754883,28.81203380917393,27.940409626406264,28.23095040492441,1082610.0,,,-0.6961360818966175,0.0,0.0086505191453256,0.0294117782937519,-0.0017300774297757,Financial Services,9.0
2020-01-24,28.03725814819336,28.47306933120178,27.84356305760298,28.1825285425295,1229351.0,,,-0.6948887407619662,0.0017301784375566,0.0051813338368644,0.0155440015105936,-0.0069084890386422,Financial Services,9.0
2020-01-27,27.26247787475586,28.03725633993487,27.16563033570684,27.7951384159189,1255996.0,,,-0.7148454128492644,-0.0276339529829319,0.0195382291958232,0.0284192239875755,-0.0035524114680236,Financial Services,9.0
2020-01-28,26.584548950195312,27.601443498081466,26.245583485162204,27.26247803304836,1173870.0,,,-0.73230740266726,-0.0248667391010809,0.0255008683473663,0.038251337263282,-0.0127504689159158,Financial Services,9.0
2020-01-29,26.63297271728516,27.02036104191211,26.43927763136506,26.971938194038707,994245.0,,,-0.7310601106618039,0.0018215004204345,0.0127272865988992,0.0145454406738281,-0.0072727550159801,Financial Services,9.0
2020-01-30,26.487701416015625,26.826666881118243,26.34243103017541,26.584548955646827,599039.0,,,-0.7348019866781723,-0.0054545657674649,0.0036563210265063,0.0127970887235109,-0.0054844466704981,Financial Services,9.0
2020-01-31,26.43927764892578,26.923513516834408,26.245584410090277,26.87509066892884,625578.0,,,-0.7360492786836285,-0.0018281604103466,0.0164835448906739,0.018315018826859,-0.0073259656109923,Financial Services,9.0
2020-02-03,25.18026733398437,26.875093019925632,24.98657223099144,26.875093019925632,1143116.0,,,-0.7684786743087075,-0.0476189376903252,0.0673076923076922,0.0673076923076922,-0.0076923370361328,Financial Services,9.0
2020-02-04,23.533863067626957,25.56765413639783,23.243322278036807,25.56765413639783,2287474.0,,,-0.8108865042358259,-0.0653847016205171,0.0864197714980568,0.0864197714980568,-0.0123456480032728,Financial Services,9.0
2020-02-05,22.081153869628903,24.308639872675336,21.839035946289936,24.163369488114583,2698934.0,,,-0.8483051661411197,-0.061728463101172,0.0942983156939829,0.1008772465514213,-0.0109649126476124,Financial Services,9.0
2020-02-06,22.323272705078125,22.75908572378049,21.30637812439025,22.081154771846418,2910772.0,27.126893043518063,,-0.842068706113839,0.0109649539547947,-0.0108459873438104,0.0195228103181854,-0.0455531137446775,Financial Services,9.0
2020-02-07,22.03273200988769,22.759085812411467,21.93588446677521,22.565390726186497,1357385.0,26.7879280090332,,-0.8495524090173807,-0.0130151478696193,0.0241757906400239,0.032967032967033,-0.0043956211635044,Financial Services,9.0
2020-02-10,21.83903694152832,23.09805130859408,21.693766550347377,22.226427114295166,1410646.0,26.42717227935791,,-0.8545415770392052,-0.0087912415161428,0.0177384274683924,0.0576497201060941,-0.0066518680091017,Financial Services,9.0
2020-02-11,20.483177185058597,22.12957990231989,20.337906791703368,22.081155206392637,1989666.0,25.99862356185913,,-0.8894656058043917,-0.0620842283521885,0.0780141677678636,0.0803782881135384,-0.0070921806730839,Financial Services,9.0
2020-02-12,18.93362045288086,20.676870571192318,18.59465684537677,20.580023034528377,2815755.0,25.49017581939697,,-0.9293788517205978,-0.0756502137426246,0.0869565641576495,0.0920716733838513,-0.0179027359478156,Financial Services,9.0
2020-02-13,18.49781036376953,19.4662820912212,18.352539974094427,19.078893769683177,1787415.0,24.91635627746582,,-0.9406043815113128,-0.0230177894500371,0.0314136319102813,0.0523560198967414,-0.0078533830122745,Financial Services,9.0
2020-02-14,17.480913162231445,18.788350305441806,17.38406747157472,18.788350305441806,2414471.0,24.337694358825683,,-0.9667974644966963,-0.0549739229422427,0.074792268062698,0.074792268062698,-0.0055400819029274,Financial Services,9.0
2020-02-17,16.89983367919922,17.529339980885716,16.51244348073365,16.94825653040073,1311580.0,23.74934787750244,,-0.9817648211745847,-0.033240796841648,0.0028652856661608,0.0372492601783005,-0.0229227225438543,Financial Services,9.0
