Date_Ticker,Close_BATAINDIA.NS,High_BATAINDIA.NS,Low_BATAINDIA.NS,Open_BATAINDIA.NS,Volume_BATAINDIA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,1654.3385009765625,1668.4725091811451,1648.40228654435,1667.8129681407393,270427.0,,,0.6008124211771156,,0.0081449275080176,0.0085436010805763,-0.0035882707370399,Consumer Durables,5.0
2020-01-13,1655.9405517578125,1664.4680016841298,1650.145584943161,1656.7886153199574,150224.0,,,0.6086041608330635,0.0009683935786444,0.0005121340625693,0.0051496111483382,-0.0034995017233557,Consumer Durables,5.0
2020-01-14,1666.870849609375,1681.428833349503,1653.6791074417486,1658.3904439301866,950702.0,,,0.6617647948267562,0.0066006583629827,-0.005087620124364,0.0087337202780526,-0.0079140757490107,Consumer Durables,5.0
2020-01-15,1684.9154052734375,1688.8728821821255,1668.9439044841606,1668.9439044841606,307090.0,,,0.7495263574358588,0.010825407180341,-0.0094791113781079,0.0023487689033538,-0.0094791113781079,Consumer Durables,5.0
2020-01-16,1673.890625,1698.90786671704,1670.121555966795,1690.4274613923292,353949.0,,,0.6959061984121674,-0.0065432248045998,0.0098792813254027,0.0149455653454297,-0.0022516817866787,Consumer Durables,5.0
2020-01-17,1686.375732421875,1695.9869278478388,1677.2357856664337,1684.3499497552314,260827.0,,,0.7566288095468086,0.0074587354964575,-0.0012012641238227,0.0056993202885817,-0.0054198756420167,Consumer Durables,5.0
2020-01-20,1689.1083984375,1700.7453769975866,1677.754146086512,1685.7162590426583,367855.0,,,0.7699194133214237,0.0016204372270588,-0.0020082425722229,0.0068894208156511,-0.0067220388943013,Consumer Durables,5.0
2020-01-21,1685.103759765625,1695.1389298535448,1656.1761986894446,1679.1203852134613,491307.0,,,0.7504424389879106,-0.0023708594875139,-0.0035507454763473,0.0059552238429019,-0.017166634937782,Consumer Durables,5.0
2020-01-22,1672.7127685546875,1688.4957449201358,1663.5728222805556,1679.1202318345795,305625.0,,,0.6901775717785007,-0.0073532511806044,0.0038305819148067,0.0094355568165391,-0.0054641456955155,Consumer Durables,5.0
