Date_Ticker,Close_EASEMYTRIP.NS,High_EASEMYTRIP.NS,Low_EASEMYTRIP.NS,Open_EASEMYTRIP.NS,Volume_EASEMYTRIP.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2021-03-19,6.345118999481201,7.122849490534279,5.698279499533356,6.460789297777106,1365056064.0,,,-2.744788774873598,,0.0182298075584339,0.122571458646665,-0.1019428477229084,Consumer Services,6.0
2021-03-22,6.016371726989746,6.313157573084999,5.908312244598507,6.270542422024414,212343968.0,,,-2.810469579845125,-0.0518110491731257,0.0422465077904754,0.0493297056037707,-0.0179609052257324,Consumer Services,6.0
2021-03-23,5.628268718719482,6.055943729016279,5.524774506047234,5.960059863054117,193120000.0,,,-2.8880091372135435,-0.0645078173160767,0.0589508356683656,0.0759869564994935,-0.0183882856069094,Consumer Services,6.0
2021-03-24,5.489768028259277,5.597828434375637,5.434976790632785,5.500422047745366,82695424.0,,,-2.9156803533717706,-0.0246080450991181,0.0019407048587929,0.0196839657996665,-0.0099806107187858,Consumer Services,6.0
2021-03-25,5.466939449310303,5.594785374828224,5.081878674512128,5.497378977503633,96713184.0,,,-2.920241302061508,-0.0041583868082333,0.0055679285412919,0.0233852828814573,-0.0704344319831004,Consumer Services,6.0
2021-03-26,6.3603386878967285,6.559718149575361,5.491290552881916,5.573477648373971,204065792.0,,,-2.7417480153899625,0.1634185355206623,-0.1237137011304284,0.0313473026299744,-0.1366355122988261,Consumer Services,6.0
2021-03-30,6.415130138397217,6.784970686710932,5.938752169747619,6.602333516522532,315916992.0,,,-2.7308011669274457,0.0086145491913429,0.0291815402161252,0.0576512931670811,-0.0742585042504871,Consumer Services,6.0
2021-03-31,6.3040266036987305,6.506448820070398,6.145740682276314,6.282718561950856,100288096.0,,,-2.752998673050841,-0.0173189837620729,-0.0033800685002459,0.032109987647086,-0.0251087013702554,Consumer Services,6.0
2021-04-01,6.514058589935303,6.5932015436385285,6.281195936425991,6.393822090180344,74693248.0,,,-2.711036135015958,0.0333171160974068,-0.0184580009674356,0.0121495612313815,-0.0357477063330534,Consumer Services,6.0
2021-04-05,6.043767929077148,6.447092140632139,6.0270265602083954,6.331421841027002,84176000.0,,,-2.804996060346009,-0.0721962589628511,0.0475951286226465,0.0667339011503997,-0.0027700217919037,Consumer Services,6.0
2021-04-06,5.868741035461426,6.154872410151162,5.783510264978207,6.133564833647941,30729696.0,,,-2.839964889675674,-0.0289598964867018,0.0451244647849236,0.0487551542930262,-0.0145228371755062,Consumer Services,6.0
2021-04-07,6.132041931152344,6.267498192894382,5.850476781233074,5.858086198232758,60904928.0,,,-2.787359693448067,0.0448649708855685,-0.0446761023481949,0.0220899112013384,-0.0459170294463979,Consumer Services,6.0
2021-04-08,6.1244330406188965,6.2142290923194095,6.045290545209982,6.147262222520991,45935264.0,,,-2.788879882654169,-0.0012408412432394,0.0037275584124578,0.0146619370486968,-0.0129224199014048,Consumer Services,6.0
2021-04-09,6.128998756408691,6.217273202861744,6.027026615088142,6.0955150894256205,21863968.0,,,-2.7879676929162214,0.0007454919924038,-0.0054631544749554,0.0144027515686391,-0.0166376508420601,Consumer Services,6.0
2021-04-12,5.721108436584473,6.051377948690982,5.655664105002049,5.844389076021169,46833504.0,,,-2.8694605805776536,-0.0665508896371882,0.0215483836398486,0.0577282384641675,-0.0114391000114472,Consumer Services,6.0
2021-04-13,5.845910549163818,5.990498760957814,5.66479592830166,5.813949418700086,23104224.0,,,-2.8445262194368426,0.0218143239134011,-0.0054672630029044,0.0247332234350861,-0.0309814218570388,Consumer Services,6.0
2021-04-15,5.276691913604736,5.813949862860141,5.205159301304104,5.813949862860141,97907328.0,,,-2.958251081410524,-0.0973703977801202,0.1018171911591443,0.1018171911591443,-0.0135563367109232,Consumer Services,6.0
