Date_Ticker,Close_CUB.NS,High_CUB.NS,Low_CUB.NS,Open_CUB.NS,Volume_CUB.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,228.6746368408203,229.50476642485032,225.20766186534644,226.08661032916103,1043244.0,,,3.2306681430285416,,-0.0113175057252229,0.0036301777735319,-0.0151611697010684,Financial Services,9.0
2020-01-13,227.2097320556641,230.38373441351268,226.3307835173592,229.89542635845905,289833.0,,,3.168690336609982,-0.0064060658645583,0.0118203312793705,0.0139694824210743,-0.0038684458203116,Financial Services,9.0
2020-01-14,229.4071044921875,229.50477205810992,226.67259147009904,226.67259147009904,389303.0,,,3.261657691813072,0.0096711193514593,-0.0119199142857477,0.000425739063917,-0.0119199142857477,Financial Services,9.0
2020-01-15,237.2200469970703,238.1966631064069,228.5770033706289,229.5047856941028,1701508.0,,,3.5922109421223145,0.0340571078745683,-0.03252364798268,0.004116920646882,-0.0364347100333733,Financial Services,9.0
2020-01-16,236.43875122070312,243.5192175698744,236.34108365509567,238.2943157514188,654644.0,,,3.5591555525338654,-0.0032935486956413,0.007847971287006,0.0299463024255361,-0.0004130776579693,Financial Services,9.0
2020-01-17,238.7337951660156,241.1265015554653,232.48345828312927,237.31770484589055,523778.0,,,3.656255234920044,0.0097067165744341,-0.0059316709607045,0.0100224871295904,-0.0261811985125099,Financial Services,9.0
2020-01-20,233.3135681152344,239.27093197415775,232.04397917328063,238.73379016688136,192183.0,,,3.426933994180068,-0.0227040626862737,0.0232314909734263,0.0255337223079157,-0.0054415564092984,Financial Services,9.0
2020-01-21,232.62994384765625,234.3878557461481,231.55567511667357,233.41123968053915,653824.0,,,3.3980109317747065,-0.00293006648992,0.0033585351049842,0.0075566879715323,-0.0046179297179653,Financial Services,9.0
2020-01-22,230.82321166992188,235.26680281995556,229.651260476704,232.62994243917225,229257.0,,,3.3215709485782154,-0.0077665503754648,0.0078273357180127,0.0192510584957461,-0.0050772675102266,Financial Services,9.0
2020-01-23,232.5811004638672,234.3878460714592,230.28606174560423,232.2881275778602,364920.0,,,3.395944445395537,0.0076157366550254,-0.0012596590411804,0.0077682391389006,-0.0098676922315943,Financial Services,9.0
2020-01-24,232.33697509765625,234.8273492495488,230.48141038164675,232.8741169581789,992458.0,,,3.385615886951196,-0.0010496354421061,0.0023119086417342,0.0107188025102151,-0.0079865235192528,Financial Services,9.0
2020-01-27,230.4325714111328,233.3135859957084,228.821160767788,229.5047890739955,1162884.0,,,3.3050435765716166,-0.0081967310012664,-0.0040262638717074,0.0125026360940758,-0.0069929812156188,Financial Services,9.0
2020-01-28,236.7317047119141,237.65950180321133,229.0164445245433,229.0164445245433,1006664.0,,,3.571549951782125,0.0273361238049219,-0.0325907347170068,0.0039191923719146,-0.0325907347170068,Financial Services,9.0
2020-01-29,232.23928833007807,237.36652234221367,230.28605632545504,236.34107255939105,596792.0,,,3.381482914192856,-0.0189768260542156,0.0176618876969822,0.0220773756628478,-0.008410428823942,Financial Services,9.0
2020-01-30,228.77230834960935,233.5089021246829,228.5281543385639,233.41123455947337,353907.0,,,3.234800470211629,-0.0149284817629185,0.0202774813233723,0.0207044017225854,-0.0010672358591249,Financial Services,9.0
2020-01-31,225.8424530029297,230.0419048391635,224.62168298669764,230.0419048391635,1062871.0,,,3.110842920648757,-0.0128068618436209,0.0185946077913852,0.0185946077913852,-0.0054054054054053,Financial Services,9.0
2020-02-03,224.91470336914065,228.72350041102388,222.8638034838312,228.52818016051344,768070.0,,,3.071591299799055,-0.0041079505710869,0.0160659874043103,0.0169344066209493,-0.0091185674150585,Financial Services,9.0
2020-02-04,224.5728454589844,226.819065231772,221.8383176878506,226.33075723342589,1603538.0,,,3.0571278318706208,-0.0015199446947457,0.0078278020249895,0.0100021877898763,-0.012176573554763,Financial Services,9.0
2020-02-05,224.47520446777344,225.7936271906475,223.352087072016,224.6216909141,1158159.0,,,3.052996795838035,-0.0004347853856123,0.0006525729497557,0.0058733557053662,-0.0050033026962615,Financial Services,9.0
2020-02-06,227.9910125732422,229.3094501939067,224.52402263540205,226.03778048454103,448642.0,230.76704788208008,,3.20174508062318,0.015662345040757,-0.0085671451109224,0.0057828490947247,-0.0152066956443134,Financial Services,9.0
2020-02-07,229.94422912597656,233.55770526553684,226.72139341697195,229.4070873574796,911255.0,230.83052749633788,,3.284382586231427,0.0085670769680313,-0.0023359654231752,0.0157145763270301,-0.0140157277321317,Financial Services,9.0
2020-02-10,225.20767211914065,230.4813929460989,224.23105604733516,230.4813929460989,394111.0,230.7304244995117,,3.083986344622566,-0.0205987209369841,0.023417145505453,0.023417145505453,-0.0043365133284128,Financial Services,9.0
