Date_Ticker,Close_KPITTECH.NS,High_KPITTECH.NS,Low_KPITTECH.NS,Open_KPITTECH.NS,Volume_KPITTECH.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,84.58240509033203,86.37378829683506,84.24349595196634,85.64755126276638,80918.0,,,-1.1318886180565724,,0.0125929993513047,0.0211791471830324,-0.0040068515195772,Information Technology,12.0
2020-01-13,90.15023040771484,90.7796373710204,84.77608030794991,84.77608030794991,211648.0,,,-1.1219272699892804,0.0658272286232166,-0.0596132708198272,0.0069817565685523,-0.0596132708198272,Information Technology,12.0
2020-01-14,94.84656524658205,97.31577441823042,89.2303359316619,90.05340319298934,998988.0,,,-1.1135250979914535,0.0520945406087978,-0.0505359581670821,0.026033722625895,-0.059213839745478,Information Technology,12.0
2020-01-15,99.1071548461914,101.81844297669916,95.13706017397108,95.6696370027848,848535.0,,,-1.1059025140283592,0.0449208633811113,-0.034684860530417,0.0273571381876061,-0.0400586080629769,Information Technology,12.0
2020-01-16,100.26915740966795,108.93558547699296,99.59133155632192,100.22073863883354,896671.0,,,-1.1038235853030385,0.0117247091320492,-0.0004828879795668,0.0864316435004706,-0.0067600633221307,Information Technology,12.0
2020-01-17,101.09221649169922,103.5130070811189,99.83340243013434,101.47954446353968,468742.0,,,-1.1023510574256887,0.0082084970423007,0.0038314321842203,0.0239463598032638,-0.0124521363290935,Information Technology,12.0
2020-01-20,99.1071548461914,102.01210324845006,98.7682456767944,100.26913863969436,169817.0,,,-1.1059025140283592,-0.0196361472168414,0.0117245197413475,0.0293111875400617,-0.0034196236378996,Information Technology,12.0
2020-01-21,95.23389434814452,100.6564634514328,94.79815502439496,99.20398918871275,129903.0,,,-1.112832130849469,-0.0390815426399633,0.0416878346490257,0.0569394871479802,-0.0045754647201198,Information Technology,12.0
2020-01-22,94.8949966430664,97.75152675021435,92.47420591237594,94.16875942385929,310593.0,,,-1.113438449799338,-0.0035585828700779,-0.0076530612244897,0.0301020096759407,-0.0255102040816326,Information Technology,12.0
2020-01-23,95.18547821044922,97.9935890677694,93.44250622730875,97.9935890677694,259241.0,,,-1.1129187517422172,0.0030610841209617,0.0295014629344154,0.0295014629344154,-0.018311322440245,Information Technology,12.0
2020-01-24,98.13884735107422,99.63974044609483,93.68459421971166,96.29904505682308,281871.0,,,-1.1076349045839529,0.0310275180221848,-0.0187469319633394,0.0152935675884946,-0.0453872574580814,Information Technology,12.0
2020-01-27,97.99358367919922,100.22071360322592,95.52438212447257,97.79992341957312,338075.0,,,-1.1078947945615645,-0.0014801852252792,-0.001976254488866,0.0227273035683401,-0.0251975839847847,Information Technology,12.0
2020-01-28,95.76647186279295,100.26914358594256,95.33072514835942,98.76825054900397,82063.0,,,-1.1118793010292405,-0.0227271187846045,0.0313447768078134,0.0470172037829761,-0.0045500967714238,Information Technology,12.0
2020-01-29,95.71804809570312,99.97864055069952,93.92666473043924,96.83161312416418,142643.0,,,-1.1119659355716722,-0.0005056442630487,0.0116338041844277,0.0445119028204217,-0.018715209941105,Information Technology,12.0
2020-01-30,96.5411148071289,100.12388890592818,95.13705937949528,99.30082167636138,666845.0,,,-1.1104933940446389,0.0085988664395124,0.0285858193656232,0.0371113810520729,-0.0145436007284426,Information Technology,12.0
2020-01-31,96.29903411865234,98.7682431525319,94.99180884857844,98.67141301913117,298722.0,,,-1.110926498508379,-0.0025075398078859,0.024635542009235,0.0256410571142091,-0.0135746457068639,Information Technology,12.0
