Date_Ticker,Close_KARURVYSYA.NS,High_KARURVYSYA.NS,Low_KARURVYSYA.NS,Open_KARURVYSYA.NS,Volume_KARURVYSYA.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,53.926177978515625,54.34529049805245,52.66882976125032,52.71539742421164,757449.0,,,-0.6121251160718516,,-0.0224525564334703,0.0077719678131797,-0.0233161010922419,Financial Services,9.0
2020-01-13,53.04137802124024,54.2987226820774,52.90167147986502,53.92617782655172,347795.0,,,-0.62575730599803,-0.0164076148253617,0.016681312558606,0.0237049772789399,-0.0026339161346687,Financial Services,9.0
2020-01-14,52.85509490966797,53.64675570302028,52.76195959970335,53.55362039305565,338600.0,,,-0.6286273861060947,-0.0035120337842216,0.0132158590308371,0.0149779466805479,-0.0017620876497108,Financial Services,9.0
2020-01-15,53.27421951293945,53.64676436584041,52.80853578214957,53.27421951293945,279719.0,,,-0.6221698968764103,0.0079296916217403,0.0,0.0069929668854271,-0.008741258624667,Financial Services,9.0
2020-01-16,53.04137802124024,53.92617782655172,52.99481035841014,53.646764743801306,361051.0,,,-0.62575730599803,-0.0043706222977638,0.0114134802892686,0.016681312558606,-0.0008779497171329,Financial Services,9.0
2020-01-17,52.90166473388672,53.41391606546572,52.80852942010307,53.08793891433849,182424.0,,,-0.6279098807724217,-0.002634043317984,0.003521140239892,0.0096830852895801,-0.001760536539864,Financial Services,9.0
2020-01-20,52.34285354614258,53.41392402581549,52.24971466559384,53.41392402581549,232263.0,,,-0.636519533362889,-0.0105632061024005,0.0204625924478631,0.0204625924478631,-0.0017794001327542,Financial Services,9.0
2020-01-21,51.73745727539063,52.622256997428735,51.55118308871661,52.24970862408071,275345.0,,,-0.6458469263805201,-0.011565977583134,0.0099009765007092,0.0171017241401805,-0.0036003738197357,Financial Services,9.0
2020-01-22,50.759521484375,52.34284671831773,50.15413127487543,52.29627906056035,603501.0,,,-0.6609140682006718,-0.0189018912508634,0.0302752573555762,0.0311926745493476,-0.0119266335023652,Financial Services,9.0
2020-01-23,49.45560836791992,51.03893368568002,49.269337727029686,50.52668231746242,976262.0,,,-0.6810035710364165,-0.0256880498145841,0.0216572798291014,0.0320150812013293,-0.0037664209790827,Financial Services,9.0
