Date_Ticker,Close_RADICO.NS,High_RADICO.NS,Low_RADICO.NS,Open_RADICO.NS,Volume_RADICO.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,326.6508483886719,329.95231867657856,318.1753643446211,319.7522034814197,543828.0,,,-1.3379125927918551,,-0.0211193234038188,0.0101070311134729,-0.0259466157392803,Fast Moving Consumer Goods,8.0
2020-01-13,345.0800476074219,352.71783260120986,326.25659728501023,326.4044494422268,1777679.0,,,-1.3041397239927957,0.0564186479528798,-0.0541196116515008,0.0221333717980618,-0.0545480692173371,Fast Moving Consumer Goods,8.0
2020-01-14,351.3381042480469,359.02515312417466,343.5524972938759,346.80470333938314,736359.0,,,-1.292671372961793,0.0181350868704655,-0.0129032429271125,0.0218793486478787,-0.0221598706773754,Fast Moving Consumer Goods,8.0
2020-01-15,340.49737548828125,351.73230458331847,337.0973173062359,351.338102348979,392817.0,,,-1.3125378091397282,-0.0308555452104107,0.0318379160636757,0.0329956408002443,-0.0099855635514652,Fast Moving Consumer Goods,8.0
2020-01-16,347.00177001953125,348.6771368045792,333.2044831803904,342.8625719375096,457843.0,,,-1.3006180257289692,0.0191026275075469,-0.0119284638859008,0.0048281217267382,-0.039761430722282,Fast Moving Consumer Goods,8.0
2020-01-17,351.3381042480469,356.6106456284807,347.9380460476234,347.9380460476234,571793.0,,,-1.292671372961793,0.0124965766839504,-0.0096774535961604,0.0150070297433817,-0.0096774535961604,Fast Moving Consumer Goods,8.0
2020-01-20,343.3060913085937,356.1178585220713,341.58143033754874,352.8163586480735,313749.0,,,-1.3073906299396278,-0.0228612064627709,0.0277020058200223,0.0373187879208387,-0.0050236829893435,Fast Moving Consumer Goods,8.0
2020-01-21,358.2367553710937,363.60785493032273,339.5611270704349,344.83366854977186,846320.0,,,-1.2800290852257037,0.0434908218656656,-0.0374140470523125,0.0149931560028371,-0.0521320831004985,Fast Moving Consumer Goods,8.0
2020-01-22,358.6802062988281,362.5729943184194,350.8453061123868,359.71499081747527,533905.0,,,-1.2792164286461405,0.0012378711036365,0.0028849780402575,0.0108530884928399,-0.0218436926511461,Fast Moving Consumer Goods,8.0
