Date_Ticker,Close_JYOTHYLAB.NS,High_JYOTHYLAB.NS,Low_JYOTHYLAB.NS,Open_JYOTHYLAB.NS,Volume_JYOTHYLAB.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,140.7062530517578,143.76012179733496,136.3305457803445,136.3305457803445,925735.0,,,-0.6949948697914146,,-0.0310981720890808,0.0217038594898395,-0.0310981720890808,Fast Moving Consumer Goods,8.0
2020-01-13,142.9852752685547,144.21593389164624,142.07367010626868,142.07367010626868,299170.0,,,-0.6786403793125025,0.0161970215777016,-0.0063755177627474,0.0086068906101004,-0.0063755177627474,Fast Moving Consumer Goods,8.0
2020-01-14,143.0308380126953,143.98802617235765,141.61786120223073,143.94244313428035,148296.0,,,-0.6783134165212893,0.0003186534001843,0.0063734865449374,0.0066921803225217,-0.0098788263433035,Fast Moving Consumer Goods,8.0
2020-01-15,144.94522094726562,145.85682611045596,140.97973292339125,141.663436795784,193989.0,,,-0.6645756138593979,0.0133844068955283,-0.022641547820853,0.0062893081761004,-0.0273585289529285,Fast Moving Consumer Goods,8.0
2020-01-16,145.6745147705078,149.04745125232355,144.3526900031736,144.9452278233605,406477.0,,,-0.6593421287267662,0.0050315134122809,-0.0050062768240292,0.0231539228884982,-0.0090738230322344,Fast Moving Consumer Goods,8.0
2020-01-17,145.8112335205078,148.0446632420493,144.67172714115094,146.67725558682105,199393.0,,,-0.6583610213559454,0.0009385220895733,0.0059393370826359,0.0153172678648751,-0.0078149423185327,Fast Moving Consumer Goods,8.0
2020-01-20,141.16204833984375,146.7684138644594,139.97695898626952,145.85680880940063,164139.0,,,-0.6917240373947865,-0.0318849588499652,0.0332579508782302,0.0397158130712191,-0.0083952405587169,Fast Moving Consumer Goods,8.0
2020-01-21,139.8857879638672,142.43828480965394,138.74628168538996,141.48109675373533,81209.0,,,-0.7008826090022442,-0.0090411012803101,0.0114043664698819,0.0182470062394477,-0.0081459760499155,Fast Moving Consumer Goods,8.0
2020-01-22,143.34991455078125,144.7629053617379,140.02256120787564,140.70626509285552,175671.0,,,-0.676023691495482,0.0247639637831461,-0.018441932569058,0.0098569351463135,-0.0232114079267686,Fast Moving Consumer Goods,8.0
