Date_Ticker,Close_JBCHEPHARM.NS,High_JBCHEPHARM.NS,Low_JBCHEPHARM.NS,Open_JBCHEPHARM.NS,Volume_JBCHEPHARM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-10,207.9688415527344,213.95372543233043,205.52795633019295,205.73917893092408,445048.0,,,-1.5567806902018535,,-0.0107211378645147,0.0287777911100133,-0.0117367832811746,Healthcare,11.0
2020-01-13,215.7609405517578,217.3334424060958,207.92192433429,207.94538873844587,305638.0,,,-1.5412308017161236,0.0374676270774322,-0.0362232005168567,0.0072881674056326,-0.0363319523794316,Healthcare,11.0
2020-01-14,216.27728271484372,218.225300952966,213.7425111324056,216.8405716554001,170226.0,,,-1.5402003909041622,0.0023931215806045,0.0026044757613266,0.0090070404698521,-0.0117200084568299,Healthcare,11.0
2020-01-15,216.13645935058597,216.86402773961288,214.30577752652445,216.79362020600257,59180.0,,,-1.540481417571132,-0.0006511241610312,0.003040490518773,0.0033662455247625,-0.0084700278220621,Healthcare,11.0
2020-01-16,222.2621612548828,223.85812744640555,215.97216842650928,215.97216842650928,247188.0,,,-1.5282569859358848,0.0283418259126778,-0.0282998815131666,0.0071805573315402,-0.0282998815131666,Healthcare,11.0
2020-01-17,223.0836334228516,227.63684534792367,215.9252422398984,224.2101970390965,316160.0,,,-1.526617658636829,0.0036959604969678,0.0050499608553065,0.0204103360484613,-0.0320883745397159,Healthcare,11.0
2020-01-20,226.3694305419922,230.4767037762948,222.96626129071288,222.96626129071288,218058.0,,,-1.5200605321429568,0.0147289923008939,-0.0150336962156557,0.0181441161223432,-0.0150336962156557,Healthcare,11.0
2020-01-21,227.1909027099609,228.12970809305995,219.35187203107088,227.5664191331872,128656.0,,,-1.518421204843901,0.0036289006249735,0.0016528673408444,0.0041322314049585,-0.0345041574525437,Healthcare,11.0
2020-01-22,233.38699340820312,240.80354923353127,228.0357919652106,228.08273509322535,326876.0,,,-1.5060563055507568,0.0272726179804492,-0.0227273089966087,0.0317779312249688,-0.0229284475747671,Healthcare,11.0
2020-01-23,233.45741271972656,236.06259171816188,231.9318540949596,235.64013219477133,103462.0,,,-1.505915776992076,0.0003017276605482,0.0093495402421219,0.0111591187792479,-0.0065346334776631,Healthcare,11.0
2020-01-24,232.8237152099609,236.57893642302483,231.03999086376845,234.06762937178195,102302.0,,,-1.507180381768244,-0.0027144030355823,0.0053427296300088,0.0161290322580645,-0.0076612657116303,Healthcare,11.0
2020-01-27,233.45741271972656,234.91256381143376,230.57058926402016,231.4155083108013,63308.0,,,-1.505915776992076,0.0027217910735345,-0.0087463678498683,0.0062330472815363,-0.0123655249241201,Healthcare,11.0
2020-01-28,234.7482452392578,236.48502627988177,228.81030516078408,234.7013021138289,124144.0,,,-1.5033397956377603,0.0055291991138483,-0.0001999722101481,0.0073984835918743,-0.025294928498493,Healthcare,11.0
2020-01-29,232.2369842529297,243.38529830246395,231.41552953349031,235.61668940006504,276540.0,,,-1.5083512602381024,-0.0106976773511922,0.0145528291198206,0.0480040424456795,-0.0035371399696816,Healthcare,11.0
2020-01-30,233.9972076416016,235.56970929416923,231.8848958374146,234.11455829738972,68294.0,,,-1.5048385639277433,0.0075794275159671,0.0005015045135408,0.0067201727252068,-0.009027081243731,Healthcare,11.0
2020-01-31,232.4951171875,237.98713369509164,231.4389612687348,234.56050022199932,66198.0,,,-1.5078361309581014,-0.0064192665768995,0.0088835544569036,0.0236220724720102,-0.0045427015050533,Healthcare,11.0
2020-02-03,231.5562896728516,234.23189013993297,228.52865159171216,234.20842574067245,104480.0,,,-1.5097096522213642,-0.0040380526094718,0.0114535263609893,0.011554859817721,-0.0130751709893819,Healthcare,11.0
2020-02-04,233.6920928955078,241.69541601301316,231.8848899770369,232.89410272630323,336868.0,,,-1.505447449964446,0.0092236890894812,-0.003414707615124,0.0342472995912783,-0.0077332651527879,Healthcare,11.0
2020-02-05,245.0047149658203,248.31399786520203,231.88490537884653,231.88490537884653,568092.0,,,-1.4828720166060383,0.0484082363684028,-0.0535492126704748,0.0135070172010502,-0.0535492126704748,Healthcare,11.0
2020-02-06,257.30303955078125,262.3960461602358,245.07507923811383,247.37516337467667,586412.0,229.46044387817383,,-1.4583295183804097,0.0501962771886925,-0.0385843719275038,0.0197938066271829,-0.0475235750577058,Healthcare,11.0
2020-02-07,263.82781982421875,264.7431609511385,252.35091642531205,257.4674180526587,298514.0,232.25339279174804,,-1.4453086871950562,0.0253583489912476,-0.0241081542340676,0.0034694640145593,-0.0435014905045019,Healthcare,11.0
